Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits
DC1135,A B C  ECHO PARK EARLY CHILDHOOD DEVELOPMENT CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028,7309,2014-12-15,Permitted,2 YEARS - 5 YEARS,124,Yes,ACS Head Start,1,0,1,0,7
DC21753,"A BETTER START,INC.","A BETTER START,INC.",2339 TIEBOUT AVENUE,BRONX,10458,718-676-1796,8404,2015-10-19,Permitted,2 YEARS - 5 YEARS,29,No,Private,16,2,8,6,6
DC17130,"A CASTLE FOR  CLASSY KIDS LEARNING CENTER, INC.","A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",2570 PITKIN AVENUE,BROOKLYN,11208,347-750-8154,8171,2016-05-24,Permitted,2 YEARS - 5 YEARS,24,No,Private,12,1,6,5,6
DC2840,A CHILD'S PLACE PRE SCHOOL,"A CHILD'S PLACE TOO,INC",32-20 108 ST,QUEENS,11369,718-565-2170,6966,2016-04-02,Permitted,2 YEARS - 5 YEARS,104,No,Private,22,3,11,8,11
DC12223,A CHILD'S PLACE TOO,A CHILD'S PLACE NURSERY,32-20 108 ST,QUEENS,11369,718-565-2170,7386,2015-03-25,Permitted,0 YEARS - 2 YEARS,46,No,Private,11,1,7,3,9
DC25663,"A CHILD'S PLACE TOO, INC","A CHILD'S PLACE TOO, INC.",100-10 ASTORIA BLVD.,QUEENS,11369,718-446-0200,51781,2015-09-10,Permitted,2 YEARS - 5 YEARS,45,No,Private,2,0,2,0,1
DC2111,A CHILDS HOME DAY CARE,GLORIA PANKY,427 NEW LOTS AVENUE,BROOKLYN,11207,718-927-0373,7395,2015-01-07,Permitted,2 YEARS - 5 YEARS,24,No,Private,52,15,24,13,15
DC1980,A H R C  HOWARD HABER  E.L.C,"N Y S ASSOCIATION FOR RETARDED CHILDREN,INC.",2300 WESTCHESTER AVENUE,BRONX,10462,718-409-1450,6030,2015-03-17,Permitted,2 YEARS - 5 YEARS,152,Yes,Private,11,3,4,4,6
DC2655,A M A C CHILDREN'S HOUSE,"A M A C, INC.",25 WEST 17 STREET,MANHATTAN,10011,212-645-5005,5950,2015-02-09,Permitted,2 YEARS - 5 YEARS,104,No,Private,11,1,7,3,5
DC1523,A NEW DAWN ELEMENTARY & PRE-SCHOOL,"A NEW DAWN ELEMENTARY SCHOOL,INC.",89-14 163 STREET,QUEENS,11432,718-206-1500,6180,2016-05-10,Permitted,2 YEARS - 5 YEARS,20,No,Private,15,2,10,3,10
DC15139,"A TO Z CENTER TOO, INC.","A TO Z CENTER TOO, INC.",220-24 JAMAICA AVENUE,QUEENS,11428,718-740-8400,7605,2016-06-21,Permitted,2 YEARS - 5 YEARS,187,No,Private,4,2,2,0,9
DC17883,A TO Z DAY CARE CENTER,A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM INC.A TO Z DAY CARE CENTER INC.,3053 AVENUE U,BROOKLYN,11229,718-368-1234,7960,2014-12-05,Permitted,2 YEARS - 5 YEARS,54,No,Private,11,2,3,6,7
DC1116,A TO Z LEARNING CENTER,A TO Z MANAGEMENT INC.,123-21 JAMAICA AVENUE,QUEENS,11418,718-805-4400,6709,2015-10-11,Permitted,2 YEARS - 5 YEARS,29,No,Private,5,1,4,0,8
DC1831,A YOU'RE ADORABLE,"A YOU'RE ADORABLE,INC.",3304 GRISWOLD AVENUE,BRONX,10465,718-863-3455,7137,2015-06-09,Permitted,2 YEARS - 5 YEARS,47,No,Private,20,1,12,7,6
DC14857,ABC CASSIDY'S PLACE,ASSOCIATION TO BENEFIT CHILDREN,419 EAST 86TH STREET,MANHATTAN,10028,212-831-1322,6390,2015-08-06,Permitted,2 YEARS - 5 YEARS,120,Yes,Private,5,1,1,3,6
DC620,ABC CHILD CENTER,"ABC CHILD CENTER,INC",109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,6084,2014-07-03,Permitted,2 YEARS - 5 YEARS,45,No,Private,51,11,21,19,18
DC3111,ABC EARLY LEARNING CENTER,ABC EARLY LEARNING CENTER INC.,54-25 LITTLE NECK PKWY,QUEENS,11362,718-225-8044,7216,2016-03-31,Permitted,2 YEARS - 5 YEARS,76,No,Private,12,2,6,4,9
DC16933,ABC EARLY LEARNING CENTER OF BAY TERRACE,ABC EARLY LEARNING CENTER INC,208-90 CROSS ISLAND PKWY,QUEENS,11360,718-428-0005,7866,2014-04-09,Expired-InRenewal,2 YEARS - 5 YEARS,36,No,Private,7,2,4,1,7
DC14505,ABC ECHO PARK EARLY CHILDHOOD CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028,7344,2016-01-28,Permitted,0 YEARS - 2 YEARS,22,Yes,Private,0,0,0,0,8
DC20590,ABC INFANT & TODDLER CENTER,"ABC INFANT & TODDLER CENTER,INC.",109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,43577,2015-06-13,Permitted,0 YEARS - 2 YEARS,31,No,Private,0,0,0,0,4
DC20687,ABC KEITH HARING SCHOOL,ASSOCIATION TO BENEFIT CHILDREN,318 EAST 116TH STREET,MANHATTAN,10029,212-426-3960,53757,2015-11-01,Permitted,0 YEARS - 2 YEARS,10,No,Head Start (Direct Fed. Funding),0,0,0,0,0
DC22552,ABC KIDDIE LAND DAY CARE CENTER,"ABC KIDDIE LAND, INC.",67-05  ROOSEVELT AVENUE,QUEENS,11377,718-651-3551,26898,2014-11-07,Permitted,2 YEARS - 5 YEARS,26,No,Private,0,0,0,0,3
DC10481,ABC KIDDIELAND DAY CARE CENTER,"ABC KIDDIELAND, INC",65-21 ROOSEVELT AVE,QUEENS,11377,718-651-3551,7571,2016-03-19,Permitted,2 YEARS - 5 YEARS,22,No,Private,0,0,0,0,7
DC15616,ABC MINISTRY AND COUNSELING CENTER,"ABC MINISTRY AND COUNSELING CENTER, INC",9302  AVENUE B,BROOKLYN,11236,718-498-8937,7738,2015-04-19,Permitted,2 YEARS - 5 YEARS,46,No,Private,79,15,40,24,18
DC16811,ABC MINISTRY AND COUNSELING CENTER,"ABC MINISTRY AND COUSELING CENTER,INC.",9302  AVENUE B,BROOKLYN,11236,718-498-8937,7708,2015-01-25,Permitted,0 YEARS - 2 YEARS,10,No,Private,55,10,31,14,17
DC1155,ABC PRESCHOOL,ABC PRE-SCHOOL & KINDERGARTEN CENTER CORP.,66-20 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2249,2015-05-23,Permitted,2 YEARS - 5 YEARS,131,No,Private,1,0,1,0,8
DC1164,ABC PRESCHOOL & KINDERGARTEN CENTER,"ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",66-26 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2098,2014-10-29,Permitted,2 YEARS - 5 YEARS,26,No,Private,0,0,0,0,9
DC15271,ABC VARIETY CODY GIFFORD HOUSE,ASSOCIATION TO BENEFIT CHILDREN,404 EAST 91ST STREET,MANHATTAN,10128,212-369-2010,7684,2015-12-18,Permitted,0 YEARS - 2 YEARS,17,No,Private,3,1,2,0,3
DC18804,ABYSSINIAN HEAD START - ADAM CLAYTON POWELL JR. CENTER,ABYSSINIAN DEVELOPMENT CORP.,25 WEST 132ND STREET,MANHATTAN,10037,212-234-9252,7949,2014-10-15,Permitted,2 YEARS - 5 YEARS,45,No,ACS Head Start,16,4,6,6,6
DC1500,ABYSSINIAN HEAD START- ANNIE G. NEWSOME CENTER,ABYSSINIAN DEVELOPMENT CORPORATION,129 WEST 138 STREET,MANHATTAN,10030,212-690-2869,6124,2014-07-30,Permitted,2 YEARS - 5 YEARS,54,No,ACS Head Start,24,5,12,7,8
DC2026,ACADEMICS  R US LTD.,ACADEMICS R US LTD,1339 EAST GUNHILL ROAD,BRONX,10469,718-324-5720,7047,2014-12-19,Permitted,2 YEARS - 5 YEARS,75,No,Private,16,4,6,6,10
DC25095,ACADEMY OF EXCELLENCE BELL PARK,"BELL PARK CHILD CARE CENTER, INC.",178-36 WEXFORD  TERRACE,QUEENS,11432,212-931-4724,39657,2015-05-09,Permitted,2 YEARS - 5 YEARS,103,No,Private,5,1,4,0,5
DC18898,ACADEMY OF LEARNING,GNK NY INC.,1334 EAST GUNHILL ROAD,BRONX,10469,718-405-2888,7950,2014-10-31,Permitted,2 YEARS - 5 YEARS,15,No,Private,14,2,6,6,11
DC14291,ACE EARLY CHILDHOOD CENTER,"12TH STREET PRESCHOOL,INC.",199 14 STREET,BROOKLYN,11215,718-788-2668,5307,2015-10-21,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,17,5,5,7,10
DC747,ACE INTEGRATION HEAD START,HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORPORATION,1419-23 BROADWAY,BROOKLYN,11221,718-443-3917,6971,2016-05-12,Permitted,2 YEARS - 5 YEARS,136,No,ACS Head Start,24,2,11,11,12
DC2198,ACS,SOUTH JAMAICA CENTER FOR CHILDREN & PARENTS INC,114-02 GUY R BREWER BOULEVARD,QUEENS,11434,718-526-2500,5219,2015-12-24,Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start,7,0,6,1,9
DC19634,ACS,THE CHILD CENTER OF NEW YORK,34-10 108TH STREET,QUEENS,11368,347-287-0175,8033,2015-06-27,Permitted,2 YEARS - 5 YEARS,162,Yes,ACS Contracted Preschools,17,2,10,5,7
DC14287,ACT PROGRAM AT THE CATHEDRAL OF ST. JOHN THE DIVINE.,CATHEDRAL OF ST. JOHN THE DIVINE,1047 AMSTERDAM AVENUE,MANHATTAN,10025,212-316-7530,7157,2015-07-18,Permitted,2 YEARS - 5 YEARS,22,No,Private,3,0,1,2,6
DC962,ACTION NURSERY,"ACTION NURSERY, INC.",1019 46 STREET,BROOKLYN,11219,718-854-7777,4022,2015-03-11,Permitted,2 YEARS - 5 YEARS,30,No,ACS Contracted Preschools,11,1,3,7,6
DC22513,"ADAPTIVE SOLUTIONS MULTI SERVICES (SLP, PT, OT, PSYCH)","ADAPTIVE SOLUTIONS MULTI SERVICES(SLP,PT,OT,PSYCH) PLLC",992 GATES AVENUE,BROOKLYN,11221,718-483-9553,16597,2014-05-16,Expired-InRenewal,2 YEARS - 5 YEARS,102,No,ACS Contracted Preschools,2,1,0,1,5
DC24683,ADDIE MAE COLLINS,ADDIE MAE COLLINS COMMUNITY SERVICE III,2322 THIRD AVE,MANHATTAN,10035,212-831-3144,24778,2014-10-12,Permitted,2 YEARS - 5 YEARS,155,No,ACS Contracted Preschools,7,0,6,1,2
DC2981,ADDIE MAE COLLINS COMMUNITY SERVICE HEAD START,"ADDIE MAE COLLINS COMMUNITY SERVICES, INC.",345 EAST 101 STREET,MANHATTAN,10029,212-831-7373,6148,2014-05-09,Expired-InRenewal,2 YEARS - 5 YEARS,30,No,ACS Head Start,5,1,1,3,6
DC1229,ADDIE MAE COLLINS HEAD START #1,"ADDIE MAE COLLINS COMMUNITY SERVICE, INC.",110 EAST 129 STREET,MANHATTAN,10035,212-831-9220,4501,2015-03-16,Permitted,2 YEARS - 5 YEARS,40,No,ACS Head Start,3,0,1,2,6
DC19051,ADVENTURELAND CHILD CARE,ADVENTURELAND CHILD CARE,32-04 31ST AVENUE,QUEENS,11106,718-777-2011,7969,2014-12-03,Permitted,2 YEARS - 5 YEARS,81,No,Private,21,4,14,3,9
DC14230,"ADVENTURELAND CHILD CARE CENTER, INC. PRESCHOOL","ADVENTURELAND CHILD CARE, INC.",41-31 58 STREET,QUEENS,11377,718-274-4769,7176,2015-07-01,Permitted,2 YEARS - 5 YEARS,20,No,Private,2,0,2,0,11
DC1211,ADVENTURELAND INFANT CARE,ADVENTURELAND INFANT CARE,41-31 58 STREET,QUEENS,11377,718-274-4769,7394,2015-03-23,Permitted,0 YEARS - 2 YEARS,15,No,Private,2,0,2,0,10
DC19052,ADVENTURELAND INFANT TODDLER,ADVENTURELAND INFANT TODDLER,32-04 31ST AVENUE,QUEENS,11106,718-777-2011,7968,2014-12-03,Permitted,0 YEARS - 2 YEARS,36,No,Private,20,3,12,5,9
DC21684,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER # 4,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER # 4,108-17  159TH STREET,QUEENS,11433,718-526-1506,8352,2015-07-01,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,10,0,7,3,10
DC2451,"AFRO-AMERICAN PARENTS EDUCATIONAL CENTER, INC.","AFRO-AMERICAN PARENTS DAY CARE CENTER, INC.",112-06 SUTPHIN BOULEVARD,QUEENS,11435,718-322-9080,4789,2014-07-16,Permitted,2 YEARS - 5 YEARS,91,No,ACS Contracted Preschools,4,1,2,1,7
DC1530,AGAPE NURSERY SCHOOL,"KOREAN PRESBYTERIAN CHURCH OF QUEENS, INC.",143-17 FRANKLIN AVENUE,QUEENS,11355,718-886-3564,6163,2014-05-03,Expired-InRenewal,2 YEARS - 5 YEARS,67,No,Private,6,2,3,1,7
DC1783,AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,"ASSOCIATION FOR THE HELP OF RETARDED CHILDREN, INC.",195-201 CONSELYEA STREET,BROOKLYN,11211,718-782-1462,5687,2014-09-27,Permitted,2 YEARS - 5 YEARS,193,No,Private,13,2,5,6,8
DC21490,AILEEN CLAVANO,DISCOVERY LANE,27-17 27 STREET,QUEENS,11102,718-440-6919,8365,2015-07-08,Permitted,2 YEARS - 5 YEARS,29,No,Private,23,5,16,2,10
DC16698,AIM HIGH CHILDREN'S SERVICES,AIM HIGH CHILDREN'S SERVICES,229 PARKVILLE AVENUE,BROOKLYN,11230,718-438-7000,7856,2014-05-11,Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,23,5,11,7,8
DC260,ALEENE LOGAN PRESCHOOL CENTER,"CLAREMONT NEIGHBORHOOD CENTER, INC.",1450 WEBSTER AVENUE,BRONX,10456,718-293-1530,4170,2015-11-02,Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools,41,3,21,17,8
DC24873,"ALEPH BET NY, INC.","ALEPH BET NY, INC.",133-135 EAST 29TH STREET,MANHATTAN,10016,212-685-0241,28419,2014-12-03,Permitted,2 YEARS - 5 YEARS,20,No,Private,4,1,2,1,2
DC14224,ALL CHILDREN'S CHILD CARE,ALL CHILDREN'S CHILD CARE,32-04  31 AVENUE,QUEENS,11106,718-777-2011,7970,2014-12-03,Permitted,2 YEARS - 5 YEARS,54,No,Private,6,0,5,1,8
DC12377,ALL CHILDREN'S CHILDCARE (INFANT/TODDLER),"ALL CHILDREN CHILDCARE CENTER OF QUEENS, INC.",35-01 24 STREET,QUEENS,11106,718-707-0501,6856,2015-05-27,Permitted,0 YEARS - 2 YEARS,19,No,Private,4,0,4,0,9
DC2838,ALL CHILDREN'S CHILDCARE (PRESCHOOL),"ALL CHILDREN CHILDCARE CENTER OF QUEENS, INC.",35-01 24 STREET,QUEENS,11106,718-707-0501,6855,2015-05-26,Permitted,2 YEARS - 5 YEARS,82,No,Private,4,0,4,0,7
DC2226,"ALL MY CHILDREN CARE INC, NURSERY","ALL MY CHILDREN DAY CARE INC, NURSERY",169-07 JEWEL AVENUE,QUEENS,11365,718-658-1563,6094,2015-08-26,Permitted,2 YEARS - 5 YEARS,29,No,ACS Contracted Preschools,8,0,7,1,10
DC23264,ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL, INC.",110-15 164 PLACE,QUEENS,11433,718-526-5911,25917,2014-10-22,Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools,13,0,6,7,9
DC24654,ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE & NURSERY SCHOOL, INC.",117-16 SUTPHIN BLVD.,QUEENS,11434,718-322-2030,25997,2014-10-23,Permitted,2 YEARS - 5 YEARS,99,No,ACS Contracted Preschools,4,0,4,0,7
DC12381,ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE,INC",175-44 MAYFIELD ROAD,QUEENS,11432,718-658-1563,6598,2014-12-01,Permitted,0 YEARS - 2 YEARS,25,No,Private,3,1,2,0,10
DC3120,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,175-44 MAYFIELD ROAD,QUEENS,11432,718-658-1563,6190,2014-05-17,Expired-InRenewal,2 YEARS - 5 YEARS,60,No,Private,16,3,7,6,11
DC24553,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,420 LEFFERTS AVENUE,BROOKLYN,11225,718-756-2020,25377,2014-10-17,Permitted,2 YEARS - 5 YEARS,198,No,ACS Contracted Preschools,12,3,5,4,4
DC24547,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,771 CROWN STREET,BROOKLYN,11213,718-756-8300,25957,2014-10-23,Permitted,2 YEARS - 5 YEARS,42,No,ACS Contracted Preschools,13,2,9,2,7
DC22860,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,"ALL MY CHILDREN DAY CARE & NURSERY, INC.",83-10 188 STREET,QUEENS,11423,718-454-5600,25177,2014-10-16,Permitted,2 YEARS - 5 YEARS,58,No,ACS Contracted Preschools,15,3,10,2,4
DC17905,ALL MY CHILDREN DAY CARE &NURSERY SCHOOL INC.,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL INC.,66-05 108 STREET,QUEENS,11375,718-592-8981,27238,2014-11-14,Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools,0,0,0,0,3
DC24552,ALL MY CHILDREN DAY CARE 11,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,317 ROGERS AVENUE,BROOKLYN,11225,718-771-8075,24878,2014-10-12,Permitted,2 YEARS - 5 YEARS,90,No,ACS Contracted Preschools,62,10,42,10,10
DC23263,ALL MY CHILDREN DAY CARE AND NURSERY,"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL, INC.",36-49 11 STREET,QUEENS,11106,718-786-1166,26618,2014-10-26,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,14,4,8,2,7
DC24549,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,36 FORD STREET,BROOKLYN,11213,718-576-6812,24658,2014-10-12,Permitted,2 YEARS - 5 YEARS,154,No,ACS Contracted Preschools,62,11,37,14,12
DC24550,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,36 FORD STREET,BROOKLYN,11213,718-576-6812,25417,2014-10-17,Permitted,0 YEARS - 2 YEARS,48,No,ACS Contracted Preschools,18,2,12,4,8
DC24554,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,771 CROWN STREET,BROOKLYN,11213,718-756-8300,28679,2014-12-06,Permitted,0 YEARS - 2 YEARS,27,No,ACS Contracted Preschools,2,0,0,2,3
DC24551,ALL MY CHILDREN DAY CARE AND NURSEY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,739 EAST NEW YORK AVENUE,BROOKLYN,11203,718-493-1100,27477,2014-11-16,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,11,1,6,4,4
DC11544,ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,108-22 69 AVENUE,QUEENS,11375,718-544-0007,7425,2015-07-25,Permitted,2 YEARS - 5 YEARS,43,No,Private,3,0,2,1,8
DC22115,ALL SEASONS A & C DAY CARE,"ALL SEASONS A & C DAY CARE, LLC",700 ROSEWOOD STREET,BRONX,10467,718-231-7200,24119,2014-10-05,Permitted,2 YEARS - 5 YEARS,24,No,Private,0,0,0,0,3
DC22230,ALL SEASONS A & C DAY CARE,ALL SEASONS A & C DAY CARE LLC,700 ROSEWOOD STREET,BRONX,10467,718-231-7200,24139,2014-10-05,Permitted,0 YEARS - 2 YEARS,19,No,Private,0,0,0,0,3
DC11674,ALL SEASONS DAY CARE,ALL SEASONS DAY CARE LLC,1701 NEREID AVENUE,BRONX,10466,718-324-8300,7237,2016-05-05,Permitted,2 YEARS - 5 YEARS,27,No,Private,5,1,3,1,9
DC11867,ALL SEASONS DAY NURSERY INFANT/TODDLER,"ALL SEASONS DAY CARE, LLC",1701 NEREID AVENUE,BRONX,10466,718-324-8300,7458,2014-11-06,Permitted,0 YEARS - 2 YEARS,18,No,Private,10,1,6,3,7
DC2583,ALL SOULS SCHOOL,ALL SOULS SCHOOL,1157 LEXINGTON AVENUE,MANHATTAN,10075,212-861-5232,2014,2015-04-26,Permitted,2 YEARS - 5 YEARS,110,No,Private,15,4,7,4,5
DC26028,ALL STARS DAY CARE,ALL STARS DAYCARE GROUP INC.,4111 AVENUE J,BROOKLYN,11210,917-933-4747,56497,2016-02-03,Permitted,2 YEARS - 5 YEARS,28,No,Private,0,0,0,0,0
DC923,ALPHA CHRISTIAN DAYCARE INC.,ALPHA CHRISTIAN DAYCARE INC.,921 EAST 107 STREET,BROOKLYN,11236,718-272-0505,7178,2015-12-21,Permitted,2 YEARS - 5 YEARS,26,No,Private,54,11,21,22,12
DC14204,ALPHA FUNDEMENTAL PRESCHOOL. INC.,ALPHA FUNDAMENTAL # 2,218-28 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,7541,2015-12-21,Permitted,2 YEARS - 5 YEARS,20,No,Private,1,0,1,0,8
DC2452,"ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER, INC.","ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER, INC.",144-06 ROCKAWAY BOULEVARD,QUEENS,11436,718-322-6242,5005,2013-12-21,Expired-InRenewal,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools,7,1,3,3,12
DC2601,ALPHAFUNDAMENTAL PRESCHOOL.INC.,ALPHA-FUNDAMENTAL PRE-SCHOOL INC,218-30 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,6119,2015-09-21,Permitted,2 YEARS - 5 YEARS,30,No,Private,4,0,3,1,11
DC22980,"ALWAYZ 123 EARLY LEARNING CENTER, INC.","ALWAYZ 1.2.3. EARLY LEARNING CENTER, INC. (P.S.)",80 BAY STREET,STATEN ISLAND,10301,718-815-4701,49197,2015-07-31,Permitted,2 YEARS - 5 YEARS,20,No,Private,36,5,19,12,7
DC22981,"ALWAYZ 123 EARLY LEARNING CENTER, INC.","ALWAYZ 1.2.3. EARLY LEARNING CENTER, INC. (I/T)",80 BAY STREET,STATEN ISLAND,10301,718-815-4701,49177,2015-07-26,Permitted,0 YEARS - 2 YEARS,12,No,Private,15,0,7,8,5
DC20584,AMAC,"ASSOCIATION FOR METROAREA AUTISTIC CHILDREN, INC.",25 WEST 17TH STREET,MANHATTAN,10011,212-645-5005,19617,2014-07-30,Permitted,0 YEARS - 2 YEARS,10,No,Private,1,0,0,1,4
DC109,AMALGAMATED NURSERY SCHOOL,AMALGAMATED NURSERY SCHOOL,3980 ORLOFF AVENUE,BRONX,10463,718-543-8688,7169,2015-11-09,Permitted,2 YEARS - 5 YEARS,56,No,Private,3,0,2,1,7
