Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Number_Of_Permits,Average_Mean_Violations_Per_Visit,Average_Score,Lat,Lon
DC1187,82ND STREET ACADEMICS,82ND STREET  ACADEMICS INC,81-10 35 AVENUE,QUEENS,11372,718-457-0429,7006,2014-08-11,Permitted,2 YEARS - 5 YEARS,145,No,Private,8,2,2,4,6,1.33333,2.33333,1107,Average,1052,Average,1,1.33333,2.33333,40.7517295,-73.88510219999999
DC2408,92ND ST. Y NURSERY SCHOOL,92ND ST. Y M & Y W H A,1395 LEXINGTON AVENUE,MANHATTAN,10128,212-415-5532,1940,2014-06-13,Expired-InRenewal,2 YEARS - 5 YEARS,170,No,Private,5,2,3,0,3,1.66667,4.0,1303,Average,1526,Bottom 30%,1,1.66667,4.0,40.7830623,-73.95268039999999
DC20033,A & E CAROUSEL DAYCARE,"A & E CAROUSEL DAY CARE,INC.",150 CLERMONT AVENUE,BROOKLYN,11205,718-596-7912,8270,2015-03-31,Permitted,2 YEARS - 5 YEARS,25,No,Private,8,0,3,5,5,1.6,2.2,1251,Average,1004,Average,1,1.6,2.2,40.693278,-73.9710295
DC14505 / DC1135,ABC ECHO PARK EARLY CHILDHOOD CENTER / A B C  ECHO PARK EARLY CHILDHOOD DEVELOPMENT CENTER,ASSOCIATION TO BENEFIT CHILDREN / ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028 / 646-459-6028,7344 / 7309,2016-01-28 / 2014-12-15,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,22 / 124,Yes / Yes,Private / ACS Head Start,0 / 0,0 / 0,0 / 0,0 / 0,5 / 4,0.0 / 0.0,0.0 / 0.0,120 / 162,Top 5% / Top 5%,216 / 225,Top 5% / Top 5%,3,0.0,0.0,40.805673,-73.938001
DC21753,"A BETTER START,INC.","A BETTER START,INC.",2339 TIEBOUT AVENUE,BRONX,10458,718-676-1796,8404,2015-10-19,Permitted,2 YEARS - 5 YEARS,29,No,Private,9,1,4,4,5,1.8,3.0,1365,Bottom 30%,1281,Average,1,1.8,3.0,40.8574997,-73.89673479999999
DC17130,"A CASTLE FOR  CLASSY KIDS LEARNING CENTER, INC.","A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",2570 PITKIN AVENUE,BROOKLYN,11208,347-750-8154,8171,2016-05-24,Permitted,2 YEARS - 5 YEARS,24,No,Private,6,0,4,2,4,1.5,2.5,1193,Average,1116,Average,1,1.5,2.5,40.6746071,-73.8772986
DC12223 / DC2840,A CHILD'S PLACE TOO / A CHILD'S PLACE PRE SCHOOL,"A CHILD'S PLACE NURSERY / A CHILD'S PLACE TOO,INC",32-20 108 ST,QUEENS,11369,718-565-2170 / 718-565-2170,7386 / 6966,2015-03-25 / 2016-04-02,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,46 / 104,No / No,Private / Private,11 / 10,1 / 1,7 / 7,3 / 2,7 / 7,1.57143 / 1.42857,2.85714 / 2.71429,1230 / 1151,Average / Average,1249 / 1192,Average / Average,3,1.5,2.7619066666666665,40.759286,-73.861564
DC25663,"A CHILD'S PLACE TOO, INC","A CHILD'S PLACE TOO, INC.",100-10 ASTORIA BLVD.,QUEENS,11369,718-446-0200,51781,2015-09-10,Permitted,2 YEARS - 5 YEARS,45,No,Private,2,0,2,0,2,1.0,2.0,925,Average,868,Average,1,1.0,2.0,40.761523,-73.8689596
DC2111,A CHILDS HOME DAY CARE,GLORIA PANKY,427 NEW LOTS AVENUE,BROOKLYN,11207,718-927-0373,7395,2015-01-07,Permitted,2 YEARS - 5 YEARS,24,No,Private,25,10,8,7,7,3.57143,7.57143,1976,Bottom 15%,2057,Bottom 5%,1,3.57143,7.57143,40.6626,-73.891949
DC1980,A H R C  HOWARD HABER  E.L.C,"N Y S ASSOCIATION FOR RETARDED CHILDREN,INC.",2300 WESTCHESTER AVENUE,BRONX,10462,718-409-1450,6030,2015-03-17,Permitted,2 YEARS - 5 YEARS,152,Yes,Private,3,1,1,1,3,1.0,2.0,915,Average,912,Average,1,1.0,2.0,40.8350348,-73.8479705
DC2655,A M A C CHILDREN'S HOUSE,"A M A C, INC.",25 WEST 17 STREET,MANHATTAN,10011,212-645-5005,5950,2015-02-09,Permitted,2 YEARS - 5 YEARS,96,No,Private,2,0,2,0,2,1.0,2.0,924,Average,924,Average,1,1.0,2.0,40.7386488,-73.99361379999999
DC1523,A NEW DAWN ELEMENTARY & PRE-SCHOOL,"A NEW DAWN ELEMENTARY SCHOOL,INC.",89-14 163 STREET,QUEENS,11432,718-206-1500,6180,2016-05-10,Permitted,2 YEARS - 5 YEARS,20,No,Private,11,1,8,2,8,1.375,2.625,1118,Average,1168,Average,1,1.375,2.625,40.70651,-73.7982509
DC15139,"A TO Z CENTER TOO, INC.","A TO Z CENTER TOO, INC.",220-24 JAMAICA AVENUE,QUEENS,11428,718-740-8400,7605,2016-06-21,Permitted,2 YEARS - 5 YEARS,187,No,Private,4,2,2,0,6,0.666667,1.66667,593,Top 30%,780,Average,1,0.666667,1.66667,40.7192374,-73.7336849
DC17883,A TO Z DAY CARE CENTER,A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM INC.A TO Z DAY CARE CENTER INC.,3053 AVENUE U,BROOKLYN,11229,718-368-1234,7960,2014-12-05,Permitted,2 YEARS - 5 YEARS,54,No,Private,5,1,0,4,5,1.0,1.4,934,Average,692,Average,1,1.0,1.4,40.601218,-73.9368719
DC1116,A TO Z LEARNING CENTER,A TO Z MANAGEMENT INC.,123-21 JAMAICA AVENUE,QUEENS,11418,718-805-4400,6709,2015-10-11,Permitted,2 YEARS - 5 YEARS,29,No,Private,3,1,2,0,5,0.6,1.4,564,Top 30%,687,Average,1,0.6,1.4,40.7008287,-73.8264955
DC1831,A YOU'RE ADORABLE,"A YOU'RE ADORABLE,INC.",3304 GRISWOLD AVENUE,BRONX,10465,718-863-3455,7137,2015-06-09,Permitted,2 YEARS - 5 YEARS,47,No,Private,9,0,6,3,4,2.25,3.75,1590,Bottom 30%,1482,Bottom 30%,1,2.25,3.75,40.8448824,-73.81639779999999
DC14857,ABC CASSIDY'S PLACE,ASSOCIATION TO BENEFIT CHILDREN,419 EAST 86TH STREET,MANHATTAN,10028,212-831-1322,6390,2015-08-06,Permitted,2 YEARS - 5 YEARS,120,Yes,Private,1,0,0,1,3,0.333333,0.333333,394,Top 30%,276,Top 15%,1,0.333333,0.333333,40.776764,-73.94839
DC20590 / DC620,ABC INFANT & TODDLER CENTER / ABC CHILD CENTER,"ABC INFANT & TODDLER CENTER,INC. / ABC CHILD CENTER,INC",109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004 / 718-389-9004,43577 / 6084,2015-06-13 / 2014-07-03,Permitted / Expired-InRenewal,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,31 / 45,No / No,Private / Private,0 / 28,0 / 6,0 / 11,0 / 11,4 / 8,0.0 / 3.5,0.0 / 6.375,121 / 1973,Top 5% / Bottom 15%,219 / 1951,Top 5% / Bottom 15%,3,1.75,4.25,40.724395,-73.949659
DC3111,ABC EARLY LEARNING CENTER,ABC EARLY LEARNING CENTER INC.,54-25 LITTLE NECK PKWY,QUEENS,11362,718-225-8044,7216,2016-03-31,Permitted,2 YEARS - 5 YEARS,76,No,Private,2,0,1,1,6,0.333333,0.5,391,Top 30%,383,Top 30%,1,0.333333,0.5,40.7603856,-73.72279759999999
DC16933,ABC EARLY LEARNING CENTER OF BAY TERRACE,ABC EARLY LEARNING CENTER INC,208-90 CROSS ISLAND PKWY,QUEENS,11360,718-428-0005,7866,2016-04-09,Permitted,2 YEARS - 5 YEARS,36,No,Private,3,1,2,0,4,0.75,1.75,641,Top 30%,801,Average,1,0.75,1.75,40.788154,-73.78412
DC20687,ABC KEITH HARING SCHOOL,ASSOCIATION TO BENEFIT CHILDREN,318 EAST 116TH STREET,MANHATTAN,10029,212-426-3960,53757,2015-11-01,Permitted,0 YEARS - 2 YEARS,10,No,Head Start (Direct Fed. Funding),3,0,1,2,1,3.0,4.0,1833,Bottom 30%,1539,Bottom 30%,1,3.0,4.0,40.796341,-73.936959
DC22552,ABC KIDDIE LAND DAY CARE CENTER,"ABC KIDDIE LAND, INC.",67-05  ROOSEVELT AVENUE,QUEENS,11377,718-651-3551,26898,2014-11-07,Permitted,2 YEARS - 5 YEARS,26,No,Private,0,0,0,0,4,0.0,0.0,123,Top 5%,224,Top 5%,1,0.0,0.0,40.746434,-73.89788999999999
DC10481,ABC KIDDIELAND DAY CARE CENTER,"ABC KIDDIELAND, INC",65-21 ROOSEVELT AVE,QUEENS,11377,718-651-3551,7571,2016-03-19,Permitted,2 YEARS - 5 YEARS,22,No,Private,0,0,0,0,5,0.0,0.0,124,Top 5%,221,Top 5%,1,0.0,0.0,40.7461173,-73.8982884
DC16811 / DC15616,ABC MINISTRY AND COUNSELING CENTER / ABC MINISTRY AND COUNSELING CENTER,"ABC MINISTRY AND COUSELING CENTER,INC. / ABC MINISTRY AND COUNSELING CENTER, INC",9302  AVENUE B,BROOKLYN,11236,718-498-8937 / 718-498-8937,7708 / 7738,2015-01-25 / 2015-04-19,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,10 / 46,No / No,Private / Private,44 / 87,8 / 16,28 / 45,8 / 26,14 / 16,3.14286 / 5.4375,6.28571 / 10.25,1893 / 2138,Bottom 15% / Bottom 5%,1941 / 2139,Bottom 15% / Bottom 5%,3,4.29018,8.92857,40.650813,-73.913809
DC1155,ABC PRESCHOOL,ABC PRE-SCHOOL & KINDERGARTEN CENTER CORP.,66-20 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2249,2015-05-23,Permitted,2 YEARS - 5 YEARS,131,No,Private,0,0,0,0,5,0.0,0.0,126,Top 5%,222,Top 5%,1,0.0,0.0,40.739446,-73.898004
DC1164,ABC PRESCHOOL & KINDERGARTEN CENTER,"ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",66-26 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2098,2014-10-29,Permitted,2 YEARS - 5 YEARS,26,No,Private,0,0,0,0,5,0.0,0.0,127,Top 5%,223,Top 5%,1,0.0,0.0,40.7396994,-73.8985113
DC15271,ABC VARIETY CODY GIFFORD HOUSE,ASSOCIATION TO BENEFIT CHILDREN,404 EAST 91ST STREET,MANHATTAN,10128,212-369-2010,7684,2015-12-18,Permitted,0 YEARS - 2 YEARS,17,No,Private,3,1,2,0,1,3.0,7.0,1831,Bottom 30%,2001,Bottom 15%,1,3.0,7.0,40.7797402,-73.9467183
DC18804,ABYSSINIAN HEAD START - ADAM CLAYTON POWELL JR. CENTER,ABYSSINIAN DEVELOPMENT CORP.,25 WEST 132ND STREET,MANHATTAN,10037,212-234-9252,7949,2014-10-15,Permitted,2 YEARS - 5 YEARS,45,No,ACS Head Start,5,2,3,0,3,1.66667,4.0,1317,Average,1532,Bottom 30%,1,1.66667,4.0,40.81168,-73.939663
DC1500,ABYSSINIAN HEAD START- ANNIE G. NEWSOME CENTER,ABYSSINIAN DEVELOPMENT CORPORATION,129 WEST 138 STREET,MANHATTAN,10030,212-690-2869,6124,2014-07-30,Permitted,2 YEARS - 5 YEARS,54,No,ACS Head Start,18,4,11,3,7,2.57143,5.28571,1728,Bottom 30%,1813,Bottom 30%,1,2.57143,5.28571,40.8164589,-73.9404148
DC17076,ABYSSINIAN/ANNIE G. NEWSOME  HEAD START I I,ABYSSINIAN DEVELOPMENT CORP.,646 LENOX AVENUE,MANHATTAN,10037,212-991-3932,7759,2015-05-14,Permitted,2 YEARS - 5 YEARS,28,No,ACS Head Start,24,9,9,6,11,2.18182,4.63636,1566,Bottom 30%,1697,Bottom 30%,1,2.18182,4.63636,40.8186128,-73.93746089999999
DC2026,ACADEMICS  R US LTD.,ACADEMICS R US LTD,1339 EAST GUNHILL ROAD,BRONX,10469,718-324-5720,7047,2014-12-19,Permitted,2 YEARS - 5 YEARS,75,No,Private,13,4,5,4,7,1.85714,3.71429,1388,Bottom 30%,1477,Bottom 30%,1,1.85714,3.71429,40.871031,-73.8466739
DC25095,ACADEMY OF EXCELLENCE BELL PARK,"BELL PARK CHILD CARE CENTER, INC.",178-36 WEXFORD  TERRACE,QUEENS,11432,212-931-4724,39657,2015-05-09,Permitted,2 YEARS - 5 YEARS,103,No,Private,5,1,4,0,5,1.0,2.2,911,Average,1016,Average,1,1.0,2.2,40.7154673,-73.7765115
DC18898,ACADEMY OF LEARNING,GNK NY INC.,1334 EAST GUNHILL ROAD,BRONX,10469,718-405-2888,7950,2014-10-31,Permitted,2 YEARS - 5 YEARS,15,No,Private,8,2,0,6,6,1.33333,2.0,1070,Average,902,Average,1,1.33333,2.0,40.8706729,-73.84719
DC14291,ACE EARLY CHILDHOOD CENTER,"12TH STREET PRESCHOOL,INC.",199 14 STREET,BROOKLYN,11215,718-788-2668,5307,2015-10-21,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,15,5,4,6,8,1.875,3.625,1395,Bottom 30%,1452,Bottom 30%,1,1.875,3.625,40.6671728,-73.99043120000002
DC747,ACE INTEGRATION HEAD START,HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORPORATION,1419-23 BROADWAY,BROOKLYN,11221,718-443-3917,6971,2016-05-12,Permitted,2 YEARS - 5 YEARS,136,No,ACS Head Start,18,1,9,8,9,2.0,3.22222,1529,Bottom 30%,1345,Bottom 30%,1,2.0,3.22222,40.6886741,-73.9202153
DC2198,ACS,SOUTH JAMAICA CENTER FOR CHILDREN & PARENTS INC,114-02 GUY R BREWER BOULEVARD,QUEENS,11434,718-526-2500,5219,2015-12-24,Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start,3,0,3,0,7,0.428571,0.857143,473,Top 30%,502,Top 30%,1,0.428571,0.857143,40.688426,-73.78594799999999
DC14287,ACT PROGRAM AT THE CATHEDRAL OF ST. JOHN THE DIVINE.,CATHEDRAL OF ST. JOHN THE DIVINE,1047 AMSTERDAM AVENUE,MANHATTAN,10025,212-316-7530,7157,2015-07-18,Permitted,2 YEARS - 5 YEARS,22,No,Private,1,0,0,1,3,0.333333,0.333333,411,Top 30%,273,Top 15%,1,0.333333,0.333333,40.8041136,-73.96253209999999
DC962,ACTION NURSERY,"ACTION NURSERY, INC.",1019 46 STREET,BROOKLYN,11219,718-854-7777,4022,2015-03-11,Permitted,2 YEARS - 5 YEARS,30,No,ACS Contracted Preschools,6,0,1,5,4,1.5,1.75,1210,Average,811,Average,1,1.5,1.75,40.640521,-73.996214
DC19685 / DC14162 / DC10582 / DC22513,"THE JOY OF LEARNING DAY CARE CENTER / GOOD SAMARITAN FULTON DAY CARE CENTER - INFANT/TODDLER / GOOD SAMARITAN DAY CARE CENTER-PRESCHOOL / ADAPTIVE SOLUTIONS MULTI SERVICES (SLP, PT, OT, PSYCH)","JOY OF LEARNING CHILD DEVELOPMENT CORP. / GOOD SAMARITAN FULTON DAY CARE CENTER, INC. / GOOD SAMARITAN FULTON DAY CARE CENTER, INC. / ADAPTIVE SOLUTIONS MULTI SERVICES(SLP,PT,OT,PSYCH) PLLC",992 GATES AVENUE,BROOKLYN,11221,718-443-6463 / 718-443-6463 / 718-443-6463 / 718-483-9553,8016 / 6199 / 6198 / 16597,2015-06-01 / 2015-06-26 / 2016-06-27 / 2014-05-16,Permitted / Permitted / Permitted / Expired-InRenewal,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,75 / 96 / 30 / 102,No / No / No / No,Private / Private / Private / ACS Contracted Preschools,2 / 23 / 14 / 2,1 / 11 / 7 / 2,0 / 6 / 4 / 0,1 / 6 / 3 / 0,6 / 13 / 12 / 6,0.333333 / 1.76923 / 1.16667 / 0.333333,0.666667 / 3.92308 / 2.66667 / 1.0,408 / 1348 / 971 / 423,Top 30% / Bottom 30% / Average / Top 30%,434 / 1523 / 1177 / 575,Top 30% / Bottom 30% / Average / Top 30%,7,0.8928960208333333,1.8344335714285716,40.6890641,-73.9236289
DC24683,ADDIE MAE COLLINS,ADDIE MAE COLLINS COMMUNITY SERVICE III,2322 THIRD AVE,MANHATTAN,10035,212-831-3144,24778,2014-10-12,Permitted,2 YEARS - 5 YEARS,155,No,ACS Contracted Preschools,7,0,6,1,2,3.5,6.5,1958,Bottom 15%,1960,Bottom 15%,1,3.5,6.5,40.8047882,-73.93546289999999
DC2981,ADDIE MAE COLLINS COMMUNITY SERVICE HEAD START,"ADDIE MAE COLLINS COMMUNITY SERVICES, INC.",345 EAST 101 STREET,MANHATTAN,10029,212-831-6407,6148,2014-05-09,Expired-InRenewal,2 YEARS - 5 YEARS,30,No,ACS Head Start,2,0,1,1,4,0.5,0.75,476,Top 30%,470,Top 30%,1,0.5,0.75,40.7867723,-73.9426453
DC1229,ADDIE MAE COLLINS HEAD START #1,"ADDIE MAE COLLINS COMMUNITY SERVICE, INC.",110 EAST 129 STREET,MANHATTAN,10035,212-831-9220,4501,2015-03-16,Permitted,2 YEARS - 5 YEARS,40,No,ACS Head Start,1,0,0,1,4,0.25,0.25,320,Top 15%,259,Top 15%,1,0.25,0.25,40.8070295,-73.9362448
DC19052 / DC19051,ADVENTURELAND INFANT TODDLER / ADVENTURELAND CHILD CARE,ADVENTURELAND INFANT TODDLER / ADVENTURELAND CHILD CARE,32-04 31ST AVENUE,QUEENS,11106,718-777-2011 / 718-777-2011,7968 / 7969,2014-12-03 / 2014-12-03,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,36 / 81,No / No,Private / Private,14 / 16,2 / 3,9 / 10,3 / 3,6 / 6,2.33333 / 2.66667,4.5 / 5.33333,1621 / 1751,Bottom 30% / Bottom 30%,1672 / 1828,Bottom 30% / Bottom 30%,3,2.5,5.055553333333333,40.7638431,-73.9224461
DC2178 / DC1211 / DC14230,"BRIGHT BEGINNINGS / ADVENTURELAND INFANT CARE / ADVENTURELAND CHILD CARE CENTER, INC. PRESCHOOL","BRITE ADVENTURE CENTER,INC. / ADVENTURELAND INFANT CARE / ADVENTURELAND CHILD CARE, INC.",41-31 58 STREET,QUEENS,11377,718-274-4769 / 718-274-4769 / 718-274-4769,7262 / 7394 / 7176,2016-03-31 / 2015-03-23 / 2015-07-01,Permitted / Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,40 / 15 / 20,No / No / No,Private / Private / Private,1 / 2 / 2,0 / 0 / 0,1 / 2 / 2,0 / 0 / 0,7 / 7 / 8,0.142857 / 0.285714 / 0.25,0.285714 / 0.571429 / 0.5,242 / 356 / 319,Top 15% / Top 30% / Top 15%,268 / 399 / 369,Top 15% / Top 30% / Top 30%,5,0.236607,0.4761905333333333,40.743695,-73.90673699999999
DC21684,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER # 4,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER # 4,108-17  159TH STREET,QUEENS,11433,718-526-1506,8352,2015-07-01,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,7,0,5,2,6,1.16667,2.0,963,Average,921,Average,1,1.16667,2.0,40.69452190000001,-73.7934132
DC2451,"AFRO-AMERICAN PARENTS EDUCATIONAL CENTER, INC.","AFRO-AMERICAN PARENTS DAY CARE CENTER, INC.",112-06 SUTPHIN BOULEVARD,QUEENS,11435,718-322-9080,4789,2014-07-16,Permitted,2 YEARS - 5 YEARS,91,No,ACS Contracted Preschools,1,0,1,0,5,0.2,0.4,287,Top 15%,337,Top 15%,1,0.2,0.4,40.687103,-73.79485199999999
DC1530,AGAPE NURSERY SCHOOL,"KOREAN PRESBYTERIAN CHURCH OF QUEENS, INC.",143-17 FRANKLIN AVENUE,QUEENS,11355,718-886-3564,6163,2016-05-03,Permitted,2 YEARS - 5 YEARS,67,No,Private,2,1,1,0,5,0.4,1.0,434,Top 30%,585,Top 30%,1,0.4,1.0,40.7575628,-73.8215117
DC1783,AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,"ASSOCIATION FOR THE HELP OF RETARDED CHILDREN, INC.",195-201 CONSELYEA STREET,BROOKLYN,11211,718-782-1462,5687,2014-09-27,Permitted,2 YEARS - 5 YEARS,193,No,Private,7,2,2,3,6,1.16667,2.16667,974,Average,990,Average,1,1.16667,2.16667,40.7155559,-73.9434359
DC21490,AILEEN CLAVANO,DISCOVERY LANE,27-17 27 STREET,QUEENS,11102,718-440-6919,8365,2015-07-08,Permitted,2 YEARS - 5 YEARS,29,No,Private,19,3,14,2,7,2.71429,5.57143,1774,Bottom 30%,1866,Bottom 15%,1,2.71429,5.57143,40.7692884,-73.9231358
DC16698,AIM HIGH CHILDREN'S SERVICES,AIM HIGH CHILDREN'S SERVICES,229 PARKVILLE AVENUE,BROOKLYN,11230,718-438-7000,7856,2016-05-11,Permitted,2 YEARS - 5 YEARS,15,No,Private,18,4,10,4,6,3.0,6.0,1847,Bottom 30%,1916,Bottom 15%,1,3.0,6.0,40.631529,-73.970578
DC260,ALEENE LOGAN PRESCHOOL CENTER,"CLAREMONT NEIGHBORHOOD CENTER, INC.",1450 WEBSTER AVENUE,BRONX,10456,718-293-1530,4170,2015-11-02,Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools,16,2,7,7,4,4.0,6.75,2039,Bottom 15%,1985,Bottom 15%,1,4.0,6.75,40.8379224,-73.90624439999999
DC24873,"ALEPH BET NY, INC.","ALEPH BET NY, INC.",133-135 EAST 29TH STREET,MANHATTAN,10016,212-685-0241,28419,2014-12-03,Permitted,2 YEARS - 5 YEARS,30,No,Private,4,1,2,1,2,2.0,4.0,1424,Bottom 30%,1537,Bottom 30%,1,2.0,4.0,40.743217,-73.981318
