Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Lat,Lon
DC14175,"4 ANGELS DAY CARE, INC - PRESCHOOL PROGRAM",4 ANGELS DAY CARE INC.,245 SIMONSON AVENUE,STATEN ISLAND,10303,718-876-6498,7415,2015-07-05,Permitted,2 YEARS - 5 YEARS,21,Yes,Private,1,1,0,0,4,0.25,0.75,328,Top 15%,474,Top 30%,40.630438,-74.1521379
DC2643,"43RD STREET KIDS PRESCHOOL, INC.","43RD STREET KIDS PRESCHOOL, INC.",484 WEST 43 STREET,MANHATTAN,10036,212-564-7496,5185,2016-05-16,Permitted,2 YEARS - 5 YEARS,26,No,Private,7,1,2,4,5,1.4,2.2,1147,Average,1026,Average,40.7599572,-73.9947479
DC1187,82ND STREET ACADEMICS,82ND STREET  ACADEMICS INC,81-10 35 AVENUE,QUEENS,11372,718-457-0429,7006,2016-08-11,Permitted,2 YEARS - 5 YEARS,157,No,Private,6,1,2,3,5,1.2,2.0,1009,Average,968,Average,40.7517295,-73.88510219999999
DC2408,92ND ST. Y NURSERY SCHOOL,92ND ST. Y M & Y W H A,1395 LEXINGTON AVENUE,MANHATTAN,10128,212-415-5532,1940,2014-06-13,Expired-InRenewal,2 YEARS - 5 YEARS,170,No,Private,5,2,3,0,3,1.66667,4.0,1311,Average,1558,Bottom 30%,40.7830623,-73.95268039999999
DC20033,A & E CAROUSEL DAYCARE,"A & E CAROUSEL DAY CARE,INC.",150 CLERMONT AVENUE,BROOKLYN,11205,718-596-7912,8270,2015-03-31,Permitted,2 YEARS - 5 YEARS,25,No,Private,8,0,3,5,5,1.6,2.2,1249,Average,1024,Average,40.693278,-73.9710295
DC1135,A B C  ECHO PARK EARLY CHILDHOOD DEVELOPMENT CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028,7309,2014-12-15,Permitted,2 YEARS - 5 YEARS,124,Yes,ACS Head Start,0,0,0,0,4,0.0,0.0,132,Top 5%,191,Top 5%,40.805673,-73.938001
DC21753,"A BETTER START,INC.","A BETTER START,INC.",2339 TIEBOUT AVENUE,BRONX,10458,718-676-1796,8404,2015-10-19,Permitted,2 YEARS - 5 YEARS,29,No,Private,6,0,2,4,4,1.5,2.0,1203,Average,966,Average,40.8574997,-73.89673479999999
DC17130,"A CASTLE FOR  CLASSY KIDS LEARNING CENTER, INC.","A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",2570 PITKIN AVENUE,BROOKLYN,11208,347-750-8154,8171,2016-05-24,Permitted,2 YEARS - 5 YEARS,24,No,Private,6,0,4,2,4,1.5,2.5,1216,Average,1159,Average,40.6746071,-73.8772986
DC2840,A CHILD'S PLACE PRE SCHOOL,"A CHILD'S PLACE TOO,INC",32-20 108 ST,QUEENS,11369,718-565-2170,6966,2016-04-02,Permitted,2 YEARS - 5 YEARS,104,No,Private,8,1,5,2,8,1.0,1.875,797,Average,872,Average,40.759286,-73.861564
DC12223,A CHILD'S PLACE TOO,A CHILD'S PLACE NURSERY,32-20 108 ST,QUEENS,11369,718-565-2170,7386,2015-03-25,Permitted,0 YEARS - 2 YEARS,46,No,Private,4,0,4,0,6,0.666667,1.33333,646,Top 30%,664,Average,40.759286,-73.861564
DC25663,"A CHILD'S PLACE TOO, INC","A CHILD'S PLACE TOO, INC.",100-10 ASTORIA BLVD.,QUEENS,11369,718-446-0200,51781,2015-09-10,Permitted,2 YEARS - 5 YEARS,45,No,Private,2,0,2,0,2,1.0,2.0,808,Average,965,Average,40.759806,-73.89533
DC2111,A CHILDS HOME DAY CARE,GLORIA PANKY,427 NEW LOTS AVENUE,BROOKLYN,11207,718-927-0373,7395,2015-01-07,Permitted,2 YEARS - 5 YEARS,24,No,Private,25,10,8,7,7,3.57143,7.57143,1991,Bottom 15%,2072,Bottom 5%,40.6626,-73.891949
DC1980,A H R C  HOWARD HABER  E.L.C,"N Y S ASSOCIATION FOR RETARDED CHILDREN,INC.",2300 WESTCHESTER AVENUE,BRONX,10462,718-409-1450,6030,2015-03-17,Permitted,2 YEARS - 5 YEARS,152,Yes,Private,3,1,1,1,3,1.0,2.0,812,Average,963,Average,40.8350348,-73.8479705
DC2655,A M A C CHILDREN'S HOUSE,"A M A C, INC.",25 WEST 17 STREET,MANHATTAN,10011,212-645-5005,5950,2015-02-09,Permitted,2 YEARS - 5 YEARS,96,No,Private,2,0,2,0,2,1.0,2.0,813,Average,962,Average,40.7386488,-73.99361379999999
DC1523,A NEW DAWN ELEMENTARY & PRE-SCHOOL,"A NEW DAWN ELEMENTARY SCHOOL,INC.",89-14 163 STREET,QUEENS,11432,718-206-1500,6180,2016-05-10,Permitted,2 YEARS - 5 YEARS,20,No,Private,11,1,8,2,8,1.375,2.625,1133,Average,1177,Average,40.7065303,-73.7981744
DC15139,"A TO Z CENTER TOO, INC.","A TO Z CENTER TOO, INC.",220-24 JAMAICA AVENUE,QUEENS,11428,718-740-8400,7605,2016-06-21,Permitted,2 YEARS - 5 YEARS,187,No,Private,4,2,2,0,7,0.571429,1.42857,562,Top 30%,721,Average,40.7192374,-73.7336849
DC17883,A TO Z DAY CARE CENTER,A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM INC.A TO Z DAY CARE CENTER INC.,3053 AVENUE U,BROOKLYN,11229,718-368-1234,7960,2014-12-05,Permitted,2 YEARS - 5 YEARS,54,No,Private,5,1,0,4,5,1.0,1.4,823,Average,704,Average,40.601218,-73.9368719
DC1116,A TO Z LEARNING CENTER,A TO Z MANAGEMENT INC.,123-21 JAMAICA AVENUE,QUEENS,11418,718-805-4400,6709,2015-10-11,Permitted,2 YEARS - 5 YEARS,29,No,Private,3,1,2,0,5,0.6,1.4,571,Top 30%,706,Average,40.7008287,-73.8264955
DC1831,A YOU'RE ADORABLE,"A YOU'RE ADORABLE,INC.",3304 GRISWOLD AVENUE,BRONX,10465,718-863-3455,7137,2015-06-09,Permitted,2 YEARS - 5 YEARS,47,No,Private,9,0,6,3,4,2.25,3.75,1618,Bottom 30%,1510,Bottom 30%,40.8448824,-73.81639779999999
DC14857,ABC CASSIDY'S PLACE,ASSOCIATION TO BENEFIT CHILDREN,419 EAST 86TH STREET,MANHATTAN,10028,212-831-1322,6390,2015-08-06,Permitted,2 YEARS - 5 YEARS,120,Yes,Private,1,0,0,1,3,0.333333,0.333333,426,Top 30%,311,Top 15%,40.776764,-73.94839
DC620,ABC CHILD CENTER,"ABC CHILD CENTER,INC",109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,6084,2016-07-03,Permitted,2 YEARS - 5 YEARS,45,No,Private,28,6,11,11,8,3.5,6.375,1982,Bottom 15%,1964,Bottom 15%,40.724395,-73.949659
DC3111,ABC EARLY LEARNING CENTER,ABC EARLY LEARNING CENTER INC.,54-25 LITTLE NECK PKWY,QUEENS,11362,718-225-8044,7216,2016-03-31,Permitted,2 YEARS - 5 YEARS,76,No,Private,2,0,1,1,6,0.333333,0.5,416,Top 30%,393,Top 30%,40.7603856,-73.72279759999999
DC16933,ABC EARLY LEARNING CENTER OF BAY TERRACE,ABC EARLY LEARNING CENTER INC,208-90 CROSS ISLAND PKWY,QUEENS,11360,718-428-0005,7866,2016-04-09,Permitted,2 YEARS - 5 YEARS,36,No,Private,3,1,2,0,4,0.75,1.75,677,Average,825,Average,40.788154,-73.78412
DC14505,ABC ECHO PARK EARLY CHILDHOOD CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028,7344,2016-01-28,Permitted,0 YEARS - 2 YEARS,22,Yes,Private,0,0,0,0,5,0.0,0.0,162,Top 5%,182,Top 5%,40.805673,-73.938001
DC20590,ABC INFANT & TODDLER CENTER,"ABC INFANT & TODDLER CENTER,INC.",109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,43577,2015-06-13,Permitted,0 YEARS - 2 YEARS,31,No,Private,0,0,0,0,4,0.0,0.0,163,Top 5%,181,Top 5%,40.724395,-73.949659
DC20687,ABC KEITH HARING SCHOOL,ASSOCIATION TO BENEFIT CHILDREN,318 EAST 116TH STREET,MANHATTAN,10029,212-426-3960,53757,2015-11-01,Permitted,0 YEARS - 2 YEARS,10,No,Head Start (Direct Fed. Funding),3,0,1,2,1,3.0,4.0,1864,Bottom 30%,1578,Bottom 30%,40.796341,-73.936959
DC22552,ABC KIDDIE LAND DAY CARE CENTER,"ABC KIDDIE LAND, INC.",67-05  ROOSEVELT AVENUE,QUEENS,11377,718-651-3551,26898,2014-11-07,Permitted,2 YEARS - 5 YEARS,26,No,Private,0,0,0,0,4,0.0,0.0,165,Top 5%,176,Top 5%,40.746434,-73.89788999999999
DC10481,ABC KIDDIELAND DAY CARE CENTER,"ABC KIDDIELAND, INC",65-21 ROOSEVELT AVE,QUEENS,11377,718-651-3551,7571,2016-03-19,Permitted,2 YEARS - 5 YEARS,22,No,Private,0,0,0,0,5,0.0,0.0,166,Top 5%,175,Top 5%,40.7461173,-73.8982884
DC15616,ABC MINISTRY AND COUNSELING CENTER,"ABC MINISTRY AND COUNSELING CENTER, INC",9302  AVENUE B,BROOKLYN,11236,718-498-8937,7738,2015-04-19,Permitted,2 YEARS - 5 YEARS,46,No,Private,93,18,49,26,17,5.47059,10.4706,2151,Bottom 5%,2150,Bottom 5%,40.650813,-73.913809
DC16811,ABC MINISTRY AND COUNSELING CENTER,"ABC MINISTRY AND COUSELING CENTER,INC.",9302  AVENUE B,BROOKLYN,11236,718-498-8937,7708,2015-01-25,Permitted,0 YEARS - 2 YEARS,10,No,Private,44,8,28,8,14,3.14286,6.28571,1902,Bottom 15%,1956,Bottom 15%,40.650813,-73.913809
DC1155,ABC PRESCHOOL,ABC PRE-SCHOOL & KINDERGARTEN CENTER CORP.,66-20 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2249,2015-05-23,Permitted,2 YEARS - 5 YEARS,131,No,Private,0,0,0,0,5,0.0,0.0,171,Top 5%,165,Top 5%,40.739446,-73.898004
DC1164,ABC PRESCHOOL & KINDERGARTEN CENTER,"ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",66-26 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2098,2014-10-29,Permitted,2 YEARS - 5 YEARS,26,No,Private,0,0,0,0,4,0.0,0.0,172,Top 5%,163,Top 5%,40.7396994,-73.8985113
DC15271,ABC VARIETY CODY GIFFORD HOUSE,ASSOCIATION TO BENEFIT CHILDREN,404 EAST 91ST STREET,MANHATTAN,10128,212-369-2010,7684,2015-12-18,Permitted,0 YEARS - 2 YEARS,17,No,Private,3,1,2,0,1,3.0,7.0,1867,Bottom 30%,2035,Bottom 15%,40.7797402,-73.9467183
DC18804,ABYSSINIAN HEAD START - ADAM CLAYTON POWELL JR. CENTER,ABYSSINIAN DEVELOPMENT CORP.,25 WEST 132ND STREET,MANHATTAN,10037,212-234-9252,7949,2014-10-15,Permitted,2 YEARS - 5 YEARS,45,No,ACS Head Start,5,2,3,0,4,1.25,3.0,1029,Average,1283,Average,40.81168,-73.939663
DC1500,ABYSSINIAN HEAD START- ANNIE G. NEWSOME CENTER,ABYSSINIAN DEVELOPMENT CORPORATION,129 WEST 138 STREET,MANHATTAN,10030,212-690-2869,6124,2014-07-30,Expired-InRenewal,2 YEARS - 5 YEARS,54,No,ACS Head Start,18,4,11,3,7,2.57143,5.28571,1742,Bottom 30%,1828,Bottom 30%,40.8164589,-73.9404148
DC17076,ABYSSINIAN/ANNIE G. NEWSOME  HEAD START I I,ABYSSINIAN DEVELOPMENT CORP.,646 LENOX AVENUE,MANHATTAN,10037,212-991-3932,7759,2015-05-14,Permitted,2 YEARS - 5 YEARS,28,No,ACS Head Start,24,9,9,6,11,2.18182,4.63636,1586,Bottom 30%,1713,Bottom 30%,40.8186128,-73.93746089999999
DC2026,ACADEMICS  R US LTD.,ACADEMICS R US LTD,1339 EAST GUNHILL ROAD,BRONX,10469,718-324-8720,7047,2014-12-19,Permitted,2 YEARS - 5 YEARS,75,No,Private,13,4,5,4,7,1.85714,3.71429,1405,Bottom 30%,1499,Bottom 30%,40.871031,-73.8466739
DC25095,ACADEMY OF EXCELLENCE BELL PARK,"BELL PARK CHILD CARE CENTER, INC.",178-36 WEXFORD  TERRACE,QUEENS,11432,212-931-4724,39657,2015-05-09,Permitted,2 YEARS - 5 YEARS,103,No,Private,5,1,4,0,5,1.0,2.2,785,Average,1015,Average,40.7154673,-73.7765115
DC18898,ACADEMY OF LEARNING,GNK NY INC.,1334 EAST GUNHILL ROAD,BRONX,10469,718-405-2888,7950,2014-10-31,Permitted,2 YEARS - 5 YEARS,15,No,Private,8,2,0,6,6,1.33333,2.0,1129,Average,972,Average,40.8706729,-73.84719
DC14291,ACE EARLY CHILDHOOD CENTER,"12TH STREET PRESCHOOL,INC.",199 14 STREET,BROOKLYN,11215,718-788-2668,5307,2015-10-21,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,15,5,4,6,7,2.14286,4.14286,1569,Bottom 30%,1605,Bottom 30%,40.6671728,-73.99043120000002
DC747,ACE INTEGRATION HEAD START,HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORPORATION,1419-23 BROADWAY,BROOKLYN,11221,718-443-3917,6971,2016-05-12,Permitted,2 YEARS - 5 YEARS,136,No,ACS Head Start,18,1,9,8,9,2.0,3.22222,1510,Bottom 30%,1361,Bottom 30%,40.6886741,-73.9202153
DC2198,ACS,SOUTH JAMAICA CENTER FOR CHILDREN & PARENTS INC,114-02 GUY R BREWER BOULEVARD,QUEENS,11434,718-526-2500,5219,2015-12-24,Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start,3,0,3,0,7,0.428571,0.857143,483,Top 30%,516,Top 30%,40.688426,-73.78594799999999
DC14287,ACT PROGRAM AT THE CATHEDRAL OF ST. JOHN THE DIVINE.,CATHEDRAL OF ST. JOHN THE DIVINE,1047 AMSTERDAM AVENUE,MANHATTAN,10025,212-316-7530,7157,2015-07-18,Permitted,2 YEARS - 5 YEARS,22,No,Private,1,0,0,1,3,0.333333,0.333333,422,Top 30%,298,Top 15%,40.8041136,-73.96253209999999
DC962,ACTION NURSERY,"ACTION NURSERY, INC.",1019 46 STREET,BROOKLYN,11219,718-854-7777,4022,2015-03-11,Permitted,2 YEARS - 5 YEARS,30,No,ACS Contracted Preschools,13,2,5,6,5,2.6,4.4,1762,Bottom 30%,1659,Bottom 30%,40.640521,-73.996214
DC22513,"ADAPTIVE SOLUTIONS MULTI SERVICES (SLP, PT, OT, PSYCH)","ADAPTIVE SOLUTIONS MULTI SERVICES(SLP,PT,OT,PSYCH) PLLC",992 GATES AVENUE,BROOKLYN,11221,718-483-9553,16597,2016-05-16,Permitted,2 YEARS - 5 YEARS,102,No,Private,2,2,0,0,6,0.333333,1.0,423,Top 30%,592,Top 30%,40.6890641,-73.9236289
DC24683,ADDIE MAE COLLINS,ADDIE MAE COLLINS COMMUNITY SERVICE III,2322 THIRD AVE,MANHATTAN,10035,212-831-3144,24778,2014-10-12,Permitted,2 YEARS - 5 YEARS,155,No,ACS Contracted Preschools,7,0,6,1,2,3.5,6.5,1975,Bottom 15%,1970,Bottom 15%,40.8047882,-73.93546289999999
DC2981,ADDIE MAE COLLINS COMMUNITY SERVICE HEAD START,"ADDIE MAE COLLINS COMMUNITY SERVICES, INC.",345 EAST 101 STREET,MANHATTAN,10029,212-831-6407,6148,2016-05-09,Permitted,2 YEARS - 5 YEARS,30,No,ACS Head Start,2,0,1,1,4,0.5,0.75,517,Top 30%,481,Top 30%,40.7867723,-73.9426453
DC1229,ADDIE MAE COLLINS HEAD START #1,"ADDIE MAE COLLINS COMMUNITY SERVICE, INC.",110 EAST 129 STREET,MANHATTAN,10035,212-831-9220,4501,2015-03-16,Permitted,2 YEARS - 5 YEARS,40,No,ACS Head Start,1,0,0,1,4,0.25,0.25,326,Top 15%,268,Top 15%,40.8070295,-73.9362448
DC19051,ADVENTURELAND CHILD CARE,ADVENTURELAND CHILD CARE,32-04 31ST AVENUE,QUEENS,11106,718-777-2011,7969,2014-12-03,Permitted,2 YEARS - 5 YEARS,81,No,Private,14,3,8,3,5,2.8,5.6,1813,Bottom 30%,1874,Bottom 15%,40.7638431,-73.9224461
DC14230,"ADVENTURELAND CHILD CARE CENTER, INC. PRESCHOOL","ADVENTURELAND CHILD CARE, INC.",41-31 58 STREET,QUEENS,11377,718-274-4769,7176,2015-07-01,Permitted,2 YEARS - 5 YEARS,20,No,Private,2,0,2,0,8,0.25,0.5,337,Top 15%,410,Top 30%,40.743695,-73.90673699999999
DC1211,ADVENTURELAND INFANT CARE,ADVENTURELAND INFANT CARE,41-31 58 STREET,QUEENS,11377,718-274-4769,7394,2015-03-23,Permitted,0 YEARS - 2 YEARS,15,No,Private,2,0,2,0,7,0.285714,0.571429,374,Top 30%,416,Top 30%,40.743695,-73.90673699999999
DC19052,ADVENTURELAND INFANT TODDLER,ADVENTURELAND INFANT TODDLER,32-04 31ST AVENUE,QUEENS,11106,718-777-2011,7968,2014-12-03,Permitted,0 YEARS - 2 YEARS,36,No,Private,14,2,9,3,6,2.33333,4.5,1639,Bottom 30%,1689,Bottom 30%,40.7638431,-73.9224461
DC21684,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER # 4,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER # 4,108-17  159TH STREET,QUEENS,11433,718-526-1506,8352,2015-07-01,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,7,0,5,2,7,1.0,1.71429,864,Average,811,Average,40.69452190000001,-73.7934132
DC2451,"AFRO-AMERICAN PARENTS EDUCATIONAL CENTER, INC.","AFRO-AMERICAN PARENTS DAY CARE CENTER, INC.",112-06 SUTPHIN BOULEVARD,QUEENS,11435,718-322-9080,4789,2014-07-16,Expired-InRenewal,2 YEARS - 5 YEARS,91,No,ACS Contracted Preschools,1,0,1,0,5,0.2,0.4,280,Top 15%,337,Top 15%,40.687051,-73.79486949999999
DC1530,AGAPE NURSERY SCHOOL,"KOREAN PRESBYTERIAN CHURCH OF QUEENS, INC.",143-17 FRANKLIN AVENUE,QUEENS,11355,718-886-3564,6163,2016-05-03,Permitted,2 YEARS - 5 YEARS,67,No,Private,2,1,1,0,5,0.4,1.0,453,Top 30%,568,Top 30%,40.7575628,-73.8215117
DC1783,AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,"ASSOCIATION FOR THE HELP OF RETARDED CHILDREN, INC.",195-201 CONSELYEA STREET,BROOKLYN,11211,718-782-1462,5687,2014-09-27,Permitted,2 YEARS - 5 YEARS,193,No,Private,6,2,2,2,5,1.2,2.4,1010,Average,1118,Average,40.7155559,-73.9434359
DC21490,AILEEN CLAVANO,DISCOVERY LANE,27-17 27 STREET,QUEENS,11102,718-440-6919,8365,2015-07-08,Permitted,2 YEARS - 5 YEARS,29,No,Private,19,3,14,2,7,2.71429,5.57143,1796,Bottom 30%,1873,Bottom 15%,40.7692884,-73.9231358
DC16698,AIM HIGH CHILDREN'S SERVICES,AIM HIGH CHILDREN'S SERVICES,229 PARKVILLE AVENUE,BROOKLYN,11230,718-438-7000,7856,2016-05-11,Permitted,2 YEARS - 5 YEARS,15,No,Private,18,4,10,4,6,3.0,6.0,1866,Bottom 30%,1930,Bottom 15%,40.631529,-73.970578
DC260,ALEENE LOGAN PRESCHOOL CENTER,"CLAREMONT NEIGHBORHOOD CENTER, INC.",1450 WEBSTER AVENUE,BRONX,10456,718-293-1530,4170,2015-11-02,Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools,16,2,7,7,4,4.0,6.75,2073,Bottom 15%,2003,Bottom 15%,40.8379224,-73.90624439999999
DC24873,"ALEPH BET NY, INC.","ALEPH BET NY, INC.",133-135 EAST 29TH STREET,MANHATTAN,10016,212-685-0241,28419,2014-12-03,Permitted,2 YEARS - 5 YEARS,30,No,Private,4,1,2,1,2,2.0,4.0,1508,Bottom 30%,1584,Bottom 30%,40.743217,-73.981318
DC14224,ALL CHILDREN'S CHILD CARE,ALL CHILDREN'S CHILD CARE,32-04  31 AVENUE,QUEENS,11106,718-777-2011,7970,2014-12-03,Permitted,2 YEARS - 5 YEARS,54,No,Private,3,0,2,1,4,0.75,1.25,673,Average,650,Top 30%,40.7638431,-73.9224461
DC12377,ALL CHILDREN'S CHILDCARE (INFANT/TODDLER),"ALL CHILDREN CHILDCARE CENTER OF QUEENS, INC.",35-01 24 STREET,QUEENS,11106,718-707-0501,6856,2015-05-27,Permitted,0 YEARS - 2 YEARS,19,No,Private,4,0,4,0,5,0.8,1.6,732,Average,769,Average,40.759907,-73.93275899999999
DC2838,ALL CHILDREN'S CHILDCARE (PRESCHOOL),"ALL CHILDREN CHILDCARE CENTER OF QUEENS, INC.",35-01 24 STREET,QUEENS,11106,718-707-0501,6855,2015-05-26,Permitted,2 YEARS - 5 YEARS,82,No,Private,4,0,4,0,4,1.0,2.0,883,Average,991,Average,40.759907,-73.93275899999999
DC2226,"ALL MY CHILDREN CARE INC, NURSERY","ALL MY CHILDREN DAY CARE INC, NURSERY",169-07 JEWEL AVENUE,QUEENS,11365,718-658-1563,6094,2015-08-26,Permitted,2 YEARS - 5 YEARS,29,No,ACS Contracted Preschools,9,0,9,0,8,1.125,2.25,966,Average,1038,Average,40.7314886,-73.7999255
DC23264,ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL, INC.",110-15 164 PLACE,QUEENS,11433,718-526-5911,25917,2014-10-22,Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools,13,0,6,7,9,1.44444,2.11111,1170,Average,992,Average,40.6936021,-73.7869668
DC24654,ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE & NURSERY SCHOOL, INC.",117-16 SUTPHIN BLVD.,QUEENS,11434,718-322-2030,25997,2014-10-23,Permitted,2 YEARS - 5 YEARS,99,No,ACS Contracted Preschools,4,0,4,0,9,0.444444,0.888889,489,Top 30%,523,Top 30%,40.679887,-73.792371
DC12381,ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE,INC",175-44 MAYFIELD ROAD,QUEENS,11432,718-658-1563,6598,2014-12-01,Permitted,0 YEARS - 2 YEARS,25,No,Private,2,1,1,0,7,0.285714,0.714286,377,Top 30%,469,Top 30%,40.7167764,-73.7896155
DC3120,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,175-44 MAYFIELD ROAD,QUEENS,11432,718-658-1563,6190,2016-05-17,Permitted,2 YEARS - 5 YEARS,60,No,Private,7,2,4,1,6,1.16667,2.5,983,Average,1130,Average,40.7167764,-73.7896155
DC24553,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,420 LEFFERTS AVENUE,BROOKLYN,11225,718-756-2020,25377,2014-10-17,Permitted,2 YEARS - 5 YEARS,198,No,ACS Contracted Preschools,12,3,5,4,4,3.0,5.75,1844,Bottom 30%,1899,Bottom 15%,40.6622569,-73.947273
DC24547,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,771 CROWN STREET,BROOKLYN,11213,718-756-8300,25957,2014-10-23,Permitted,2 YEARS - 5 YEARS,42,No,ACS Contracted Preschools,15,2,9,4,8,1.875,3.5,1414,Bottom 30%,1438,Bottom 30%,40.66552,-73.931956
