Site ID,Visit Date,Visit Type,Summary
DC5090,07/05/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC5090,02/06/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC5090,05/16/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC5090,05/03/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC5090,08/17/2011,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,No Cause for Action - There were no violations found at the time of this inspection.
DC20555,02/04/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC20555,12/03/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC20555,08/13/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC20555,02/05/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC20555,05/24/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC11899,04/10/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service teaching staff acting as assistant teachers do not meet age and educational requirements.
DC11899,09/18/2013,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC11899,01/11/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC11899,10/01/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC11899,08/07/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Notice of Violation - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required.  A Notice of Violation was served to the child care service that may result in fines."
DC11899,05/09/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Notice of Violation - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required.  A Notice of Violation was served to the child care service that may result in fines."
DC11899,03/01/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC11899,10/18/2011,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,No Cause for Action - There were no violations found at the time of this inspection.
DC11899,10/17/2011,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC3070,05/01/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC3070,03/27/2014,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC3070,04/17/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC3070,06/20/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC3070,06/07/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC961,05/07/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.
DC961,04/16/2014,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Notice of Violation - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required.  A Notice of Violation was served to the child care service that may result in fines."
DC961,03/21/2014,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Notice of Violation - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required.  A Notice of Violation was served to the child care service that may result in fines."
DC961,03/07/2014,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Notice of Violation - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required.  A Notice of Violation was served to the child care service that may result in fines."
DC961,02/20/2014,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Notice of Violation - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required.  A Notice of Violation was served to the child care service that may result in fines."
DC961,01/16/2014,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC961,06/11/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Violations Complied With - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection.  At the time of the inspection all public health hazards and critical violations were corrected and there were fewer than six general violations remaining.  No compliance inspection is needed."
DC961,05/17/2013,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC961,05/17/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - Violations Complied With - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection.  At the time of the inspection all public health hazards and critical violations were corrected and there were fewer than six general violations remaining.  No compliance inspection is needed."
DC961,04/09/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC961,03/21/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC961,03/21/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC961,03/21/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC961,02/21/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC961,02/21/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC961,02/21/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC961,12/27/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC961,12/27/2012,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC961,08/15/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - Notice of Violation - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required.  A Notice of Violation was served to the child care service that may result in fines."
DC961,07/06/2012,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC961,03/29/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC961,01/26/2012,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC961,12/08/2011,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC961,12/07/2011,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC14772,12/05/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14772,05/08/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC14772,01/10/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC14772,06/20/2012,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC14772,04/12/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC20062,06/10/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service failed to maintain required staff to child supervision ratios at time of inspection.
DC20062,05/15/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC20062,04/17/2014,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC20062,03/07/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC20062,01/02/2013,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC20062,12/12/2012,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC20062,02/17/2012,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC20062,01/24/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC14404,05/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14404,10/02/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC14404,03/01/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC14404,02/07/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Violations Complied With - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection.  At the time of the inspection all public health hazards and critical violations were corrected and there were fewer than six general violations remaining.  No compliance inspection is needed."
DC14404,06/28/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC14404,08/03/2011,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Violations Complied With - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection.  At the time of the inspection all public health hazards and critical violations were corrected and there were fewer than six general violations remaining.  No compliance inspection is needed."
DC14175,05/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14175,10/02/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC14175,03/01/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,No Cause for Action - There were no violations found at the time of this inspection.
DC14175,02/07/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Violations Complied With - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection.  At the time of the inspection all public health hazards and critical violations were corrected and there were fewer than six general violations remaining.  No compliance inspection is needed."
DC14175,06/28/2012,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC2643,04/01/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2643,03/27/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,No Cause for Action - There were no violations found at the time of this inspection.
DC2643,12/17/2013,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC2643,01/31/2013,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC2643,01/17/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,No Cause for Action - There were no violations found at the time of this inspection.
DC2643,01/30/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC2643,01/19/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,No Cause for Action - There were no violations found at the time of this inspection.
DC1187,05/28/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC1187,05/07/2014,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC1187,10/08/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC1187,04/24/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC1187,11/28/2012,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC1187,07/19/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC1187,05/30/2012,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC1187,09/22/2011,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC1187,09/20/2011,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC1187,09/19/2011,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC2408,10/24/2013,PUBLIC HEALTH SANITATION INSPECTION,Fire extinguishers observed not to be inspected or maintained at time of inspection.
DC2408,03/01/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC2408,09/27/2012,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC2408,01/04/2012,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC2408,11/16/2011,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC20033,03/06/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC20033,03/05/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC20033,09/19/2013,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC20033,01/03/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC20033,11/01/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC20033,10/13/2011,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC20033,08/31/2011,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC1135,04/16/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1135,06/13/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC1135,02/06/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC1135,12/17/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,No Cause for Action - There were no violations found at the time of this inspection.
DC1135,05/16/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,No Cause for Action - There were no violations found at the time of this inspection.
DC1135,04/24/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Violations Complied With - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection.  At the time of the inspection all public health hazards and critical violations were corrected and there were fewer than six general violations remaining.  No compliance inspection is needed."
DC21753,04/03/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC21753,05/01/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC21753,03/21/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC21753,09/27/2012,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC21753,07/26/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC21753,04/25/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC17130,03/24/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.
DC17130,01/06/2014,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC17130,04/30/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Violations Complied With - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection.  At the time of the inspection all public health hazards and critical violations were corrected and there were fewer than six general violations remaining.  No compliance inspection is needed."
DC17130,04/03/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC17130,03/23/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC17130,11/30/2011,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC2840,02/12/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service staff identified/acting as group teachers do not meet the required qualifications of the position.
DC2840,01/02/2014,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC2840,09/24/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Notice of Violation - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required.  A Notice of Violation was served to the child care service that may result in fines."
DC2840,09/10/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC2840,07/18/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC2840,02/04/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC2840,08/02/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC2840,02/29/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC2840,01/04/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC2840,12/22/2011,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC12223,03/06/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC12223,01/02/2014,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC12223,09/17/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC12223,02/21/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC12223,02/04/2013,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC12223,08/22/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC12223,08/02/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC12223,12/22/2011,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC12223,10/18/2011,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,No Cause for Action - There were no violations found at the time of this inspection.
DC25663,06/26/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC25663,02/25/2014,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC2111,04/10/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.
DC2111,03/26/2014,PUBLIC HEALTH SANITATION INSPECTION,Violation of Rules and Regulations Per Schedule -  Five or fewer general violations; no re-inspection required.
DC2111,08/30/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC2111,08/30/2013,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC2111,12/21/2012,PUBLIC HEALTH SANITATION INSPECTION,No Cause for Action - There were no violations found at the time of this inspection.
DC2111,11/30/2012,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,No Cause for Action - There were no violations found at the time of this inspection.
DC2111,10/19/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations-Closed - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection.  The child care service was closed at the time of the inspection, but may have been allowed to re-open conditionally by the time this result was posted on the web site.   A compliance inspection is required."
DC2111,06/13/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Violations Complied With - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection.  At the time of the inspection all public health hazards and critical violations were corrected and there were fewer than six general violations remaining.  No compliance inspection is needed."
DC2111,05/03/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - Notice of Violation - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required.  A Notice of Violation was served to the child care service that may result in fines."
DC2111,03/16/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
DC2111,02/15/2012,PUBLIC HEALTH SANITATION INSPECTION,"Violation of Rules and Regulations - At least one public health hazard, critical or more than five general violations were observed at the time of  the inspection; compliance inspection is required."
