Site ID,Visit Date,Regulation Summary,Violation Category,Code-Sub-Section,Violation Status
DC21684,02/20/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC2451,05/05/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1530,03/04/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC1783,05/23/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,
DC21490,05/19/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC16698,05/07/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC260,10/10/2013,Proper ventilation not provided or maintained at time of inspection. Indoor air quality nuisance allowed to exist at time of inspection.,CRITICAL,47.45 (a)+,CORRECTED
DC24873,11/26/2013,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC24873,11/26/2013,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC24873,11/26/2013,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC24873,11/26/2013,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC14224,05/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC12377,03/06/2014,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),CORRECTED
DC2838,03/06/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC2838,03/06/2014,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),CORRECTED
DC2226,12/19/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC2226,12/19/2013,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),CORRECTED
DC23264,01/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24654,05/22/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC12381,05/22/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC3120,04/29/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24553,05/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24547,03/07/2014,At time of inspection stairways observed without protective barriers. Stairways not provided with child height banisters. Protective barriers not provided where required.,CRITICAL,47.41 (g)+,CORRECTED
DC24547,03/07/2014,Child care service fails to provide/maintain fire alarm when required.,PUBLIC HEALTH HAZARD,47.59 (c)+*,CORRECTED
DC22860,05/21/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),
DC22860,05/21/2014,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),
DC17905,01/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24552,12/12/2013,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC24552,12/12/2013,Child care service failed to maintain required staff to child supervision ratios at time of inspection.,PUBLIC HEALTH HAZARD,47.23 (f)*,CORRECTED
DC24552,12/12/2013,Proper ventilation not provided or maintained at time of inspection. Indoor air quality nuisance allowed to exist at time of inspection.,CRITICAL,47.45 (a)+,CORRECTED
DC24552,12/12/2013,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC23263,04/28/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC24549,02/13/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC24549,02/13/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC24549,02/13/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC24550,02/11/2014,At time of inspection inside temperature of between 68 deg. F. and 72 deg. F. was not maintained when outside temperature registered below 55 deg. F.,CRITICAL,47.57 (d),CORRECTED
DC24554,01/29/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC24551,02/11/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC11544,04/01/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC11544,04/01/2014,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),CORRECTED
DC22115,10/17/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22230,10/17/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC11674,04/02/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC11867,04/02/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),CORRECTED
DC11867,04/02/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC2583,04/08/2014,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC2583,04/08/2014,At time of inspection it was observed in the child care service that a bathroom/closet or other enclosed space has a locking mechanism solely operable from inside the space.,CRITICAL,47.41 (i)+,CORRECTED
DC2583,04/08/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC2583,04/08/2014,Adulterated food observed being served. Food contact surfaces observed not manufactured as required. Food is not protected from cross contamination at time of inspection.,PUBLIC HEALTH HAZARD,81.07 (a)*,CORRECTED
DC2583,04/08/2014,Appropriate methods to maintain food prep area free of pests was not provided or maintained at time of inspection.,GENERAL,81.23 (c),CORRECTED
DC923,12/17/2013,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC923,12/17/2013,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC923,12/17/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC923,12/17/2013,Food worker observed in soiled outer garments; hair nets observed not being used at time of inspection where required.,GENERAL,81.13 (b),CORRECTED
DC923,12/17/2013,Walls and ceiling observed constructed of inappropriate materials. Walls and ceilings not maintained at time of inspection.,GENERAL,81.21 (f),CORRECTED
DC14204,04/09/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2452,01/09/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2601,04/09/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22980,01/30/2014,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC22981,01/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20584,05/15/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC109,05/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC19490,05/15/2014,Child care service operating without a permit; Permit expired.,PUBLIC HEALTH HAZARD,47.03 (a)*,
DC18411,11/25/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC18411,11/25/2013,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC18411,11/25/2013,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC18411,11/25/2013,Food worker observed in soiled outer garments; hair nets observed not being used at time of inspection where required.,GENERAL,81.13 (b),CORRECTED
DC23050,01/16/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC12242,02/25/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC822,03/31/2014,Child care service staff identified/acting as group teachers do not meet the required qualifications of the position.,GENERAL,47.13 (d),
DC822,03/31/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,
DC822,03/31/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC822,03/31/2014,Child care service failed to submit a corrective action plan within five days when required; corrective action plan not approved.,CRITICAL,47.21 (a),
DC822,03/31/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC18823,04/11/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC18823,04/11/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC18823,04/11/2014,Restricted animal observed in child care service at time of inspection.,GENERAL,47.53,CORRECTED
DC18823,04/11/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC18823,04/11/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC10465,02/05/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC19771,02/12/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24572,04/11/2014,Education Director or equivalent was not present at the time of inspection to supervise children/staff in an infant/toddler program.,CRITICAL,47.23 (c),CORRECTED
DC24572,04/11/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC24572,04/11/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),CORRECTED
DC24572,04/11/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC2585,11/20/2013,At time of inspection lavatory facilities failed to be provided with child high/accessible toilets and sinks.,CRITICAL,47.43 (f)+,CORRECTED
DC2585,11/20/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC14676,05/21/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC14676,05/21/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,
DC14676,05/21/2014,Restriction on juice service not complied with at time of inspection.,GENERAL,47.61 (b)(2),
DC14676,05/21/2014,Restriction on milk service not complied with at time of inspection.,GENERAL,47.61 (b)(3),
DC14676,05/21/2014,Child foods not maintained at required temperatures at time of inspection. Child care service failed to provide parents with nutritional guidelines.,GENERAL,47.61 (c),
DC19803,03/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20395,03/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC16721,04/16/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC22141,03/11/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC22141,03/11/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC22141,03/11/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC22142,03/11/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC19201,09/05/2013,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC19201,09/05/2013,Child care service not free of pests or maintains pest harborage conditions at time of inspection.,CRITICAL,47.51 (a),CORRECTED
DC2110,10/24/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14793,10/24/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2046,05/06/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),
DC1344,05/19/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC1344,05/19/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),CORRECTED
DC19204,03/27/2014,Permittee failed to submit permit renewal application at least 90 days prior to permit expiration date.,CRITICAL,47.09 (c),CORRECTED
DC19204,03/27/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),CORRECTED
DC21046,03/27/2014,Permittee failed to submit permit renewal application at least 90 days prior to permit expiration date.,CRITICAL,47.09 (c),CORRECTED
DC21046,03/27/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC1130,05/14/2014,Climbing and other elevated equipment observed not provided with approved resilient ground cover at time of inspection.,CRITICAL,47.47 (f),CORRECTED
DC1130,05/14/2014,At time of inspection play equipment was observed not to be maintained or not free of other hazards.,CRITICAL,47.47 (g),CORRECTED
DC17011,01/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24691,04/25/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC2871,02/07/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24766,05/20/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC24766,05/20/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC24766,05/20/2014,Restricted animal observed in child care service at time of inspection.,GENERAL,47.53,
DC2040,11/22/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
