Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type
DC620,ABC CHILD CENTER,"ABC CHILD CENTER,INC",109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,6084,07/03/2014,Permitted,2 YEARS - 5 YEARS,45,No,Private
DC3111,ABC EARLY LEARNING CENTER,ABC EARLY LEARNING CENTER INC.,54-25 LITTLE NECK PKWY,QUEENS,11362,718-225-8044,7216,03/31/2016,Permitted,2 YEARS - 5 YEARS,76,No,Private
DC16933,ABC EARLY LEARNING CENTER OF BAY TERRACE,ABC EARLY LEARNING CENTER INC,208-90 CROSS ISLAND PKWY,QUEENS,11360,718-428-0005,7866,04/09/2014,Expired-InRenewal,2 YEARS - 5 YEARS,36,No,Private
DC14505,ABC ECHO PARK EARLY CHILDHOOD CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841 PARK AVENUE,MANHATTAN,10035,646-459-6028,7344,01/28/2016,Permitted,0 YEARS - 2 YEARS,22,Yes,Private
DC20590,ABC INFANT & TODDLER CENTER,"ABC INFANT & TODDLER CENTER,INC.",109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,43577,06/13/2015,Permitted,0 YEARS - 2 YEARS,31,No,Private
DC20687,ABC KEITH HARING SCHOOL,ASSOCIATION TO BENEFIT CHILDREN,318 EAST 116TH STREET,MANHATTAN,10029,212-426-3960,53757,11/01/2015,Permitted,0 YEARS - 2 YEARS,10,No,Head Start (Direct Fed. Funding)
DC22552,ABC KIDDIE LAND DAY CARE CENTER,"ABC KIDDIE LAND, INC.",67-05  ROOSEVELT AVENUE,QUEENS,11377,718-651-3551,26898,11/07/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC10481,ABC KIDDIELAND DAY CARE CENTER,"ABC KIDDIELAND, INC",65-21 ROOSEVELT AVE,QUEENS,11377,718-651-3551,7571,03/19/2016,Permitted,2 YEARS - 5 YEARS,22,No,Private
DC15616,ABC MINISTRY AND COUNSELING CENTER,"ABC MINISTRY AND COUNSELING CENTER, INC",9302  AVENUE B,BROOKLYN,11236,718-498-8937,7738,04/19/2015,Permitted,2 YEARS - 5 YEARS,46,No,Private
DC16811,ABC MINISTRY AND COUNSELING CENTER,"ABC MINISTRY AND COUSELING CENTER,INC.",9302  AVENUE B,BROOKLYN,11236,718-498-8937,7708,01/25/2015,Permitted,0 YEARS - 2 YEARS,10,No,Private
DC1155,ABC PRESCHOOL,ABC PRE-SCHOOL & KINDERGARTEN CENTER CORP.,66-20 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2249,05/23/2015,Permitted,2 YEARS - 5 YEARS,131,No,Private
DC1164,ABC PRESCHOOL & KINDERGARTEN CENTER,"ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",66-26 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2098,10/29/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC15271,ABC VARIETY CODY GIFFORD HOUSE,ASSOCIATION TO BENEFIT CHILDREN,404 EAST 91ST STREET,MANHATTAN,10128,212-369-2010,7684,12/18/2015,Permitted,0 YEARS - 2 YEARS,17,No,Private
DC18804,ABYSSINIAN HEAD START - ADAM CLAYTON POWELL JR. CENTER,ABYSSINIAN DEVELOPMENT CORP.,25 WEST 132ND STREET,MANHATTAN,10037,212-234-9252,7949,10/15/2014,Permitted,2 YEARS - 5 YEARS,45,No,ACS Head Start
DC1500,ABYSSINIAN HEAD START- ANNIE G. NEWSOME CENTER,ABYSSINIAN DEVELOPMENT CORPORATION,129 WEST 138 STREET,MANHATTAN,10030,212-690-2869,6124,07/30/2014,Permitted,2 YEARS - 5 YEARS,54,No,ACS Head Start
DC2026,ACADEMICS  R US LTD.,ACADEMICS R US LTD,1339 EAST GUNHILL ROAD,BRONX,10469,718-324-5720,7047,12/19/2014,Permitted,2 YEARS - 5 YEARS,75,No,Private
DC25095,ACADEMY OF EXCELLENCE BELL PARK,"BELL PARK CHILD CARE CENTER, INC.",178-36 WEXFORD  TERRACE,QUEENS,11432,212-931-4724,39657,05/09/2015,Permitted,2 YEARS - 5 YEARS,103,No,Private
DC18898,ACADEMY OF LEARNING,GNK NY INC.,1334 EAST GUNHILL ROAD,BRONX,10469,718-405-2888,7950,10/31/2014,Permitted,2 YEARS - 5 YEARS,15,No,Private
DC14291,ACE EARLY CHILDHOOD CENTER,"12TH STREET PRESCHOOL,INC.",199 14 STREET,BROOKLYN,11215,718-788-2668,5307,10/21/2015,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools
DC747,ACE INTEGRATION HEAD START,HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORPORATION,1419-23 BROADWAY,BROOKLYN,11221,718-443-3917,6971,05/12/2016,Permitted,2 YEARS - 5 YEARS,136,No,ACS Head Start
DC2198,ACS,SOUTH JAMAICA CENTER FOR CHILDREN & PARENTS INC,114-02 GUY R BREWER BOULEVARD,QUEENS,11434,718-526-2500,5219,12/24/2015,Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start
DC19634,ACS,THE CHILD CENTER OF NEW YORK,34-10 108TH STREET,QUEENS,11368,347-287-0175,8033,06/27/2015,Permitted,2 YEARS - 5 YEARS,162,Yes,ACS Contracted Preschools
DC14287,ACT PROGRAM AT THE CATHEDRAL OF ST. JOHN THE DIVINE.,CATHEDRAL OF ST. JOHN THE DIVINE,1047 AMSTERDAM AVENUE,MANHATTAN,10025,212-316-7530,7157,07/18/2015,Permitted,2 YEARS - 5 YEARS,22,No,Private
DC962,ACTION NURSERY,"ACTION NURSERY, INC.",1019 46 STREET,BROOKLYN,11219,718-854-7777,4022,03/11/2015,Permitted,2 YEARS - 5 YEARS,30,No,ACS Contracted Preschools
DC22513,"ADAPTIVE SOLUTIONS MULTI SERVICES (SLP, PT, OT, PSYCH)","ADAPTIVE SOLUTIONS MULTI SERVICES(SLP,PT,OT,PSYCH) PLLC",992 GATES AVENUE,BROOKLYN,11221,718-483-9553,16597,05/16/2014,Expired-InRenewal,2 YEARS - 5 YEARS,102,No,ACS Contracted Preschools
DC24683,ADDIE MAE COLLINS,ADDIE MAE COLLINS COMMUNITY SERVICE III,2322 THIRD AVE,MANHATTAN,10035,212-831-3144,24778,10/12/2014,Permitted,2 YEARS - 5 YEARS,155,No,ACS Contracted Preschools
DC2981,ADDIE MAE COLLINS COMMUNITY SERVICE HEAD START,"ADDIE MAE COLLINS COMMUNITY SERVICES, INC.",345 EAST 101 STREET,MANHATTAN,10029,212-831-7373,6148,05/09/2014,Expired-InRenewal,2 YEARS - 5 YEARS,30,No,ACS Head Start
DC1229,ADDIE MAE COLLINS HEAD START #1,"ADDIE MAE COLLINS COMMUNITY SERVICE, INC.",110 EAST 129 STREET,MANHATTAN,10035,212-831-9220,4501,03/16/2015,Permitted,2 YEARS - 5 YEARS,40,No,ACS Head Start
DC19051,ADVENTURELAND CHILD CARE,ADVENTURELAND CHILD CARE,32-04 31ST AVENUE,QUEENS,11106,718-777-2011,7969,12/03/2014,Permitted,2 YEARS - 5 YEARS,81,No,Private
DC14230,"ADVENTURELAND CHILD CARE CENTER, INC. PRESCHOOL","ADVENTURELAND CHILD CARE, INC.",41-31 58 STREET,QUEENS,11377,718-274-4769,7176,07/01/2015,Permitted,2 YEARS - 5 YEARS,20,No,Private
DC1211,ADVENTURELAND INFANT CARE,ADVENTURELAND INFANT CARE,41-31 58 STREET,QUEENS,11377,718-274-4769,7394,03/23/2015,Permitted,0 YEARS - 2 YEARS,15,No,Private
DC19052,ADVENTURELAND INFANT TODDLER,ADVENTURELAND INFANT TODDLER,32-04 31ST AVENUE,QUEENS,11106,718-777-2011,7968,12/03/2014,Permitted,0 YEARS - 2 YEARS,36,No,Private
DC21684,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER # 4,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER # 4,108-17  159TH STREET,QUEENS,11433,718-526-1506,8352,07/01/2015,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools
DC2451,"AFRO-AMERICAN PARENTS EDUCATIONAL CENTER, INC.","AFRO-AMERICAN PARENTS DAY CARE CENTER, INC.",112-06 SUTPHIN BOULEVARD,QUEENS,11435,718-322-9080,4789,07/16/2014,Permitted,2 YEARS - 5 YEARS,91,No,ACS Contracted Preschools
DC1530,AGAPE NURSERY SCHOOL,"KOREAN PRESBYTERIAN CHURCH OF QUEENS, INC.",143-17 FRANKLIN AVENUE,QUEENS,11355,718-886-3564,6163,05/03/2014,Expired-InRenewal,2 YEARS - 5 YEARS,67,No,Private
DC1783,AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,"ASSOCIATION FOR THE HELP OF RETARDED CHILDREN, INC.",195-201 CONSELYEA STREET,BROOKLYN,11211,718-782-1462,5687,09/27/2014,Permitted,2 YEARS - 5 YEARS,193,No,Private
DC21490,AILEEN CLAVANO,DISCOVERY LANE,27-17 27 STREET,QUEENS,11102,718-440-6919,8365,07/08/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private
DC16698,AIM HIGH CHILDREN'S SERVICES,AIM HIGH CHILDREN'S SERVICES,229 PARKVILLE AVENUE,BROOKLYN,11230,718-438-7000,7856,05/11/2016,Permitted,2 YEARS - 5 YEARS,15,No,Private
DC260,ALEENE LOGAN PRESCHOOL CENTER,"CLAREMONT NEIGHBORHOOD CENTER, INC.",1450 WEBSTER AVENUE,BRONX,10456,718-293-1530,4170,11/02/2015,Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools
DC24873,"ALEPH BET NY, INC.","ALEPH BET NY, INC.",133-135 EAST 29TH STREET,MANHATTAN,10016,212-685-0241,28419,12/03/2014,Permitted,2 YEARS - 5 YEARS,20,No,Private
DC14224,ALL CHILDREN'S CHILD CARE,ALL CHILDREN'S CHILD CARE,32-04  31 AVENUE,QUEENS,11106,718-777-2011,7970,12/03/2014,Permitted,2 YEARS - 5 YEARS,54,No,Private
DC12377,ALL CHILDREN'S CHILDCARE (INFANT/TODDLER),"ALL CHILDREN CHILDCARE CENTER OF QUEENS, INC.",35-01 24 STREET,QUEENS,11106,718-707-0501,6856,05/27/2015,Permitted,0 YEARS - 2 YEARS,19,No,Private
DC2838,ALL CHILDREN'S CHILDCARE (PRESCHOOL),"ALL CHILDREN CHILDCARE CENTER OF QUEENS, INC.",35-01 24 STREET,QUEENS,11106,718-707-0501,6855,05/26/2015,Permitted,2 YEARS - 5 YEARS,82,No,Private
DC2226,"ALL MY CHILDREN CARE INC, NURSERY","ALL MY CHILDREN DAY CARE INC, NURSERY",169-07 JEWEL AVENUE,QUEENS,11365,718-658-1563,6094,08/26/2015,Permitted,2 YEARS - 5 YEARS,29,No,ACS Contracted Preschools
DC23264,ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL, INC.",110-15 164 PLACE,QUEENS,11433,718-526-5911,25917,10/22/2014,Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools
DC24654,ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE & NURSERY SCHOOL, INC.",117-16 SUTPHIN BLVD.,QUEENS,11434,718-322-2030,25997,10/23/2014,Permitted,2 YEARS - 5 YEARS,99,No,ACS Contracted Preschools
DC12381,ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE,INC",175-44 MAYFIELD ROAD,QUEENS,11432,718-658-1563,6598,12/01/2014,Permitted,0 YEARS - 2 YEARS,25,No,Private
DC3120,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,175-44 MAYFIELD ROAD,QUEENS,11432,718-658-1563,6190,05/17/2014,Expired-InRenewal,2 YEARS - 5 YEARS,60,No,Private
DC24553,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,420 LEFFERTS AVENUE,BROOKLYN,11225,718-756-2020,25377,10/17/2014,Permitted,2 YEARS - 5 YEARS,198,No,ACS Contracted Preschools
DC24547,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,771 CROWN STREET,BROOKLYN,11213,718-756-8300,25957,10/23/2014,Permitted,2 YEARS - 5 YEARS,42,No,ACS Contracted Preschools
DC22860,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,"ALL MY CHILDREN DAY CARE & NURSERY, INC.",83-10 188 STREET,QUEENS,11423,718-454-5600,25177,10/16/2014,Permitted,2 YEARS - 5 YEARS,58,No,ACS Contracted Preschools
DC17905,ALL MY CHILDREN DAY CARE &NURSERY SCHOOL INC.,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL INC.,66-05 108 STREET,QUEENS,11375,718-592-8981,27238,11/14/2014,Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools
DC24552,ALL MY CHILDREN DAY CARE 11,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,317 ROGERS AVENUE,BROOKLYN,11225,718-771-8075,24878,10/12/2014,Permitted,2 YEARS - 5 YEARS,90,No,ACS Contracted Preschools
DC23263,ALL MY CHILDREN DAY CARE AND NURSERY,"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL, INC.",36-49 11 STREET,QUEENS,11106,718-786-1166,26618,10/26/2014,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools
DC24549,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,36 FORD STREET,BROOKLYN,11213,718-576-6812,24658,10/12/2014,Permitted,2 YEARS - 5 YEARS,154,No,ACS Contracted Preschools
DC24550,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,36 FORD STREET,BROOKLYN,11213,718-576-6812,25417,10/17/2014,Permitted,0 YEARS - 2 YEARS,48,No,ACS Contracted Preschools
DC24554,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,771 CROWN STREET,BROOKLYN,11213,718-756-8300,28679,12/06/2014,Permitted,0 YEARS - 2 YEARS,27,No,ACS Contracted Preschools
DC24551,ALL MY CHILDREN DAY CARE AND NURSEY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,739 EAST NEW YORK AVENUE,BROOKLYN,11203,718-493-1100,27477,11/16/2014,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools
DC11544,ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,108-22 69 AVENUE,QUEENS,11375,718-544-0007,7425,07/25/2015,Permitted,2 YEARS - 5 YEARS,43,No,Private
DC22115,ALL SEASONS A & C DAY CARE,"ALL SEASONS A & C DAY CARE, LLC",700 ROSEWOOD STREET,BRONX,10467,718-231-7200,24119,10/05/2014,Permitted,2 YEARS - 5 YEARS,24,No,Private
DC22230,ALL SEASONS A & C DAY CARE,ALL SEASONS A & C DAY CARE LLC,700 ROSEWOOD STREET,BRONX,10467,718-231-7200,24139,10/05/2014,Permitted,0 YEARS - 2 YEARS,19,No,Private
DC11674,ALL SEASONS DAY CARE,ALL SEASONS DAY CARE LLC,1701 NEREID AVENUE,BRONX,10466,718-324-8300,7237,05/05/2016,Permitted,2 YEARS - 5 YEARS,27,No,Private
DC11867,ALL SEASONS DAY NURSERY INFANT/TODDLER,"ALL SEASONS DAY CARE, LLC",1701 NEREID AVENUE,BRONX,10466,718-324-8300,7458,11/06/2014,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC2583,ALL SOULS SCHOOL,ALL SOULS SCHOOL,1157 LEXINGTON AVENUE,MANHATTAN,10075,212-861-5232,2014,04/26/2015,Permitted,2 YEARS - 5 YEARS,110,No,Private
DC26028,ALL STARS DAY CARE,ALL STARS DAYCARE GROUP INC.,4111 AVENUE J,BROOKLYN,11210,917-933-4747,56497,02/03/2016,Permitted,2 YEARS - 5 YEARS,28,No,Private
DC923,ALPHA CHRISTIAN DAYCARE INC.,ALPHA CHRISTIAN DAYCARE INC.,921 EAST 107 STREET,BROOKLYN,11236,718-272-0505,7178,12/21/2015,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC14204,ALPHA FUNDEMENTAL PRESCHOOL. INC.,ALPHA FUNDAMENTAL # 2,218-28 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,7541,12/21/2015,Permitted,2 YEARS - 5 YEARS,20,No,Private
DC2452,"ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER, INC.","ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER, INC.",144-06 ROCKAWAY BOULEVARD,QUEENS,11436,718-322-6242,5005,12/21/2013,Expired-InRenewal,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools
DC2601,ALPHAFUNDAMENTAL PRESCHOOL.INC.,ALPHA-FUNDAMENTAL PRE-SCHOOL INC,218-30 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,6119,09/21/2015,Permitted,2 YEARS - 5 YEARS,30,No,Private
DC22980,"ALWAYZ 123 EARLY LEARNING CENTER, INC.","ALWAYZ 1.2.3. EARLY LEARNING CENTER, INC. (P.S.)",80 BAY STREET,STATEN ISLAND,10301,718-815-4701,49197,07/31/2015,Permitted,2 YEARS - 5 YEARS,20,No,Private
DC22981,"ALWAYZ 123 EARLY LEARNING CENTER, INC.","ALWAYZ 1.2.3. EARLY LEARNING CENTER, INC. (I/T)",80 BAY STREET,STATEN ISLAND,10301,718-815-4701,49177,07/26/2015,Permitted,0 YEARS - 2 YEARS,12,No,Private
DC20584,AMAC,"ASSOCIATION FOR METROAREA AUTISTIC CHILDREN, INC.",25 WEST 17TH STREET,MANHATTAN,10011,212-645-5005,19617,07/30/2014,Permitted,0 YEARS - 2 YEARS,10,No,Private
DC109,AMALGAMATED NURSERY SCHOOL,AMALGAMATED NURSERY SCHOOL,3980 ORLOFF AVENUE,BRONX,10463,718-543-8688,7169,11/09/2015,Permitted,2 YEARS - 5 YEARS,56,No,Private
DC19490,AMAZING CHILDREN EARLY LEARNING CENTER,DIWANTIE SEEMANGAL,758 EAST 222 STREET,BRONX,10467,347-899-8576,15998,05/07/2014,Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private
DC18411,AMAZING MAGIC BEANS,AMAZING CHILD CARE INC.,43-12 46TH ST.,QUEENS,11104,718-786-8091,7933,09/07/2014,Permitted,2 YEARS - 5 YEARS,50,No,Private
DC23050,AMBASSADOR CHRISTIAN DAY CARE ACADEMY,LEONIA GIPSON,993 CLARKSON AVENUE,BROOKLYN,11212,718-809-0233,32579,02/14/2015,Permitted,2 YEARS - 5 YEARS,21,No,Private
DC12242,AMERICAN EUROPEAN CHILD CARE,"EUROPEAN CHILD CARE DAY CARE CENTER, INC.",2150 BENSON AVENUE,BROOKLYN,11214,718-265-4477,6191,08/15/2015,Permitted,0 YEARS - 2 YEARS,10,No,Private
DC822,AMERICAN-EUROPEAN CHILD CARE DAY CARE CENTER,"EUROPEAN CHILD CARE DAY CARE CENTER, INC.",2150 BENSON AVENUE,BROOKLYN,11214,718-265-4477,5938,10/23/2014,Permitted,2 YEARS - 5 YEARS,21,No,Private
DC18823,AMY'S ACADEMY,AMY'S KIDDIE DAY CARE CENTER LLC,102 FENIMORE STREET,BROOKLYN,11225,718-462-3200,7955,11/26/2014,Permitted,2 YEARS - 5 YEARS,36,No,Private
DC10465,ANGEL STAR DAY CARE CENTER,"ANGEL STAR DAY CARE CENTER, INC.",6803 20 AVENUE,BROOKLYN,11204,718-331-7282,7501,01/01/2015,Permitted,2 YEARS - 5 YEARS,19,No,Private
DC19771,ANGELS IN THE GARDENS CHILD CARE CORP,ANGELS IN THE GARDENS CHILD CARE CORP,72-32 GREENWAY SOUTH,QUEENS,11375,718-997-0990,8288,04/18/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private
DC24572,ANNA LEFKOWITZ DAY CARE CENTER,"PHILIP MICHAELS CHILD CARE CENTER, INC.",690 WESTCHESTER AVENUE,BRONX,10455,718-292-8682,23437,09/28/2014,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools
DC2585,ANTIOCH  ACADEMY,ANTIOCH BAPTIST CHURCH,515 WEST 125 STREET,MANHATTAN,10027,212-222-2324,5247,09/30/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private
