Site ID,Visit Date,Visit Type,Summary
DC1211,02/24/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC19052,03/31/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC21684,02/20/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC2451,05/05/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC1530,03/04/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.
DC1783,05/23/2014,PUBLIC HEALTH SANITATION INSPECTION,Fire extinguishers observed not to be inspected or maintained at time of inspection.
DC21490,05/19/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.
DC16698,05/07/2014,PUBLIC HEALTH SANITATION INSPECTION,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.
DC260,10/10/2013,PUBLIC HEALTH SANITATION INSPECTION,Proper ventilation not provided or maintained at time of inspection. Indoor air quality nuisance allowed to exist at time of inspection.
DC24873,11/26/2013,PUBLIC HEALTH SANITATION INSPECTION,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.
DC14224,05/15/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC12377,03/06/2014,PUBLIC HEALTH SANITATION INSPECTION,Individual certified in food protection not on site during periods of food preparation.
DC2838,03/06/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC2226,12/19/2013,PUBLIC HEALTH SANITATION INSPECTION,Individual certified in food protection not on site during periods of food preparation.
DC23264,01/30/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC24654,05/22/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC12381,05/22/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC3120,04/29/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC24553,05/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC24547,03/07/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service fails to provide/maintain fire alarm when required.
DC22860,05/21/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC17905,01/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC24552,12/12/2013,PUBLIC HEALTH SANITATION INSPECTION,Child care service failed to maintain required staff to child supervision ratios at time of inspection.
DC23263,04/28/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC24549,02/13/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC24550,02/11/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection inside temperature of between 68 deg. F. and 72 deg. F. was not maintained when outside temperature registered below 55 deg. F.
DC24554,01/29/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC24551,02/11/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC11544,04/01/2014,PUBLIC HEALTH SANITATION INSPECTION,Individual certified in food protection not on site during periods of food preparation.
DC22115,10/17/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC22230,10/17/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC11674,04/02/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC11867,04/02/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.
DC2583,04/08/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.
DC26028,No visit found in database.,,
DC923,12/17/2013,PUBLIC HEALTH SANITATION INSPECTION,Walls and ceiling observed constructed of inappropriate materials. Walls and ceilings not maintained at time of inspection.
DC14204,04/09/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2452,01/09/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2601,04/09/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC22980,01/30/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.
DC22981,01/30/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC20584,05/15/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC109,05/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC19490,05/15/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service operating without a permit; Permit expired.
DC18411,11/25/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC23050,01/16/2014,PUBLIC HEALTH SANITATION INSPECTION,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.
DC12242,02/25/2014,PUBLIC HEALTH SANITATION INSPECTION,Fire extinguishers observed not to be inspected or maintained at time of inspection.
DC822,03/31/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to submit a corrective action plan within five days when required; corrective action plan not approved.
DC18823,04/11/2014,PUBLIC HEALTH SANITATION INSPECTION,Restricted animal observed in child care service at time of inspection.
DC10465,02/05/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC19771,02/12/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC24572,04/11/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Education Director or equivalent was not present at the time of inspection to supervise children/staff in an infant/toddler program.
DC2585,11/20/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection lavatory facilities failed to be provided with child high/accessible toilets and sinks.
DC14676,05/21/2014,PUBLIC HEALTH SANITATION INSPECTION,Child foods not maintained at required temperatures at time of inspection. Child care service failed to provide parents with nutritional guidelines.
DC19803,03/06/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC20395,03/06/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC16721,04/16/2014,PUBLIC HEALTH SANITATION INSPECTION,Fire extinguishers observed not to be inspected or maintained at time of inspection.
DC22141,03/11/2014,PUBLIC HEALTH SANITATION INSPECTION,Exits and other egress not provided with required signage at time of inspection.
DC22142,03/11/2014,PUBLIC HEALTH SANITATION INSPECTION,Exits and other egress not provided with required signage at time of inspection.
DC19201,09/05/2013,PUBLIC HEALTH SANITATION INSPECTION,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.
DC2110,10/24/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14793,10/24/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2046,05/06/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.
DC1344,05/19/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,All teachers have not received training in infectious disease control and reporting.
DC19204,03/27/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Permittee failed to submit permit renewal application at least 90 days prior to permit expiration date.
DC21046,03/27/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC1130,05/14/2014,PUBLIC HEALTH SANITATION INSPECTION,Climbing and other elevated equipment observed not provided with approved resilient ground cover at time of inspection.
DC17011,01/30/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC24691,04/25/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.
DC2871,02/07/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC24766,05/20/2014,PUBLIC HEALTH SANITATION INSPECTION,Restricted animal observed in child care service at time of inspection.
DC2040,11/22/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC17018,05/29/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC10769,11/08/2013,PUBLIC HEALTH SANITATION INSPECTION,Beverages with added sweeteners observed being served to children at time of inspection.
DC18803,11/22/2013,PUBLIC HEALTH SANITATION INSPECTION,Designated outdoor play area was observed without fencing of appropriate height at time of inspection.
DC25195,01/15/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service failed to maintain required staff to child supervision ratios at time of inspection.
DC23234,02/28/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC24700,01/23/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC18950,03/12/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC22198,10/09/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.
DC19171,05/16/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC22490,05/27/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC22324,01/30/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC20809,12/24/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC25392,03/18/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.
DC22831,05/23/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC21577,11/22/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.
DC21649,01/24/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC21648,01/24/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14146,01/28/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1795,04/09/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.
DC2207,09/26/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC10953,09/26/2013,PUBLIC HEALTH SANITATION INSPECTION,Fire extinguishers observed not to be inspected or maintained at time of inspection.
DC2150,04/14/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service failed to provide constant and competent supervision for children within its care.
DC2163,03/05/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC15167,01/31/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC12261,10/03/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.
DC2685,04/08/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.
DC14176,05/12/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.
DC2208,05/12/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC2219,01/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14373,01/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC25250,01/24/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service operating without a permit; Permit expired.
DC956,02/07/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC12226,02/07/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC16737,01/15/2014,PUBLIC HEALTH SANITATION INSPECTION,Criminal and child abuse screening documentation not submitted during application process.
DC628,04/01/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC129,04/07/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service observed at time of inspection to be providing care for infants under 12 months of age in groups mixed with older children.
DC10624,04/15/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC22424,05/29/2014,PUBLIC HEALTH SANITATION INSPECTION,Safe sleep environment not provided in infant toddler service; safe sleep environment does not comply with US CPSC and ASTM standards.
DC21356,05/29/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC25788,02/12/2014,PUBLIC HEALTH SANITATION INSPECTION,"At time of inspection children were observed occupying space not previously approved by the Dept of Buildings, FDNY and/or DOHMH."
DC23100,No visit found in database.,,
DC20580,04/10/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC23106,02/21/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.
DC25881,05/06/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC22000,05/29/2014,PUBLIC HEALTH SANITATION INSPECTION,"At time of inspection children were observed occupying space not previously approved by the Dept of Buildings, FDNY and/or DOHMH."
DC1702,03/25/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Permit application is incomplete.
DC440,05/07/2014,PUBLIC HEALTH SANITATION INSPECTION,Required smoke and carbon monoxide detectors not provided or maintained at time of inspection.
DC2013,01/23/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC738,03/10/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC169,03/19/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC176,12/05/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC174,02/14/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC26008,04/25/2014,PUBLIC HEALTH SANITATION INSPECTION,Fire extinguishers observed not to be inspected or maintained at time of inspection.
DC175,05/06/2014,PUBLIC HEALTH SANITATION INSPECTION,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.
DC170,03/13/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC173,03/21/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC25042,05/06/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.
DC24792,11/20/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.
DC24793,05/22/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC171,01/24/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC14775,05/16/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service failed to maintain required staff to child supervision ratios at time of inspection.
DC20320,07/16/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC19580,07/16/2013,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC25731,No visit found in database.,,
DC25729,No visit found in database.,,
DC21312,12/18/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC22468,10/07/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC22469,10/07/2013,PUBLIC HEALTH SANITATION INSPECTION,Exits and other egress not provided with required signage at time of inspection.
DC21556,02/05/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC14844,05/19/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC14463,05/19/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.
DC2413,10/03/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14301,09/27/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC19576,03/26/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14427,12/10/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC24618,03/11/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.
DC11731,05/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC269,05/15/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC1359,02/19/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC14281,04/17/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC3128,04/08/2014,PUBLIC HEALTH SANITATION INSPECTION,Exits and other egress not provided with required signage at time of inspection.
DC22449,No visit found in database.,,
