Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Total Maximum Capacity,Lat,Lon
ABC PRESCHOOL,ABC PRE-SCHOOL  KINDERGARTEN CENTER CORP,66-20 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2249,05/23/2015,  Permitted,2 YEARS - 5 YEARS,131,No,Private,131,40.739446,-73.898004
ABC PRESCHOOL  KINDERGARTEN CENTER,ABC PRESCHOOL  KINDERGARTEN CENTER CORP,66-26 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2098,10/29/2014,  Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.7396994,-73.8985113
ABC VARIETY CODY GIFFORD HOUSE,ASSOCIATION TO BENEFIT CHILDREN,404 EAST 91ST STREET,MANHATTAN,10128,212-369-2010,7684,12/18/2015,  Permitted,0 YEARS - 2 YEARS,17,No,Private,17,40.7797402,-73.9467183
ABC VARIETY CODY GIFFORD HOUSE AT ST JOSEPHS,ASSOCIATION TO BENEFIT CHILDREN INC,420  EAST 87TH STREET,MANHATTAN,10128,212-369-2010,45718,06/28/2015,  Permitted,0 YEARS - 2 YEARS,17,No,Private,17,40.7769469,-73.9480191
ABYSSINIAN HEAD START - ADAM CLAYTON POWELL JR CENTER,ABYSSINIAN DEVELOPMENT CORP,25 WEST 132ND STREET,MANHATTAN,10037,212-234-9252,7949,10/15/2014,  Permitted,2 YEARS - 5 YEARS,45,No,ACS Head Start,45,40.81168,-73.939663
ABYSSINIAN HEAD START- ANNIE G NEWSOME CENTER,ABYSSINIAN DEVELOPMENT CORPORATION,129 WEST 138 STREET,MANHATTAN,10030,212-690-2869,6124,07/30/2014,  Permitted,2 YEARS - 5 YEARS,54,No,ACS Head Start,54,40.8167525,-73.9411133
ABYSSINIAN/ANNIE G NEWSOME  HEAD START I I,ABYSSINIAN DEVELOPMENT CORP,646 LENOX AVENUE,MANHATTAN,10037,212-991-3930,7759,05/14/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,28,No,ACS Head Start,28,40.8186128,-73.93746089999999
ACADEMICS  R US LTD,ACADEMICS R US LTD,1339 EAST GUNHILL ROAD,BRONX,10469,718-324-8720,7047,12/19/2014,  Permitted,2 YEARS - 5 YEARS,75,No,Private,75,40.871031,-73.8466739
ACADEMY OF EXCELLENCE BELL PARK,BELL PARK CHILD CARE CENTER INC,178-36 WEXFORD  TERRACE,QUEENS,11432,212-931-4724,39657,05/09/2015,  Permitted,2 YEARS - 5 YEARS,103,No,Private,103,40.7154673,-73.7765115
ACADEMY OF LEARNING,GNK NY INC,1334 EAST GUNHILL ROAD,BRONX,10469,718-405-2888,7950,10/31/2014,  Permitted,2 YEARS - 5 YEARS,15,No,Private,15,40.8706729,-73.84719
ACE EARLY CHILDHOOD CENTER,12TH STREET PRESCHOOLINC,199 14 STREET,BROOKLYN,11215,718-788-2668,5307,10/21/2015,  Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,55,40.6672439,-73.99029399999999
ACS,SOUTH JAMAICA CENTER FOR CHILDREN  PARENTS INC,114-02 GUY R BREWER BOULEVARD,QUEENS,11434,718-526-2500,5219,12/24/2015,  Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start,57,40.688426,-73.78594799999999
ACS,THE CHILD CENTER OF NEW YORK,34-10 108TH STREET,QUEENS,11368,347-287-0175,8033,06/27/2015,  Permitted,2 YEARS - 5 YEARS,162,Yes,ACS Contracted Preschools,162,40.7558142,-73.8606578
ACT PROGRAM AT THE CATHEDRAL OF ST JOHN THE DIVINE,CATHEDRAL OF ST JOHN THE DIVINE,1047 AMSTERDAM AVENUE,MANHATTAN,10025,212-316-7530,7157,07/18/2015,  Permitted,2 YEARS - 5 YEARS,22,No,Private,22,40.8041136,-73.96253209999999
ESCUELA HISPANA  MONTESSORI / ACTION FOR PROGRESS CHILD CARE CENTER,ESCUELA HISPANA MONTESSORI / ACTION FOR PROGRESSINC,180 SUFFOLK STREET,MANHATTAN,10002,212-982-6650 / 212-475-4340,8173 / 8172,05/25/2014 / 05/24/2014,  Permitted /   Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,201 / 50,No / No,ACS Head Start / ACS Contracted Preschools,251,40.7212064,-73.9846913
ACTION NURSERY,ACTION NURSERY INC,1019 46 STREET,BROOKLYN,11219,718-854-7777,4022,03/11/2015,  Permitted,2 YEARS - 5 YEARS,30,No,ACS Contracted Preschools,30,40.640521,-73.996214
THE JOY OF LEARNING DAY CARE CENTER / GOOD SAMARITAN FULTON DAY CARE CENTER-PRESCHOOL / GOOD SAMARITAN FULTON DAY CARE CENTER - INFANT/TODDLER / ADAPTIVE SOLUTIONS MULTI SERVICES SLP PT OT PSYCH,JOY OF LEARNING CHILD DEVELOPMENT CORP / GOOD SAMARITAN FULTON DAY CARE CENTER INC / GOOD SAMARITAN FULTON DAY CARE CENTER INC / ADAPTIVE SOLUTIONS MULTI SERVICESSLPPTOTPSYCH PLLC,992 GATES AVENUE,BROOKLYN,11221,718-443-6463 / 718-443-6463 / 718-443-6463 / 718-483-9553,8016 / 6198 / 6199 / 16597,06/01/2015 / 06/27/2014 / 06/26/2015 / 05/16/2014,  Permitted /   Permitted /   Permitted /   Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,75 / 45 / 96 / 57,No / No / No / No,Private / Private / Private / Private,273,40.6890641,-73.9236289
ADDIE MAE COLLINS,ADDIE MAE COLLINS COMMUNITY SERVICE III,2322 THIRD AVE,MANHATTAN,10035,212-831-3144,24778,10/12/2014,  Permitted,2 YEARS - 5 YEARS,155,No,ACS Contracted Preschools,155,40.8047882,-73.93546289999999
ADDIE MAE COLLINS COMMUNITY SERVICE HEAD START,ADDIE MAE COLLINS COMMUNITY SERVICES INC,345 EAST 101 STREET,MANHATTAN,10029,212-831-7373,6148,05/09/2014,  Permitted,2 YEARS - 5 YEARS,30,No,ACS Head Start,30,40.7867723,-73.9426453
ADDIE MAE COLLINS HEAD START 1,ADDIE MAE COLLINS COMMUNITY SERVICE INC,110 EAST 129 STREET,MANHATTAN,10035,212-831-9220,4501,03/16/2015,  Permitted,2 YEARS - 5 YEARS,40,No,ACS Head Start,40,40.8070295,-73.9362448
ADVENTURELAND INFANT TODDLER / ADVENTURELAND CHILD CARE,ADVENTURELAND INFANT TODDLER / ADVENTURELAND CHILD CARE,32-04 31ST AVENUE,QUEENS,11106,718-777-2011 / 718-777-2011,7968 / 7969,12/03/2014 / 12/03/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,36 / 81,No / No,Private / Private,117,40.7638431,-73.9224461
BRIGHT BEGINNINGS / ADVENTURELAND INFANT CARE / ADVENTURELAND CHILD CARE CENTER INC PRESCHOOL,BRITE ADVENTURE CENTERINC / ADVENTURELAND INFANT CARE / ADVENTURELAND CHILD CARE INC,41-31 58 STREET,QUEENS,11377,718-274-4769 / 718-274-4769 / 718-274-4769,7262 / 7394 / 7176,03/31/2016 / 03/23/2015 / 07/01/2015,  Permitted /   Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,40 / 15 / 20,No / No / No,Private / Private / Private,75,40.743695,-73.90673699999999
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER  4,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER  4,108-17  159TH STREET,QUEENS,11433,718-526-1506,8352,07/01/2015,  Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,60,40.69452190000001,-73.7934132
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC,AFRO-AMERICAN PARENTS DAY CARE CENTER INC,112-06 SUTPHIN BOULEVARD,QUEENS,11435,718-322-9080,4789,07/16/2014,  Permitted,2 YEARS - 5 YEARS,91,No,ACS Contracted Preschools,91,40.687103,-73.79485199999999
AGAPE NURSERY SCHOOL,KOREAN PRESBYTERIAN CHURCH OF QUEENS INC,143-17 FRANKLIN AVENUE,QUEENS,11355,718-886-3564,6163,05/03/2014,  Permitted,2 YEARS - 5 YEARS,67,No,Private,67,40.757784,-73.82175699999999
AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,ASSOCIATION FOR THE HELP OF RETARDED CHILDREN INC,195-201 CONSELYEA STREET,BROOKLYN,11211,718-782-1462,5687,09/27/2014,  Permitted,2 YEARS - 5 YEARS,193,No,Private,193,40.7155559,-73.9434359
AILEEN CLAVANO,DISCOVERY LANE,27-17 27 STREET,QUEENS,11102,718-440-6919,8365,07/08/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.7692884,-73.9231358
AIM HIGH CHILDRENS SERVICES,AIM HIGH CHILDRENS SERVICES,229 PARKVILLE AVENUE,BROOKLYN,11230,718-438-7000,7856,05/11/2014,  Permitted,2 YEARS - 5 YEARS,15,No,Private,15,40.631529,-73.970578
ALEENE LOGAN PRESCHOOL CENTER,CLAREMONT NEIGHBORHOOD CENTER INC,1450 WEBSTER AVENUE,BRONX,10456,718-293-1530,4170,11/02/2015,  Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,55,40.8376136,-73.9064483
ALEPH BET NY INC,ALEPH BET NY INC,133 EAST 29TH STREET,MANHATTAN,10016,212-685-0241,28419,12/03/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.7432193,-73.9814138
ALL CHILDRENS CHILD CARE,ALL CHILDRENS CHILD CARE,32-04  31 AVENUE,QUEENS,11106,718-777-2011,7970,12/03/2014,  Permitted,2 YEARS - 5 YEARS,54,No,Private,54,40.7638431,-73.9224461
ALL CHILDRENS CHILDCARE PRESCHOOL / ALL CHILDRENS CHILDCARE INFANT/TODDLER,ALL CHILDREN CHILDCARE CENTER OF QUEENS INC / ALL CHILDREN CHILDCARE CENTER OF QUEENS INC,35-01 24 STREET,QUEENS,11106,718-707-0501 / 718-707-0501,6855 / 6856,05/26/2015 / 05/27/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,82 / 19,No / No,Private / Private,101,40.759907,-73.93275899999999
ALL MY CHILDREN CARE INC NURSERY,ALL MY CHILDREN DAY CARE INC NURSERY,169-07 JEWEL AVENUE,QUEENS,11365,718-658-1563,6094,08/26/2015,  Permitted,2 YEARS - 5 YEARS,29,No,ACS Contracted Preschools,29,40.7316829,-73.799913
ALL MY CHILDREN DAY CARE,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL INC,110-15 164 PLACE,QUEENS,11433,718-526-5911,25917,10/22/2014,  Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools,105,40.69371599999999,-73.786687
ALL MY CHILDREN DAY CARE,ALL MY CHILDREN DAY CARE  NURSERY SCHOOL INC,117-16 SUTPHIN BLVD,QUEENS,11434,718-322-2030,25997,10/23/2014,  Permitted,2 YEARS - 5 YEARS,99,No,ACS Contracted Preschools,99,40.679887,-73.792371
ALL MY CHILDREN DAY CARE  NURSERY SCHOOL / ALL MY CHILDREN DAY CARE,ALL MY CHILDREN DAY CARE  NURSERY SCHOOL / ALL MY CHILDREN DAY CAREINC,175-44 MAYFIELD ROAD,QUEENS,11432,718-658-1563 / 718-658-1563,6190 / 6598,05/17/2014 / 12/01/2014,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,60 / 25,No / No,Private / Private,85,40.716751,-73.789288
ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,420 LEFFERTS AVENUE,BROOKLYN,11225,718-756-2020,25377,10/17/2014,  Permitted,2 YEARS - 5 YEARS,198,No,ACS Contracted Preschools,198,40.6622569,-73.947273
ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL / ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL / ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,771 CROWN STREET,BROOKLYN,11213,718-756-8300 / 718-756-8300,28679 / 25957,12/06/2014 / 10/23/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,27 / 42,No / No,ACS Contracted Preschools / ACS Contracted Preschools,69,40.66552,-73.931956
ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,ALL MY CHILDREN DAY CARE  NURSERY INC,83-10 188 STREET,QUEENS,11423,718-454-5600,25177,10/16/2014,  Permitted,2 YEARS - 5 YEARS,58,No,ACS Contracted Preschools,58,40.724483,-73.779168
ALL MY CHILDREN DAY CARE NURSERY SCHOOL INC,ALL MY CHILDREN DAY CARE  NURSERY SCHOOL INC,66-05 108 STREET,QUEENS,11375,718-592-8981,27238,11/14/2014,  Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools,24,40.7300309,-73.847748
ALL MY CHILDREN DAY CARE 11,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,317 ROGERS AVENUE,BROOKLYN,11225,718-771-8075,24878,10/12/2014,  Permitted,2 YEARS - 5 YEARS,90,No,ACS Contracted Preschools,90,40.665663,-73.953357
ALL MY CHILDREN DAY CARE AND NURSERY,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL INC,36-49 11 STREET,QUEENS,11106,718-786-1166,26618,10/26/2014,  Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,115,40.7598607,-73.9404461
ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL / ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL / ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,36 FORD STREET,BROOKLYN,11213,718-576-6812 / 718-576-6812,25417 / 24658,10/17/2014 / 10/12/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,36 / 150,No / No,ACS Contracted Preschools / ACS Contracted Preschools,186,40.6645043,-73.9294446
ALL MY CHILDREN DAY CARE AND NURSEY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,739 EAST NEW YORK AVENUE,BROOKLYN,11203,718-493-1100,27477,11/16/2014,  Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,60,40.662579,-73.938023
ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,108-22 69 AVENUE,QUEENS,11375,718-544-0007,7425,07/25/2015,  Permitted,2 YEARS - 5 YEARS,43,No,Private,43,40.725,-73.844538
ALL SEASONS A  C DAY CARE / ALL SEASONS A  C DAY CARE,ALL SEASONS A  C DAY CARE LLC / ALL SEASONS A  C DAY CARE LLC,700 ROSEWOOD STREET,BRONX,10467,718-231-7200 / 718-231-7200,24139 / 24119,10/05/2014 / 10/05/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,19 / 24,No / No,Private / Private,43,40.872992,-73.8664663
ALL SEASONS DAY NURSERY INFANT/TODDLER / ALL SEASONS DAY CARE,ALL SEASONS DAY CARE LLC / ALL SEASONS DAY CARE LLC,1701 NEREID AVENUE,BRONX,10466,718-324-8300 / 718-324-8300,7458 / 7237,11/06/2014 / 05/05/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,18 / 27,No / No,Private / Private,45,40.89806919999999,-73.852192
ALL SOULS SCHOOL,ALL SOULS SCHOOL,1157 LEXINGTON AVENUE,MANHATTAN,10075,212-861-5232,2014,04/26/2015,  Permitted,2 YEARS - 5 YEARS,110,No,Private,110,40.7755647,-73.9583881
ALL STARS DAY CARE,ALL STARS DAYCARE GROUP INC,4111 AVENUE J,BROOKLYN,11210,917-933-4747,56497,02/03/2016,  Permitted,2 YEARS - 5 YEARS,28,No,Private,28,40.627881,-73.93607399999999
ALPHA FUNDEMENTAL PRESCHOOL INC,ALPHA FUNDAMENTAL  2,218-28 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,7541,12/21/2015,  Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.713451,-73.737144
ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER INC,ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER INC,144-06 ROCKAWAY BOULEVARD,QUEENS,11436,718-322-6242,5005,12/21/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools,95,40.673456,-73.79446899999999
ALPHAFUNDAMENTAL PRESCHOOLINC,ALPHA-FUNDAMENTAL PRE-SCHOOL INC,218-30 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,6119,09/21/2015,  Permitted,2 YEARS - 5 YEARS,30,No,Private,30,40.713427,-73.73707800000001
ALWAYZ 123 EARLY LEARNING CENTER INC / ALWAYZ 123 EARLY LEARNING CENTER INC,ALWAYZ 123 EARLY LEARNING CENTER INC I/T / ALWAYZ 123 EARLY LEARNING CENTER INC PS,80 BAY STREET,STATEN ISLAND,10301,718-815-4701 / 718-815-4701,49177 / 49197,07/26/2015 / 07/31/2015,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,12 / 20,No / No,Private / Private,32,40.639984,-74.07589399999999
