Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Lon,Lat
ABC CHILD CENTER / ABC INFANT  TODDLER CENTER,ABC CHILD CENTERINC / ABC INFANT  TODDLER CENTERINC,109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004,6084 / 43577,7/3/2014 / 6/13/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,76,No,Private,-73.949652,40.724384
ABC EARLY LEARNING CENTER,ABC EARLY LEARNING CENTER INC,54-25 LITTLE NECK PKWY,QUEENS,11362,718-225-8044,7216,3/31/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,76,No,Private,-73.725353,40.766644
ABC EARLY LEARNING CENTER OF BAY TERRACE,ABC EARLY LEARNING CENTER INC,208-90 CROSS ISLAND PKWY,QUEENS,11360,718-428-0005,7866,4/9/2014,  Permitted,2 YEARS - 5 YEARS,36,No,Private,-73.784182,40.788751
ABC KEITH HARING SCHOOL,ASSOCIATION TO BENEFIT CHILDREN,318 EAST 116TH STREET,MANHATTAN,10029,212-426-3960,53757,11/1/2015,  Permitted,0 YEARS - 2 YEARS,10,No,Head Start Direct Fed Funding,-73.936949,40.796363
ABC KIDDIE LAND DAY CARE CENTER,ABC KIDDIE LAND INC,67-05  ROOSEVELT AVENUE,QUEENS,11377,718-651-3551,26898,11/7/2014,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.897844,40.74635
ABC KIDDIELAND DAY CARE CENTER,ABC KIDDIELAND INC,65-21 ROOSEVELT AVE,QUEENS,11377,718-651-3551,7571,3/19/2016,  Permitted,2 YEARS - 5 YEARS,22,No,Private,-73.898299,40.746331
ABC MINISTRY AND COUNSELING CENTER,ABC MINISTRY AND COUNSELING CENTER INC / ABC MINISTRY AND COUSELING CENTERINC,9302  AVENUE B,BROOKLYN,11236,718-498-8937,7738 / 7708,4/19/2015 / 1/25/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,56,No,Private,-73.91382,40.650845
ABC PRESCHOOL,ABC PRE-SCHOOL  KINDERGARTEN CENTER CORP,66-20 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2249,5/23/2015,  Permitted,2 YEARS - 5 YEARS,131,No,Private,-73.898048,40.739545
ABC PRESCHOOL  KINDERGARTEN CENTER,ABC PRESCHOOL  KINDERGARTEN CENTER CORP,66-26 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2098,10/29/2014,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.898048,40.739545
ABC VARIETY CODY GIFFORD HOUSE,ASSOCIATION TO BENEFIT CHILDREN,404 EAST 91ST STREET,MANHATTAN,10128,212-369-2010,7684,12/18/2015,  Permitted,0 YEARS - 2 YEARS,17,No,Private,-73.946721,40.779751
ABC VARIETY CODY GIFFORD HOUSE AT ST JOSEPHS,ASSOCIATION TO BENEFIT CHILDREN INC,420  EAST 87TH STREET,MANHATTAN,10128,212-369-2010,45718,6/28/2015,  Permitted,0 YEARS - 2 YEARS,17,No,Private,-73.948411,40.777085
ABYSSINIAN HEAD START - ADAM CLAYTON POWELL JR CENTER,ABYSSINIAN DEVELOPMENT CORP,25 WEST 132ND STREET,MANHATTAN,10037,212-234-9252,7949,10/15/2014,  Permitted,2 YEARS - 5 YEARS,45,No,ACS Head Start,-73.939592,40.811619
ABYSSINIAN HEAD START- ANNIE G NEWSOME CENTER,ABYSSINIAN DEVELOPMENT CORPORATION,129 WEST 138 STREET,MANHATTAN,10030,212-690-2869,6124,7/30/2014,  Permitted,2 YEARS - 5 YEARS,54,No,ACS Head Start,-73.940992,40.816922
ABYSSINIAN/ANNIE G NEWSOME  HEAD START I I,ABYSSINIAN DEVELOPMENT CORP,646 LENOX AVENUE,MANHATTAN,10037,212-991-3930,7759,5/14/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,28,No,ACS Head Start,-73.936753,40.818719
ACADEMICS  R US LTD,ACADEMICS R US LTD,1339 EAST GUNHILL ROAD,BRONX,10469,718-324-8720,7047,12/19/2014,  Permitted,2 YEARS - 5 YEARS,75,No,Private,-73.846728,40.871027
ACADEMY OF EXCELLENCE BELL PARK,BELL PARK CHILD CARE CENTER INC,178-36 WEXFORD  TERRACE,QUEENS,11432,212-931-4724,39657,5/9/2015,  Permitted,2 YEARS - 5 YEARS,103,No,Private,-73.784287,40.713302
ACADEMY OF LEARNING,GNK NY INC,1334 EAST GUNHILL ROAD,BRONX,10469,718-405-2888,7950,10/31/2014,  Permitted,2 YEARS - 5 YEARS,15,No,Private,-73.847207,40.870693
ACE EARLY CHILDHOOD CENTER,12TH STREET PRESCHOOLINC,199 14 STREET,BROOKLYN,11215,718-788-2668,5307,10/21/2015,  Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,-73.990394,40.667158
ACS,SOUTH JAMAICA CENTER FOR CHILDREN  PARENTS INC,114-02 GUY R BREWER BOULEVARD,QUEENS,11434,718-526-2500,5219,12/24/2015,  Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start,-73.785836,40.688502
ACS,THE CHILD CENTER OF NEW YORK,34-10 108TH STREET,QUEENS,11368,347-287-0175,8033,6/27/2015,  Permitted,2 YEARS - 5 YEARS,162,Yes,ACS Contracted Preschools,-73.860889,40.755859
ACT PROGRAM AT THE CATHEDRAL OF ST JOHN THE DIVINE,CATHEDRAL OF ST JOHN THE DIVINE,1047 AMSTERDAM AVENUE,MANHATTAN,10025,212-316-7530,7157,7/18/2015,  Permitted,2 YEARS - 5 YEARS,22,No,Private,-73.961747,40.803767
ACTION FOR PROGRESS CHILD CARE CENTER / ESCUELA HISPANA  MONTESSORI,ACTION FOR PROGRESSINC / ESCUELA HISPANA MONTESSORI,180 SUFFOLK STREET,MANHATTAN,10002,212-475-4340 / 212-982-6650,8172 / 8173,5/24/2014 / 5/25/2014,  Permitted /   Permitted,2 YEARS - 5 YEARS,251,No,ACS Contracted Preschools / ACS Head Start,-73.98452,40.721174
ACTION NURSERY,ACTION NURSERY INC,1019 46 STREET,BROOKLYN,11219,718-854-7777,4022,3/11/2015,  Permitted,2 YEARS - 5 YEARS,30,No,ACS Contracted Preschools,-73.996264,40.640495
ADAPTIVE SOLUTIONS MULTI SERVICES SLP PT OT PSYCH / GOOD SAMARITAN FULTON DAY CARE CENTER - INFANT/TODDLER / GOOD SAMARITAN FULTON DAY CARE CENTER-PRESCHOOL / THE JOY OF LEARNING DAY CARE CENTER,ADAPTIVE SOLUTIONS MULTI SERVICESSLPPTOTPSYCH PLLC / GOOD SAMARITAN FULTON DAY CARE CENTER INC / GOOD SAMARITAN FULTON DAY CARE CENTER INC / JOY OF LEARNING CHILD DEVELOPMENT CORP,992 GATES AVENUE,BROOKLYN,11221,718-483-9553 / 718-443-6463 / 718-443-6463 / 718-443-6463,16597 / 6199 / 6198 / 8016,5/16/2014 / 6/26/2015 / 6/27/2014 / 6/1/2015,  Permitted /   Permitted /   Permitted /   Permitted,0 YEARS - 5 YEARS,273,No,Private,-73.92368,40.688969
ADDIE MAE COLLINS,ADDIE MAE COLLINS COMMUNITY SERVICE III,2322 THIRD AVE,MANHATTAN,10035,212-831-3144,24778,10/12/2014,  Permitted,2 YEARS - 5 YEARS,155,No,ACS Contracted Preschools,-73.935496,40.804885
ADDIE MAE COLLINS COMMUNITY SERVICE HEAD START,ADDIE MAE COLLINS COMMUNITY SERVICES INC,345 EAST 101 STREET,MANHATTAN,10029,212-831-7373,6148,5/9/2014,  Permitted,2 YEARS - 5 YEARS,30,No,ACS Head Start,-73.942856,40.786867
ADDIE MAE COLLINS HEAD START 1,ADDIE MAE COLLINS COMMUNITY SERVICE INC,110 EAST 129 STREET,MANHATTAN,10035,212-831-9220,4501,3/16/2015,  Permitted,2 YEARS - 5 YEARS,40,No,ACS Head Start,-73.936847,40.806897
ADVENTURELAND CHILD CARE / ADVENTURELAND INFANT TODDLER,ADVENTURELAND CHILD CARE / ADVENTURELAND INFANT TODDLER,32-04 31ST AVENUE,QUEENS,11106,718-777-2011,7969 / 7968,12/3/2014 / 12/3/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,117,No,Private,-73.922644,40.763644
ADVENTURELAND CHILD CARE CENTER INC PRESCHOOL / ADVENTURELAND INFANT CARE / BRIGHT BEGINNINGS,ADVENTURELAND CHILD CARE INC / ADVENTURELAND INFANT CARE / BRITE ADVENTURE CENTERINC,41-31 58 STREET,QUEENS,11377,718-274-4769,7176 / 7394 / 7262,7/1/2015 / 3/23/2015 / 3/31/2016,  Permitted /   Permitted /   Permitted,0 YEARS - 5 YEARS,75,No,Private,-73.906749,40.743717
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER  4,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER  4,108-17  159TH STREET,QUEENS,11433,718-526-1506,8352,7/1/2015,  Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,-73.793574,40.69502
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC,AFRO-AMERICAN PARENTS DAY CARE CENTER INC,112-06 SUTPHIN BOULEVARD,QUEENS,11435,718-322-9080,4789,7/16/2014,  Permitted,2 YEARS - 5 YEARS,91,No,ACS Contracted Preschools,-73.794889,40.687118
AGAPE NURSERY SCHOOL,KOREAN PRESBYTERIAN CHURCH OF QUEENS INC,143-17 FRANKLIN AVENUE,QUEENS,11355,718-886-3564,6163,5/3/2014,  Permitted,2 YEARS - 5 YEARS,67,No,Private,-73.821752,40.757756
AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,ASSOCIATION FOR THE HELP OF RETARDED CHILDREN INC,195-201 CONSELYEA STREET,BROOKLYN,11211,718-782-1462,5687,9/27/2014,  Permitted,2 YEARS - 5 YEARS,193,No,Private,-73.943433,40.715533
AILEEN CLAVANO,DISCOVERY LANE,27-17 27 STREET,QUEENS,11102,718-440-6919,8365,7/8/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,-73.923113,40.76926
AIM HIGH CHILDRENS SERVICES,AIM HIGH CHILDRENS SERVICES,229 PARKVILLE AVENUE,BROOKLYN,11230,718-438-7000,7856,5/11/2014,  Permitted,2 YEARS - 5 YEARS,15,No,Private,-73.970554,40.631507
ALEENE LOGAN PRESCHOOL CENTER,CLAREMONT NEIGHBORHOOD CENTER INC,1450 WEBSTER AVENUE,BRONX,10456,718-293-1530,4170,11/2/2015,  Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,-73.905917,40.83785
ALEPH BET NY INC,ALEPH BET NY INC,133 EAST 29TH STREET,MANHATTAN,10016,212-685-0241,28419,12/3/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.981416,40.743215
ALL CHILDRENS CHILD CARE,ALL CHILDRENS CHILD CARE,32-04  31 AVENUE,QUEENS,11106,718-777-2011,7970,12/3/2014,  Permitted,2 YEARS - 5 YEARS,54,No,Private,-73.922644,40.763644
ALL CHILDRENS CHILDCARE INFANT/TODDLER / ALL CHILDRENS CHILDCARE PRESCHOOL,ALL CHILDREN CHILDCARE CENTER OF QUEENS INC,35-01 24 STREET,QUEENS,11106,718-707-0501,6856 / 6855,5/27/2015 / 5/26/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,101,No,Private,-73.932802,40.759943
ALL MY CHILDREN CARE INC NURSERY,ALL MY CHILDREN DAY CARE INC NURSERY,169-07 JEWEL AVENUE,QUEENS,11365,718-658-1563,6094,8/26/2015,  Permitted,2 YEARS - 5 YEARS,29,No,ACS Contracted Preschools,-73.799915,40.731721
ALL MY CHILDREN DAY CARE,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL INC,110-15 164 PLACE,QUEENS,11433,718-526-5911,25917,10/22/2014,  Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools,-73.786672,40.69375
ALL MY CHILDREN DAY CARE,ALL MY CHILDREN DAY CARE  NURSERY SCHOOL INC,117-16 SUTPHIN BLVD,QUEENS,11434,718-322-2030,25997,10/23/2014,  Permitted,2 YEARS - 5 YEARS,99,No,ACS Contracted Preschools,-73.792381,40.679896
ALL MY CHILDREN DAY CARE / ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,ALL MY CHILDREN DAY CAREINC / ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,175-44 MAYFIELD ROAD,QUEENS,11432,718-658-1563,6598 / 6190,12/1/2014 / 5/17/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,85,No,Private,-73.789363,40.71676
ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,420 LEFFERTS AVENUE,BROOKLYN,11225,718-756-2020,25377,10/17/2014,  Permitted,2 YEARS - 5 YEARS,198,No,ACS Contracted Preschools,-73.94728,40.662344
ALL MY CHILDREN DAY CARE  NURSERY SCHOOL / ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE  NURSERY SCHOOL / ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,771 CROWN STREET,BROOKLYN,11213,718-756-8300,25957 / 28679,10/23/2014 / 12/6/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,69,No,ACS Contracted Preschools,-73.932,40.665496
ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,ALL MY CHILDREN DAY CARE  NURSERY INC,83-10 188 STREET,QUEENS,11423,718-454-5600,25177,10/16/2014,  Permitted,2 YEARS - 5 YEARS,58,No,ACS Contracted Preschools,-73.779176,40.724494
ALL MY CHILDREN DAY CARE NURSERY SCHOOL INC,ALL MY CHILDREN DAY CARE  NURSERY SCHOOL INC,66-05 108 STREET,QUEENS,11375,718-592-8981,27238,11/14/2014,  Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools,-73.847842,40.730163
ALL MY CHILDREN DAY CARE 11,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,317 ROGERS AVENUE,BROOKLYN,11225,718-771-8075,24878,10/12/2014,  Permitted,2 YEARS - 5 YEARS,90,No,ACS Contracted Preschools,-73.953369,40.665664
ALL MY CHILDREN DAY CARE AND NURSERY,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL INC,36-49 11 STREET,QUEENS,11106,718-786-1166,26618,10/26/2014,  Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,-73.940405,40.759884
ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,36 FORD STREET,BROOKLYN,11213,718-576-6812,24658 / 25417,10/12/2014 / 10/17/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,186,No,ACS Contracted Preschools,-73.929465,40.66451
ALL MY CHILDREN DAY CARE AND NURSEY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,739 EAST NEW YORK AVENUE,BROOKLYN,11203,718-493-1100,27477,11/16/2014,  Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,-73.938015,40.662574
ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,108-22 69 AVENUE,QUEENS,11375,718-544-0007,7425,7/25/2015,  Permitted,2 YEARS - 5 YEARS,43,No,Private,-73.844414,40.724941
ALL SEASONS A  C DAY CARE,ALL SEASONS A  C DAY CARE LLC,700 ROSEWOOD STREET,BRONX,10467,718-231-7200,24119 / 24139,10/5/2014 / 10/5/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,43,No,Private,-73.866498,40.872814
ALL SEASONS DAY CARE / ALL SEASONS DAY NURSERY INFANT/TODDLER,ALL SEASONS DAY CARE LLC,1701 NEREID AVENUE,BRONX,10466,718-324-8300,7237 / 7458,5/5/2014 / 11/6/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,45,No,Private,-73.852176,40.898074
ALL SOULS SCHOOL,ALL SOULS SCHOOL,1157 LEXINGTON AVENUE,MANHATTAN,10075,212-861-5232,2014,4/26/2015,  Permitted,2 YEARS - 5 YEARS,110,No,Private,-73.958193,40.775326
ALL STARS DAY CARE,ALL STARS DAYCARE GROUP INC,4111 AVENUE J,BROOKLYN,11210,917-933-4747,56497,2/3/2016,  Permitted,2 YEARS - 5 YEARS,28,No,Private,-73.936071,40.627864
ALPHA FUNDEMENTAL PRESCHOOL INC,ALPHA FUNDAMENTAL  2,218-28 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,7541,12/21/2015,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.73715,40.713469
ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER INC,ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER INC,144-06 ROCKAWAY BOULEVARD,QUEENS,11436,718-322-6242,5005,12/21/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools,-73.79447,40.673464
ALPHAFUNDAMENTAL PRESCHOOLINC,ALPHA-FUNDAMENTAL PRE-SCHOOL INC,218-30 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,6119,9/21/2015,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.737091,40.713436
ALWAYZ 123 EARLY LEARNING CENTER INC,ALWAYZ 123 EARLY LEARNING CENTER INC PS / ALWAYZ 123 EARLY LEARNING CENTER INC I/T,80 BAY STREET,STATEN ISLAND,10301,718-815-4701,49197 / 49177,7/31/2015 / 7/26/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,32,No,Private,-74.075844,40.639995
AMAC,ASSOCIATION FOR METROAREA AUTISTIC CHILDREN INC,25 WEST 17TH STREET,MANHATTAN,10011,212-645-5005,19617,7/30/2014,  Permitted,0 YEARS - 2 YEARS,10,No,Private,-73.993424,40.738803
AMALGAMATED NURSERY SCHOOL,AMALGAMATED NURSERY SCHOOL,3980 ORLOFF AVENUE,BRONX,10463,718-543-8688,7169,11/9/2015,  Permitted,2 YEARS - 5 YEARS,56,No,Private,-73.891957,40.884098
AMAZING MAGIC BEANS,AMAZING CHILD CARE INC,43-12 46TH ST,QUEENS,11104,718-786-8091,7933,9/7/2014,  Permitted,2 YEARS - 5 YEARS,50,No,Private,-73.918703,40.744486
AMBASSADOR CHRISTIAN DAY CARE ACADEMY,LEONIA GIPSON,993 CLARKSON AVENUE,BROOKLYN,11212,718-809-0233,32579,2/14/2015,  Permitted,2 YEARS - 5 YEARS,21,No,Private,-73.925092,40.658148
AMERICAN EUROPEAN CHILD CARE / AMERICAN-EUROPEAN CHILD CARE DAY CARE CENTER,EUROPEAN CHILD CARE DAY CARE CENTER INC,2150 BENSON AVENUE,BROOKLYN,11214,718-265-4477,6191 / 5938,8/15/2015 / 10/23/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,31,No,Private,-73.996271,40.600428
AMYS ACADEMY,AMYS KIDDIE DAY CARE CENTER LLC,102 FENIMORE STREET,BROOKLYN,11225,718-462-3200,7955,11/26/2014,  Permitted,2 YEARS - 5 YEARS,36,No,Private,-73.958782,40.657971
ANGEL STAR DAY CARE CENTER,ANGEL STAR DAY CARE CENTER INC,6803 20 AVENUE,BROOKLYN,11204,718-331-7282,7501,1/1/2015,  Permitted,2 YEARS - 5 YEARS,19,No,Private,-73.987594,40.614547
ANGELS IN THE GARDENS CHILD CARE CORP,ANGELS IN THE GARDENS CHILD CARE CORP,72-32 GREENWAY SOUTH,QUEENS,11375,718-997-0990,8288,4/18/2015,  Permitted,2 YEARS - 5 YEARS,25,No,Private,-73.844692,40.713993
ANNA LEFKOWITZ DAY CARE CENTER,PHILIP MICHAELS CHILD CARE CENTER INC,690 WESTCHESTER AVENUE,BRONX,10455,718-292-8682,23437,9/28/2014,  Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,-73.906723,40.81658
ANTIOCH  ACADEMY,ANTIOCH BAPTIST CHURCH,515 WEST 125 STREET,MANHATTAN,10027,212-222-2324,5247,9/30/2014,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.956533,40.81417
APPLE TREE DAY CARE,APPLE TREE DAYCARE AC INC,440 EAST 48TH STREET,BROOKLYN,11203,718-287-7488,44957,6/25/2015,  Permitted,2 YEARS - 5 YEARS,55,No,Private,-73.932537,40.651011
