centerName,permitHolder,address,borough,zipCode,phone,permitNumber,permitExpirationDate,permitStatus,ageRange,maximumCapacity,certifiedToAdministerMedication,siteType,GeocodedCategory,Lon,Lat
ABC PRESCHOOL,ABC PRE-SCHOOL  KINDERGARTEN CENTER CORP,66-20 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2249,2.01505E+16,Permitted,2 YEARS - 5 YEARS,131,No,Private,PAD2013,-73.898048,40.739545
ABC PRESCHOOL  KINDERGARTEN CENTER,ABC PRESCHOOL  KINDERGARTEN CENTER CORP,66-26 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2098,2.0141E+16,Permitted,2 YEARS - 5 YEARS,26,No,Private,PAD2013,-73.898048,40.739545
ABC VARIETY CODY GIFFORD HOUSE,ASSOCIATION TO BENEFIT CHILDREN,404 EAST 91ST STREET,MANHATTAN,10128,212-369-2010,7684,2.01512E+16,Permitted,0 YEARS - 2 YEARS,17,No,Private,PAD2013,-73.946721,40.779751
ABC VARIETY CODY GIFFORD HOUSE AT ST JOSEPHS,ASSOCIATION TO BENEFIT CHILDREN INC,420  EAST 87TH STREET,MANHATTAN,10128,212-369-2010,45718,2.01506E+16,Permitted,0 YEARS - 2 YEARS,17,No,Private,PAD2013,-73.948411,40.777085
ABYSSINIAN HEAD START - ADAM CLAYTON POWELL JR CENTER,ABYSSINIAN DEVELOPMENT CORP,25 WEST 132ND STREET,MANHATTAN,10037,212-234-9252,7949,2.0141E+16,Permitted,2 YEARS - 5 YEARS,45,No,ACS Head Start,PAD2013,-73.939592,40.811619
ABYSSINIAN HEAD START- ANNIE G NEWSOME CENTER,ABYSSINIAN DEVELOPMENT CORPORATION,129 WEST 138 STREET,MANHATTAN,10030,212-690-2869,6124,2.01407E+16,Permitted,2 YEARS - 5 YEARS,54,No,ACS Head Start,PAD2013,-73.940992,40.816922
ABYSSINIAN/ANNIE G NEWSOME  HEAD START I I,ABYSSINIAN DEVELOPMENT CORP,646 LENOX AVENUE,MANHATTAN,10037,212-991-3930,7759,2.01305E+16,Expired-InRenewal,2 YEARS - 5 YEARS,28,No,ACS Head Start,PAD2013,-73.936753,40.818719
ACADEMICS  R US LTD,ACADEMICS R US LTD,1339 EAST GUNHILL ROAD,BRONX,10469,718-324-8720,7047,2.01412E+16,Permitted,2 YEARS - 5 YEARS,75,No,Private,PAD2013,-73.846728,40.871027
ACADEMY OF EXCELLENCE BELL PARK,BELL PARK CHILD CARE CENTER INC,178-36 WEXFORD  TERRACE,QUEENS,11432,212-931-4724,39657,2.01505E+16,Permitted,2 YEARS - 5 YEARS,103,No,Private,PAD2013,-73.784287,40.713302
ACADEMY OF LEARNING,GNK NY INC,1334 EAST GUNHILL ROAD,BRONX,10469,718-405-2888,7950,2.0141E+16,Permitted,2 YEARS - 5 YEARS,15,No,Private,PAD2013,-73.847207,40.870693
ACE EARLY CHILDHOOD CENTER,12TH STREET PRESCHOOLINC,199 14 STREET,BROOKLYN,11215,718-788-2668,5307,2.0151E+16,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,PAD2013,-73.990394,40.667158
ACS,SOUTH JAMAICA CENTER FOR CHILDREN  PARENTS INC,114-02 GUY R BREWER BOULEVARD,QUEENS,11434,718-526-2500,5219,2.01512E+16,Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start,PAD2013,-73.785836,40.688502
ACS,THE CHILD CENTER OF NEW YORK,34-10 108TH STREET,QUEENS,11368,347-287-0175,8033,2.01506E+16,Permitted,2 YEARS - 5 YEARS,162,Yes,ACS Contracted Preschools,PAD2013,-73.860889,40.755859
ACT PROGRAM AT THE CATHEDRAL OF ST JOHN THE DIVINE,CATHEDRAL OF ST JOHN THE DIVINE,1047 AMSTERDAM AVENUE,MANHATTAN,10025,212-316-7530,7157,2.01507E+16,Permitted,2 YEARS - 5 YEARS,22,No,Private,PAD2013,-73.961747,40.803767
ACTION FOR PROGRESS CHILD CARE CENTER,ACTION FOR PROGRESSINC,180 SUFFOLK STREET,MANHATTAN,10002,212-475-4340,8172,2.01405E+16,Permitted,2 YEARS - 5 YEARS,50,No,ACS Contracted Preschools,PAD2013,-73.98452,40.721174
ACTION NURSERY,ACTION NURSERY INC,1019 46 STREET,BROOKLYN,11219,718-854-7777,4022,2.01503E+16,Permitted,2 YEARS - 5 YEARS,30,No,ACS Contracted Preschools,PAD2013,-73.996264,40.640495
ADAPTIVE SOLUTIONS MULTI SERVICES SLP PT OT PSYCH,ADAPTIVE SOLUTIONS MULTI SERVICESSLPPTOTPSYCH PLLC,992 GATES AVENUE,BROOKLYN,11221,718-483-9553,16597,2.01405E+16,Permitted,2 YEARS - 5 YEARS,57,No,Private,PAD2013,-73.92368,40.688969
ADDIE MAE COLLINS,ADDIE MAE COLLINS COMMUNITY SERVICE III,2322 THIRD AVE,MANHATTAN,10035,212-831-3144,24778,2.0141E+16,Permitted,2 YEARS - 5 YEARS,155,No,ACS Contracted Preschools,PAD2013,-73.935496,40.804885
ADDIE MAE COLLINS COMMUNITY SERVICE HEAD START,ADDIE MAE COLLINS COMMUNITY SERVICES INC,345 EAST 101 STREET,MANHATTAN,10029,212-831-7373,6148,2.01405E+16,Permitted,2 YEARS - 5 YEARS,30,No,ACS Head Start,PAD2013,-73.942856,40.786867
ADDIE MAE COLLINS HEAD START 1,ADDIE MAE COLLINS COMMUNITY SERVICE INC,110 EAST 129 STREET,MANHATTAN,10035,212-831-9220,4501,2.01303E+16,Expired-InRenewal,2 YEARS - 5 YEARS,40,No,ACS Head Start,PAD2013,-73.936847,40.806897
ADVENTURELAND CHILD CARE,ADVENTURELAND CHILD CARE,32-04 31ST AVENUE,QUEENS,11106,718-777-2011,7969,2.01412E+16,Permitted,2 YEARS - 5 YEARS,81,No,Private,PAD2013,-73.922644,40.763644
ADVENTURELAND CHILD CARE CENTER INC PRESCHOOL,ADVENTURELAND CHILD CARE INC,41-31 58 STREET,QUEENS,11377,718-274-4769,7176,2.01507E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.906749,40.743717
ADVENTURELAND INFANT CARE,ADVENTURELAND INFANT CARE,41-31 58 STREET,QUEENS,11377,718-274-4769,7394,2.01503E+16,Permitted,0 YEARS - 2 YEARS,15,No,Private,PAD2013,-73.906749,40.743717
ADVENTURELAND INFANT TODDLER,ADVENTURELAND INFANT TODDLER,32-04 31ST AVENUE,QUEENS,11106,718-777-2011,7968,2.01412E+16,Permitted,0 YEARS - 2 YEARS,36,No,Private,PAD2013,-73.922644,40.763644
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER  4,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER  4,108-17  159TH STREET,QUEENS,11433,718-526-1506,8352,2.01507E+16,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,PAD2013,-73.793574,40.69502
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC,AFRO-AMERICAN PARENTS DAY CARE CENTER INC,112-06 SUTPHIN BOULEVARD,QUEENS,11435,718-322-9080,4789,2.01407E+16,Permitted,2 YEARS - 5 YEARS,91,No,ACS Contracted Preschools,PAD2013,-73.794889,40.687118
AGAPE NURSERY SCHOOL,KOREAN PRESBYTERIAN CHURCH OF QUEENS INC,143-17 FRANKLIN AVENUE,QUEENS,11355,718-886-3564,6163,2.01405E+16,Permitted,2 YEARS - 5 YEARS,67,No,Private,PAD2013,-73.821752,40.757756
AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,ASSOCIATION FOR THE HELP OF RETARDED CHILDREN INC,195-201 CONSELYEA STREET,BROOKLYN,11211,718-782-1462,5687,2.01409E+16,Permitted,2 YEARS - 5 YEARS,193,No,Private,PAD2013,-73.943433,40.715533
AILEEN CLAVANO,DISCOVERY LANE,27-17 27 STREET,QUEENS,11102,718-440-6919,8365,2.01507E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.923113,40.76926
AIM HIGH CHILDRENS SERVICES,AIM HIGH CHILDRENS SERVICES,229 PARKVILLE AVENUE,BROOKLYN,11230,718-438-7000,7856,2.01405E+16,Permitted,2 YEARS - 5 YEARS,15,No,Private,PAD2013,-73.970554,40.631507
ALEENE LOGAN PRESCHOOL CENTER,CLAREMONT NEIGHBORHOOD CENTER INC,1450 WEBSTER AVENUE,BRONX,10456,718-293-1530,4170,2.01511E+16,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,PAD2013,-73.905917,40.83785
ALEPH BET NY INC,ALEPH BET NY INC,133 EAST 29TH STREET,MANHATTAN,10016,212-685-0241,28419,2.01412E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.981416,40.743215
ALL CHILDRENS CHILD CARE,ALL CHILDRENS CHILD CARE,32-04  31 AVENUE,QUEENS,11106,718-777-2011,7970,2.01412E+16,Permitted,2 YEARS - 5 YEARS,54,No,Private,PAD2013,-73.922644,40.763644
ALL CHILDRENS CHILDCARE INFANT/TODDLER,ALL CHILDREN CHILDCARE CENTER OF QUEENS INC,35-01 24 STREET,QUEENS,11106,718-707-0501,6856,2.01505E+16,Permitted,0 YEARS - 2 YEARS,19,No,Private,PAD2013,-73.932802,40.759943
ALL CHILDRENS CHILDCARE PRESCHOOL,ALL CHILDREN CHILDCARE CENTER OF QUEENS INC,35-01 24 STREET,QUEENS,11106,718-707-0501,6855,2.01505E+16,Permitted,2 YEARS - 5 YEARS,82,No,Private,PAD2013,-73.932802,40.759943
ALL MY CHILDREN CARE INC NURSERY,ALL MY CHILDREN DAY CARE INC NURSERY,169-07 JEWEL AVENUE,QUEENS,11365,718-658-1563,6094,2.01508E+16,Permitted,2 YEARS - 5 YEARS,29,No,ACS Contracted Preschools,PAD2013,-73.799915,40.731721
ALL MY CHILDREN DAY CARE,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL INC,110-15 164 PLACE,QUEENS,11433,718-526-5911,25917,2.0141E+16,Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools,PAD2013,-73.786672,40.69375
ALL MY CHILDREN DAY CARE,ALL MY CHILDREN DAY CARE  NURSERY SCHOOL INC,117-16 SUTPHIN BLVD,QUEENS,11434,718-322-2030,25997,2.0141E+16,Permitted,2 YEARS - 5 YEARS,99,No,ACS Contracted Preschools,PAD2013,-73.792381,40.679896
ALL MY CHILDREN DAY CARE,ALL MY CHILDREN DAY CAREINC,175-44 MAYFIELD ROAD,QUEENS,11432,718-658-1563,6598,2.01412E+16,Permitted,0 YEARS - 2 YEARS,25,No,Private,PAD2013,-73.789363,40.71676
ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,175-44 MAYFIELD ROAD,QUEENS,11432,718-658-1563,6190,2.01405E+16,Permitted,2 YEARS - 5 YEARS,60,No,Private,PAD2013,-73.789363,40.71676
ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,420 LEFFERTS AVENUE,BROOKLYN,11225,718-756-2020,25377,2.0141E+16,Permitted,2 YEARS - 5 YEARS,198,No,ACS Contracted Preschools,PAD2013,-73.94728,40.662344
ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,771 CROWN STREET,BROOKLYN,11213,718-756-8300,25957,2.0141E+16,Permitted,2 YEARS - 5 YEARS,42,No,ACS Contracted Preschools,PAD2013,-73.932,40.665496
ALL MY CHILDREN DAY CARE  NURSERY SCHOOL,ALL MY CHILDREN DAY CARE  NURSERY INC,83-10 188 STREET,QUEENS,11423,718-454-5600,25177,2.0141E+16,Permitted,2 YEARS - 5 YEARS,58,No,ACS Contracted Preschools,PAD2013,-73.779176,40.724494
ALL MY CHILDREN DAY CARE NURSERY SCHOOL INC,ALL MY CHILDREN DAY CARE  NURSERY SCHOOL INC,66-05 108 STREET,QUEENS,11375,718-592-8981,27238,2.01411E+16,Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools,PAD2013,-73.847842,40.730163
ALL MY CHILDREN DAY CARE 11,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,317 ROGERS AVENUE,BROOKLYN,11225,718-771-8075,24878,2.0141E+16,Permitted,2 YEARS - 5 YEARS,90,No,ACS Contracted Preschools,PAD2013,-73.953369,40.665664
ALL MY CHILDREN DAY CARE AND NURSERY,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL INC,36-49 11 STREET,QUEENS,11106,718-786-1166,26618,2.0141E+16,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,PAD2013,-73.940405,40.759884
ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,36 FORD STREET,BROOKLYN,11213,718-576-6812,24658,2.0141E+16,Permitted,2 YEARS - 5 YEARS,150,No,ACS Contracted Preschools,PAD2013,-73.929465,40.66451
ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,36 FORD STREET,BROOKLYN,11213,718-576-6812,25417,2.0141E+16,Permitted,0 YEARS - 2 YEARS,36,No,ACS Contracted Preschools,PAD2013,-73.929465,40.66451
ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,771 CROWN STREET,BROOKLYN,11213,718-756-8300,28679,2.01412E+16,Permitted,0 YEARS - 2 YEARS,27,No,ACS Contracted Preschools,PAD2013,-73.932,40.665496
ALL MY CHILDREN DAY CARE AND NURSEY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,739 EAST NEW YORK AVENUE,BROOKLYN,11203,718-493-1100,27477,2.01411E+16,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,PAD2013,-73.938015,40.662574
ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,108-22 69 AVENUE,QUEENS,11375,718-544-0007,7425,2.01507E+16,Permitted,2 YEARS - 5 YEARS,43,No,Private,PAD2013,-73.844414,40.724941
ALL SEASONS A  C DAY CARE,ALL SEASONS A  C DAY CARE LLC,700 ROSEWOOD STREET,BRONX,10467,718-231-7200,24119,2.0141E+16,Permitted,2 YEARS - 5 YEARS,24,No,Private,PAD2013,-73.866498,40.872814
ALL SEASONS A  C DAY CARE,ALL SEASONS A  C DAY CARE LLC,700 ROSEWOOD STREET,BRONX,10467,718-231-7200,24139,2.0141E+16,Permitted,0 YEARS - 2 YEARS,19,No,Private,PAD2013,-73.866498,40.872814
ALL SEASONS DAY CARE,ALL SEASONS DAY CARE LLC,1701 NEREID AVENUE,BRONX,10466,718-324-8300,7237,2.01405E+16,Permitted,2 YEARS - 5 YEARS,27,No,Private,PAD2013,-73.852176,40.898074
ALL SEASONS DAY NURSERY INFANT/TODDLER,ALL SEASONS DAY CARE LLC,1701 NEREID AVENUE,BRONX,10466,718-324-8300,7458,2.01411E+16,Permitted,0 YEARS - 2 YEARS,18,No,Private,PAD2013,-73.852176,40.898074
ALL SOULS SCHOOL,ALL SOULS SCHOOL,1157 LEXINGTON AVENUE,MANHATTAN,10075,212-861-5232,2014,2.01504E+16,Permitted,2 YEARS - 5 YEARS,110,No,Private,PAD2013,-73.958193,40.775326
ALL STARS DAY CARE,ALL STARS DAYCARE GROUP INC,4111 AVENUE J,BROOKLYN,11210,917-933-4747,56497,2.01602E+16,Permitted,2 YEARS - 5 YEARS,28,No,Private,PAD2013,-73.936071,40.627864
ALPHA FUNDEMENTAL PRESCHOOL INC,ALPHA FUNDAMENTAL  2,218-28 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,7541,2.01512E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.73715,40.713469
ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER INC,ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER INC,144-06 ROCKAWAY BOULEVARD,QUEENS,11436,718-322-6242,5005,2.01312E+16,Expired-InRenewal,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools,PAD2013,-73.79447,40.673464
ALPHAFUNDAMENTAL PRESCHOOLINC,ALPHA-FUNDAMENTAL PRE-SCHOOL INC,218-30 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,6119,2.01509E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-73.737091,40.713436
ALWAYZ 123 EARLY LEARNING CENTER INC,ALWAYZ 123 EARLY LEARNING CENTER INC PS,80 BAY STREET,STATEN ISLAND,10301,718-815-4701,49197,2.01507E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-74.075844,40.639995
ALWAYZ 123 EARLY LEARNING CENTER INC,ALWAYZ 123 EARLY LEARNING CENTER INC I/T,80 BAY STREET,STATEN ISLAND,10301,718-815-4701,49177,2.01507E+16,Permitted,0 YEARS - 2 YEARS,12,No,Private,PAD2013,-74.075844,40.639995
AMAC,ASSOCIATION FOR METROAREA AUTISTIC CHILDREN INC,25 WEST 17TH STREET,MANHATTAN,10011,212-645-5005,19617,2.01407E+16,Permitted,0 YEARS - 2 YEARS,10,No,Private,PAD2013,-73.993424,40.738803
