"A H R C  HOWARD HABER  E.L.C","2300 WESTCHESTER AVENUE",10462,718-409-1450,Permitted
"A M A C CHILDREN&#39;S HOUSE","25 WEST 17 STREET",10011,212-645-5005,Permitted
"A NEW DAWN ELEMENTARY &amp; PRE-SCHOOL","89-14 163 STREET",11432,718-206-1500,Permitted
"A RUM NURSERY SCHOOL","140-30 SANFORD AVENUE",11355,718-359-4476,"Expired-In Renewal"
"A TO Z CENTER TOO, INC.","220-24 JAMAICA AVENUE",11428,718-740-8400,Permitted
"A TO Z DAY CARE CENTER","3053 AVENUE U",11229,718-368-1234,Permitted
"A TO Z LEARNING CENTER","123-21 JAMAICA AVENUE",11418,718-805-4400,Permitted
"A YOU&#39;RE ADORABLE","3304 GRISWOLD AVENUE",10465,718-863-3455,Permitted
"ABC CASSIDY&#39;S PLACE","419 EAST 86TH STREET",10028,212-831-1322,Permitted
"ABC CHILD CENTER","109 NASSAU AVENUE",11222,718-389-9004,Permitted
"ABC EARLY LEARNING CENTER","54-25 LITTLE NECK PKWY",11362,718-225-8044,Permitted
"ABC EARLY LEARNING CENTER OF BAY TERRACE","208-90 CROSS ISLAND PKWY",11360,718-428-0005,Permitted
"ABC ECHO PARK EARLY CHILDHOOD CENTER","1841 PARK AVENUE",10035,646-459-6028,"Expired-In Renewal"
"ABC INFANT &amp; TODDLER CENTER","109 NASSAU AVENUE",11222,718-389-9004,Permitted
"ABC KEITH HARING SCHOOL","318 EAST 116TH STREET",10029,212-426-3960,Permitted
"ABC KIDDIE LAND DAY CARE CENTER","67-05  ROOSEVELT AVENUE",11377,718-651-3551,Permitted
"ABC KIDDIELAND DAY CARE CENTER","65-21 ROOSEVELT AVE",11377,718-651-3551,"Expired-In Renewal"
"ABC MINISTRY AND COUNSELING CENTER","9302  AVENUE B",11236,718-498-8937,Permitted
"ABC MINISTRY AND COUNSELING CENTER","9302  AVENUE B",11236,718-498-8937,Permitted
"ABC PRESCHOOL","66-20 LAUREL HILL BOULEVARD",11377,718-672-2424,Permitted
"ABC PRESCHOOL &amp; KINDERGARTEN CENTER","66-26 LAUREL HILL BOULEVARD",11377,718-672-2424,Permitted
"ABC VARIETY CODY GIFFORD HOUSE","404 EAST 91ST STREET",10128,212-369-2010,Permitted
"ABC VARIETY CODY GIFFORD HOUSE AT ST. JOSEPH&#39;S","420  EAST 87TH STREET",10128,212-369-2010,Permitted
"ABYSSINIAN HEAD START - ADAM CLAYTON POWELL JR. CENTER","25 WEST 132ND STREET",10037,212-234-9252,Permitted
"ABYSSINIAN HEAD START- ANNIE G. NEWSOME CENTER","129 WEST 138 STREET",10030,212-690-2869,Permitted
"ABYSSINIAN/ANNIE G. NEWSOME  HEAD START I I","646 LENOX AVENUE",10037,212-991-3930,"Expired-In Renewal"
"ACADEMICS  R US LTD.","1339 EAST GUNHILL ROAD",10469,718-324-8720,Permitted
"ACADEMY OF EXCELLENCE BELL PARK","178-36 WEXFORD  TERRACE",11432,212-931-4724,Permitted
"ACADEMY OF LEARNING","1334 EAST GUNHILL ROAD",10469,718-405-2888,Permitted
"ACE EARLY CHILDHOOD CENTER","199 14 STREET",11215,718-788-2668,Permitted
ACS,"114-02 GUY R BREWER BOULEVARD",11434,718-526-2500,Permitted
ACS,"34-10 108TH STREET",11368,347-287-0175,Permitted
"ACT PROGRAM AT THE CATHEDRAL OF ST. JOHN THE DIVINE.","1047 AMSTERDAM AVENUE",10025,212-316-7530,Permitted
"ACTION FOR PROGRESS CHILD CARE CENTER","180 SUFFOLK STREET",10002,212-475-4340,Permitted
"ACTION NURSERY","1019 46 STREET",11219,718-854-7777,Permitted
"ADAPTIVE SOLUTIONS MULTI SERVICES (SLP, PT, OT, PSYCH)","992 GATES AVENUE",11221,718-483-9553,Permitted
"ADDIE MAE COLLINS","2322 THIRD AVE",10035,212-831-3144,Permitted
"ADDIE MAE COLLINS COMMUNITY SERVICE HEAD START","345 EAST 101 STREET",10029,212-831-7373,Permitted
"ADDIE MAE COLLINS HEAD START #1","110 EAST 129 STREET",10035,212-831-9220,"Expired-In Renewal"
"ADVENTURELAND CHILD CARE","32-04 31ST AVENUE",11106,718-777-2011,Permitted
"ADVENTURELAND CHILD CARE CENTER, INC. PRESCHOOL","41-31 58 STREET",11377,718-274-4769,Permitted
"ADVENTURELAND INFANT CARE","41-31 58 STREET",11377,718-274-4769,Permitted
"ADVENTURELAND INFANT TODDLER","32-04 31ST AVENUE",11106,718-777-2011,Permitted
"AFRO-AMERICAN PARENTS EDUCATIONAL CENTER # 4","108-17  159TH STREET",11433,718-526-1506,Permitted
"AFRO-AMERICAN PARENTS EDUCATIONAL CENTER, INC.","112-06 SUTPHIN BOULEVARD",11435,718-322-9080,Permitted
"AGAPE NURSERY SCHOOL","143-17 FRANKLIN AVENUE",11355,718-886-3564,Permitted
"AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER","195-201 CONSELYEA STREET",11211,718-782-1462,Permitted
"AILEEN CLAVANO","27-17 27 STREET",11102,718-440-6919,Permitted
"AIM HIGH CHILDREN&#39;S SERVICES","229 PARKVILLE AVENUE",11230,718-438-7000,Permitted
"ALEENE LOGAN PRESCHOOL CENTER","1450 WEBSTER AVENUE",10456,718-293-1530,Permitted
"ALEPH BET NY, INC.","133 EAST 29TH STREET",10016,212-685-0241,Permitted
"ALL CHILDREN&#39;S CHILD CARE","32-04  31 AVENUE",11106,718-777-2011,Permitted
"ALL CHILDREN&#39;S CHILDCARE (INFANT/TODDLER)","35-01 24 STREET",11106,718-707-0501,Permitted
"ALL CHILDREN&#39;S CHILDCARE (PRESCHOOL)","35-01 24 STREET",11106,718-707-0501,Permitted
"ALL MY CHILDREN CARE INC, NURSERY","169-07 JEWEL AVENUE",11365,718-658-1563,Permitted
"ALL MY CHILDREN DAY CARE","110-15 164 PLACE",11433,718-526-5911,Permitted
"ALL MY CHILDREN DAY CARE","117-16 SUTPHIN BLVD.",11434,718-322-2030,Permitted
"ALL MY CHILDREN DAY CARE","175-44 MAYFIELD ROAD",11432,718-658-1563,Permitted
"ALL MY CHILDREN DAY CARE &amp; NURSERY SCHOOL","175-44 MAYFIELD ROAD",11432,718-658-1563,Permitted
"ALL MY CHILDREN DAY CARE &amp; NURSERY SCHOOL","420 LEFFERTS AVENUE",11225,718-756-2020,Permitted
"ALL MY CHILDREN DAY CARE &amp; NURSERY SCHOOL","771 CROWN STREET",11213,718-756-8300,Permitted
"ALL MY CHILDREN DAY CARE &amp; NURSERY SCHOOL","83-10 188 STREET",11423,718-454-5600,Permitted
"ALL MY CHILDREN DAY CARE &amp;NURSERY SCHOOL INC.","66-05 108 STREET",11375,718-592-8981,Permitted
"ALL MY CHILDREN DAY CARE 11","317 ROGERS AVENUE",11225,718-771-8075,Permitted
"ALL MY CHILDREN DAY CARE AND NURSERY","36-49 11 STREET",11106,718-786-1166,Permitted
"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL","36 FORD STREET",11213,718-576-6812,Permitted
"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL","36 FORD STREET",11213,718-576-6812,Permitted
"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL","771 CROWN STREET",11213,718-756-8300,Permitted
"ALL MY CHILDREN DAY CARE AND NURSEY SCHOOL","739 EAST NEW YORK AVENUE",11203,718-493-1100,Permitted
"ALL MY CHILDREN DAY CARE NURSERY SCHOOL III","108-22 69 AVENUE",11375,718-544-0007,Permitted
"ALL SEASONS A &amp; C DAY CARE","700 ROSEWOOD STREET",10467,718-231-7200,Permitted
"ALL SEASONS A &amp; C DAY CARE","700 ROSEWOOD STREET",10467,718-231-7200,Permitted
"ALL SEASONS DAY CARE","1701 NEREID AVENUE",10466,718-324-8300,Permitted
"ALL SEASONS DAY NURSERY INFANT/TODDLER","1701 NEREID AVENUE",10466,718-324-8300,Permitted
"ALL SOULS SCHOOL","1157 LEXINGTON AVENUE",10075,212-861-5232,Permitted
"ALL STARS DAY CARE","4111 AVENUE J",11210,917-933-4747,Permitted
"ALPHA FUNDEMENTAL PRESCHOOL. INC.","218-28 HEMPSTEAD AVENUE",11429,718-740-1010,Permitted
"ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER, INC.","144-06 ROCKAWAY BOULEVARD",11436,718-322-6242,"Expired-In Renewal"
"ALPHAFUNDAMENTAL PRESCHOOL.INC.","218-30 HEMPSTEAD AVENUE",11429,718-740-1010,Permitted
"ALWAYZ 123 EARLY LEARNING CENTER, INC.","80 BAY STREET",10301,718-815-4701,Permitted
"ALWAYZ 123 EARLY LEARNING CENTER, INC.","80 BAY STREET",10301,718-815-4701,Permitted
AMAC,"25 WEST 17TH STREET",10011,212-645-5005,Permitted
"AMALGAMATED NURSERY SCHOOL","3980 ORLOFF AVENUE",10463,718-543-8688,Permitted
"AMAZING MAGIC BEANS","43-12 46TH ST.",11104,718-786-8091,Permitted
"AMBASSADOR CHRISTIAN DAY CARE ACADEMY","993 CLARKSON AVENUE",11212,718-809-0233,Permitted
"AMERICAN EUROPEAN CHILD CARE","2150 BENSON AVENUE",11214,718-265-4477,Permitted
"AMERICAN-EUROPEAN CHILD CARE DAY CARE CENTER","2150 BENSON AVENUE",11214,718-265-4477,Permitted
"AMY&#39;S ACADEMY","102 FENIMORE STREET",11225,718-462-3200,Permitted
"ANGEL STAR DAY CARE CENTER","6803 20 AVENUE",11204,718-331-7282,Permitted
"ANGELS IN THE GARDENS CHILD CARE CORP","72-32 GREENWAY SOUTH",11375,718-997-0990,Permitted
"ANNA LEFKOWITZ DAY CARE CENTER","690 WESTCHESTER AVENUE",10455,718-292-8682,Permitted
"ANTIOCH  ACADEMY","515 WEST 125 STREET",10027,212-222-2324,Permitted
"APPLE TREE DAY CARE","440 EAST 48TH STREET",11203,718-287-7488,Permitted
"APPLE TREE DAY CARE CENTER","73-20 BELL BLVD.",11364,718-264-1588,Permitted
"APPLE TREE TODDLER CENTER","73-20 BELL BLVD.",11364,718-264-1588,Permitted
"ARCADIA CHILDREN&#39;S  DAYCARE","2195 GRAND CONCOURSE",10453,718-561-8062,Permitted
"ARISTA PREPARATORY  NURSERY &amp; ACADEMY (P.S.)","275 KINGSTON AVENUE",11213,718-493-9290,Permitted
"ARISTA PREPARATORY NURSERY &amp; ACADEMY  (I/T)","275 KINGSTON AVENUE",11213,718-493-9290,Permitted
"ASPIRING STARS DAY CARE CENTER LLC","156 GATES  AVENUE",11238,718-399-2339,Permitted
"ASSOCIATED BETH RIVKAH SCHOOLS","470 LEFFERTS AVENUE",11225,718-735-0770,Permitted
"ASSOCIATED BETH RIVKAH SCHOOLS HEAD START","470 LEFFERTS AVENUE",11225,718-735-0770,Permitted
"ASTOR SERVICES FOR CHILDREN AND FAMILIES / LAWRENCE F. HICKEY CENTER","4010 DYRE AVENUE",10466,718-515-3000,Permitted
"ASTORIA BLUE FEATHER HEAD START","27-07 8 STREET",11102,718-721-3960,Permitted
"ATLANTIC AVENUE EARLY LEARNING CENTER","1825 ATLANTIC  AVENUE",11233,347-296-4980,Permitted
"ATLANTIC AVENUE EARLY LEARNING CENTER","1825 ATLANTIC  AVENUE",11233,347-296-4980,Permitted
"ATONEMENT PRE-SCHOOL","87-07 31 AVENUE",11369,718-639-6074,Permitted
"AUDITORY/ORAL SCHOOL OF NY/ STRIVRIGHT","3321 AVENUE M",11210,718-531-1800,Permitted
"AUDREY JOHNSON LEARNING CENTER","272 MOFFAT STREET",11207,718-574-0130,Permitted
"AUGUSTANA EVANGELICAL LUTHERAN CHURCH","69-05 DITMARS BOULEVARD",11370,718-626-5957,"Expired-In Renewal"
"AVA&#39;S LITTLE ACHIEVERS, INC.","1743 LINDEN BLVD.",11207,347-318-3623,Permitted
"AVALON ACADEMY, PARK SLOPE (INFANT/TODDLER)","204 15 STREET",11215,718-768-4300,Permitted
"AVALON CHILD CARE OF RED HOOK, INC.","48 SULLIVAN STREET",11231,718-855-4655,"Expired-In Renewal"
"AVALON CHILDCARE, FIFTH AVENUE","552 5 AVENUE",11215,718-768-4300,Permitted
"AVALON FIFTH AVENUE TODDLER PROGRAM,INC.","552 5 AVENUE",11215,718-768-4300,Permitted
"AVENUE B CHRISTIAN ACADEMY","9214 AVENUE B",11236,718-498-9464,Permitted
"AWESOME BUNNIES CHILDCARE CENTER","349 KEAP STREET",11211,718-302-4400,Permitted
"B &#39; ABOVE EARLY LEARNING CENTER","1810 DAVIDSON AVENUE",10453,718-466-7509,Permitted
"B&#39;ABOVE WORKWIDE INSTITUTE /NEW HYDE PARK","771-779 EAST 49TH STREET",11203,718-451-1126,Permitted
"B&#39;ABOVE WORLD WIDE HEAD START","60-05 WOODHAVEN BLVD",11373,718-805-2252,Permitted
"B&#39;ABOVE WORLDWIDE INSTITUTE / KRULA","799 KENT  AVENUE",11205,347-943-6353,Permitted
"BABY GENIUS DAY CARE CENTER","2082 UTICA AVENUE",11234,347-312-5277,Permitted
"BABY STEPS","99-06 METROPOLITAN AVENUE",11375,718-451-6094,Permitted
"BAIS FRIEDA CHILD CARE","1326 EAST 10TH STREET",11230,845-596-2271,Permitted
"BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM","1169 43RD STREET",11219,718-435-5111,Permitted
"BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM","1169 43RD STREET",11219,718-435-5111,Permitted
"BAM BAM&#39;S PLAYHOUSE","714 BANNER AVENUE",11235,718-332-3974,Permitted
"BAM BAM&#39;S PLAYHOUSE INFANT/TODDLER","714 BANNER AVENUE",11235,718-332-3974,Permitted
"BAMBI CHILD CARE (INFANTS/ YOUNG TODDLERS)","1218 PROSPECT AVENUE",11218,718-499-3299,Permitted
"BAMBI CHILD CARE (PRESCHOOL)","1218 PROSPECT AVENUE",11218,718-499-2299,Permitted
"BAMBI DAY CARE CENTER INC.","138 HANCOCK STREET",11216,718-230-3487,Permitted
"BAMBI DAY CARE, INC.","300 ROGERS AVENUE",11225,718-771-1603,"Expired-In Renewal"
"BANK STREET COLLEGE FAMILY CENTER","610 WEST 112 STREET",10025,212-875-4414,Permitted
"BANK STREET FAMILY CENTER","610 WEST 112 STREET",10025,212-875-4412,Permitted
"BANK STREET HEAD START","113 EAST 13 STREET",10003,212-353-2532,Permitted
"BARNARD COLLEGE CENTER FOR TODDLER  DEVELOPMENT","3009 BROADWAY",10027,212-854-8271,Permitted
"BARNEY DAY CARE CENTER, INC.","472 NETHERLAND AVENUE",10303,718-477-5262,Permitted
"BARROW STREET NURSERY SCHOOL AT THE GREENWICH HOUSE INC.","27 BARROW STREET",10014,212-633-1203,Permitted
"BARUCH COLLEGE EARLY LEARNING CENTER","104 EAST 19 STREET",10003,212-387-1420,"Expired-In Renewal"
"BASIC TRUST","225 WEST 99 STREET",10025,212-222-6602,Permitted
"BASIC TRUST","225 WEST 99 STREET",10025,212-222-6602,Permitted
"BATTERY PARK CITY DAY NURSERY","215 SOUTH END AVENUE",10280,212-945-0088,Permitted
"BATTERY PARK CITY DAY NURSERY","215 SOUTH END AVENUE",10280,212-945-0088,Permitted
"BATTERY PARK MONTESSORI","21 SOUTH END AVENUE",10280,212-913-9704,Permitted
"BAY RIDGE AVE. CHILD CARE CENTER (I/T)","1206 BAY RIDGE AVENUE",11219,718-680-3544,Permitted
"BAY RIDGE AVE. CHILD CARE CENTER -P/S","1206 BAY RIDGE AVENUE",11219,718-680-3544,Permitted
"BAY RIDGE CHILD CARE CENTER","314  44TH  STREET",11220,718-768-5030,Permitted
"BAY RIDGE MONTESSORI SCHOOL","6301 12 AVENUE",11219,718-259-8701,Permitted
"BAY RIDGE PLAY PLACE","345 91 STREET",11209,718-921-3959,Permitted
"BAY RIDGE PLAY PLACE - INFANT/TODDLER","347 91ST STREET",11209,718-921-3959,Permitted
"BAYBEE LOUNGE","182 HENDRIX ST",11207,718-513-0179,Permitted
"BAYBEE LOUNGE DAYCARE","2745 ATLANTIC AVENUE",11207,646-541-7744,Permitted
"BAYRIDGE CHILD CARE CENTER","322 44TH STREET",11220,718-768-5030,Permitted
"BCA EARLY CHILDHOOD EDUCATION CENTER # 7","4202 8TH  AVENUE",11232,718-438-0008,Permitted
"BCA EARLY CHILDHOOD EDUCATION CENTER 3","713 43RD STREET",11232,718-851-0869,Permitted
"BCA EARLY CHILDHOOD EDUCATION CENTER 5","871 50TH STREET",11220,718-438-0008,Permitted
"BCA EARLY CHILDHOODEDUCATION CENTER 8","4116  8TH AVENUE",11232,718-438-0008,Permitted
"BCM  DAY CARE-INFANT/TODDLER","1505 CARROLL STREET",11213,718-756-0770,Permitted
"BEACHBROOK NURSERY SCHOOL","2953 AVENUE X",11235,718-648-7162,"Expired-In Renewal"
BEANSPROUTS,"446 6TH AVENUE",11215,718-965-8573,Permitted
BEANSPROUTS,"454-456 6 AVENUE",11215,718-369-3479,Permitted
BEANSPROUTS,"506 6TH AVENUE",11215,718-965-8573,Permitted
"BEANSPROUTS OF BROOKYN,INC.","410 6 AVENUE",11215,718-788-7059,Permitted
"BEDFORD  STUYVVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","265 DECATUR STREET",11233,718-453-0839,Permitted
"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.","133 KINGSBOROUGH  1ST WALK",11233,718-453-0828,Permitted
"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.","260 JEFFERSON AVENUE.",11216,718-453-0722,Permitted
"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.","5 QUINCY STREET",11238,718-453-0788,Permitted
"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.","506 MCDONOUGH STREET",11233,718-453-1304,Permitted
"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.","813 HANCOCK STREET",11233,718-455-5565,Permitted
"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC","971 DEKALB AVENUE",11221,718-453-0681,Permitted
"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","262 LEXINGTON AVENUE",11216,718-453-0760,Permitted
"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","275 MARCUS GARVEY BOULEVARD",11221,718-453-0500,Permitted
"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","281 STUYVESANT AVENUE",11221,718-455-3686,Permitted
"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","500 MACON STREET",11233,718-453-0780,Permitted
"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","990 DEKALB AVENUE",11221,718-574-2365,Permitted
"BEDFORD STUYVESANT HEAD START","214 STUYVESANT AVENUE",11221,718-453-0695,Permitted
"BEDFORD STUYVESSANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.","510-522 QUINCY STREET",11221,718-455-4806,Permitted
"BEDROCK PRESCHOOL","3220  ARLINGTON AVENUE",10463,718-884-0020,Permitted
"BEDROCK PRESCHOOL (P/S)","3220  ARLINGTON AVENUE",10463,718-884-0020,Permitted
"BEGINNING WITH CHILDREN PRE-K","11 BARTLETT STREET",11206,718-388-8847,Permitted
"BEGINNINGS NURSERY","130  EAST 16TH STREET",10003,212-228-5679,Permitted
"BEGINNINGS NURSERY SCHOOL","130  EAST 16TH STREET",10003,212-228-5679,Permitted
"BEIS SHLOMO ZALMEN DAY CARE CENTER","262 DELANCEY STREET",10002,212-475-1860,"Expired-In Renewal"
"BELLEVUE EDUCARE CHILD  CARE CENTER ( P/S )","462 FIRST AVENUE",10016,212-679-2393,"Expired-In Renewal"
"BELLEVUE EDUCARE CHILD CARE CENTER (I/T PROGRAM)","462 FIRST AVENUE",10016,212-679-2393,Permitted
"BELLEVUE SOUTH NURSERY SCHOOL","10 WATERSIDE PLAZA",10010,212-684-0134,Permitted
"BELMONT COMMUNITY DAY CARE CENTER INC","2340 CAMBRELENG AVENUE",10458,718-584-1576,Permitted
"BERRY PATCH DAYCARE","358 OVINGTON AVENUE",11209,718-836-8342,Permitted
"BESSIE &amp; NORA&#39;S PLACE","90-05  161 STREET",11432,718-739-0884,Permitted
"BETANCES EARLY CHILDHOOD DEVELOPMENT CENTER","528 EAST 146TH STREET",10455,718-665-1100,Permitted
"BETH GAVRIEL DAY CARE CENTER, INC.","119-03 80 ROAD",11415,718-544-2539,Permitted
"BETH GAVRIEL OHEL SARA","66-35 108TH STREET",11375,718-805-2252,Permitted
"BETH JACOB DAY CARE CENTER","1363 46TH STREET",11219,718-435-5755,"Expired-In Renewal"
"BETH JACOB JEWISH ED. CTR","102-35 63 ROAD",11375,718-896-4444,Permitted
"BETHEL MISSION LOVING DCC","338 BEACH 56 STREET",11692,718-474-8618,Permitted
"BETTER COMMUNITY LIFE DAY CARE # 2","133-16 ROOSEVELT AVENUE",11354,718-463-0403,Permitted
"BEYOND BASIC LEARNING ON THE GREEN","163 WASHINGTON AVENUE",11205,718-622-1000,Permitted
"BFFY-MADELINE JONES HEAD START","3415 NEPTUNE AVENUE",11224,718-266-5962,Permitted
"BIG APPLE DAY CARE, INC. (INFANT/TODDLER)","2020 AVENUE X",11235,718-332-2296,Permitted
"BIG APPLE DAY CARE, INC. (PRESCHOOL)","2020 AVENUE X",11235,718-332-2296,Permitted
"BIG BIRDS PLAYHOUSE","1859 RICHMOND AVENUE",10314,718-982-0550,Permitted
"BIG BIRDS PLAYHOUSE CORP.","1859 RICHMOND AVENUE",10314,718-982-0550,Permitted
"BIG BIRDS TINY TOTS","1859 RICHMOND AVENUE",10314,718-982-0550,Permitted
"BIG BIRDS TODDLER TIME","1869 RICHMOND AVENUE",10314,917-686-5337,Permitted
"BILINGUAL BUDS","180 RIVERSIDE BLVD",10069,212-787-8088,Permitted
"BILLY MARTIN CHILD DEVELOPMENT CENTER","333 CLASSON AVENUE",11205,718-857-5630,Permitted
"BIRCH FAMILY SERVICES - MANHATTAN EARLY CHILDHOOD CENTER","554 FORT WASHINGTON AVENUE",10033,212-740-5157,"Expired-In Renewal"
"BIRCH FAMILY SERVICES - WESTERN QUEENS EARLY CHILDHOOD CENTER","10-24 49 AVENUE",11101,718-786-1104,"Expired-In Renewal"
"BIRCH FAMILY SERVICES INC","145-02 FARMERS BOULEVARD",11434,718-527-5220,Permitted
"BIRCH FAMILY SERVICES INC","475 EAST 57TH STREET",11203,718-451-5213,Permitted
"BIRCH FAMILY SERVICES, INC.","145-02 FARMERS BOULEVARD",11434,718-527-5220,Permitted
"BIRCH FAMILY SERVICES, INC. / MILL BASIN EARLY CHILDHOOD CENTER","2075 EAST 68TH STREET",11234,718-968-7866,Permitted
"BIRCH WATSON AVENUE EARLY CHILDHOOD CENTER","1880 WATSON AVENUE",10472,718-828-9400,"Expired-In Renewal"
"BISHOP SEXTON HEAD START","933 HERKIMER STREET",11233,718-778-0292,Permitted
"BLAKE-MILFORD DAY CARE CENTER-I/T","334 MILFORD STREET",11208,718-277-2003,"Expired-In Renewal"
"BLAKE-MILFORD DAY CARE CENTER-P/S","334 MILFORD STREET",11208,718-277-2003,Permitted
"BLANCHE COMMUNITY PROGRESS DAY CARE CENTER INC.","109-60 202 STREET",11412,718-479-1800,Permitted
"BLANCHE COMMUNITY PROGRESS DCC #2","44-02 BEACH CHANNEL DRIVE",11691,718-471-7881,Permitted
"BLOCK ACADEMY","133 27TH AVENUE",11214,347-649-3601,Permitted
"BLOCK INSTITUTE SCHOOL","376 BAY 44 STREET",11214,718-906-5432,Permitted
"BLONDELL JOYNER DAY CARE CENTER","901-909 TINTON AVENUE",10456,718-665-7791,Permitted
"BLOOMINGDALE  FAMILY PROGRAM  HEAD START","987 COLUMBUS AVENUE",10025,212-665-4631,Permitted
"BLOOMINGDALE FAMILY PROGRAM","171 WEST 107 STREET",10025,212-663-4070,"Expired-In Renewal"
"BLOOMINGDALE FAMILY PROGRAM, INC.","125 WEST 109 STREET",10025,212-663-4067,"Expired-In Renewal"
"BLUE RIBBON DAY CARE CENTER","984 SUTTER AVENUE",11208,718-484-7202,Permitted
"BLUE SKY MONTESSORI PRESCHOOL","856 50TH STREET",11220,718-633-1178,Permitted
"BLUE STAR DAY CARE CENTER","2217 CATON AVENUE",11226,718-703-4312,Permitted
"BLUE&#39;S CLUE&#39;S DAY CARE","2249 EAST 21ST STREET",11229,718-676-0420,Permitted
"BLUE&#39;S CLUE&#39;S DC ,INC.-I/T","2249 EAST 21ST STREET",11229,718-676-0420,Permitted
"BMCC EARLY CHILDHOOD CENTER,INC.","199 CHAMBERS STREET",10013,212-220-8250,Permitted
"BNOS MALKA BELZ","600 MCDONALD AVENUE",11218,718-683-3610,Permitted
"BNOS YAKOV HEAD START","274 KEAP STREET",11211,718-486-6500,Permitted
"BOOKS &amp; RATTLES INC., II","75-02 51 AVENUE",11373,718-899-1532,Permitted
"BOOKS &amp; RATTLES PRESCHOOL","63-08 69 PLACE",11379,718-381-7777,Permitted
"BOOKS AND RATTLES TODDLER PROGRAM","63-08 69 PLACE",11379,718-381-7777,Permitted
"BOOKS AND RATTLES,INC.II","75-02 51 AVENUE",11373,718-899-1532,Permitted
"BOULEVARD NURSERY SCHOOL INC.","2150 LINDEN BOULEVARD",11207,718-649-2295,Permitted
"BOYS &amp; GIRLS HARBOR  PRESCHOOL","1 EAST 104 STREET",10029,212-427-2244,Permitted
