Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Total Maximum Capacity,Lat,Lon
DC17130,"A CASTLE FOR  CLASSY KIDS LEARNING CENTER, INC.","A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",2570 PITKIN AVENUE,BROOKLYN,11208,347-750-8154,8171,5/24/2016,Permitted,2 YEARS - 5 YEARS,39,No,Private,39,40.6746071,-73.8772986
DC12223 / DC2840,A CHILD'S PLACE TOO / A CHILD'S PLACE PRE SCHOOL,"A CHILD'S PLACE NURSERY / A CHILD'S PLACE TOO,INC",32-20 108 ST,QUEENS,11369,718-565-2170 / 718-565-2170,7386 / 6966,03/25/2015 / 04/02/2016,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,46 / 104,No / No,Private / Private,150,40.7593296,-73.8612759
DC25663,"A CHILD'S PLACE TOO, INC","A CHILD'S PLACE TOO, INC.",100-10 ASTORIA BLVD.,QUEENS,11369,718-446-0200,51781,9/10/2015,Permitted,2 YEARS - 5 YEARS,45,No,Private,45,40.761523,-73.8689596
DC2111,A CHILDS HOME DAY CARE,GLORIA PANKY,427 NEW LOTS AVENUE,BROOKLYN,11207,718-927-0373,7395,1/7/2015,Permitted,2 YEARS - 5 YEARS,24,No,Private,24,40.6626,-73.891949
DC1980,A H R C  HOWARD HABER  E.L.C,"N Y S ASSOCIATION FOR RETARDED CHILDREN,INC.",2300 WESTCHESTER AVENUE,BRONX,10462,718-409-1450,6030,3/17/2015,Permitted,2 YEARS - 5 YEARS,152,Yes,Private,152,40.8350348,-73.8479705
DC2655,A M A C CHILDREN'S HOUSE,"A M A C, INC.",25 WEST 17 STREET,MANHATTAN,10011,212-645-5005,5950,2/9/2015,Permitted,2 YEARS - 5 YEARS,104,No,Private,104,40.7386488,-73.9936138
DC1523,A NEW DAWN ELEMENTARY & PRE-SCHOOL,"A NEW DAWN ELEMENTARY SCHOOL,INC.",89-14 163 STREET,QUEENS,11432,718-206-1500,6180,5/10/2016,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.7065813,-73.7980862
DC15139,"A TO Z CENTER TOO, INC.","A TO Z CENTER TOO, INC.",220-24 JAMAICA AVENUE,QUEENS,11428,718-740-8400,7605,6/21/2014,Permitted,2 YEARS - 5 YEARS,162,No,Private,162,40.7192374,-73.7336849
DC17883,A TO Z DAY CARE CENTER,A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM INC.A TO Z DAY CARE CENTER INC.,3053 AVENUE U,BROOKLYN,11229,718-368-1234,7960,12/5/2014,Permitted,2 YEARS - 5 YEARS,54,No,Private,54,40.601218,-73.9368719
DC1116,A TO Z LEARNING CENTER,A TO Z MANAGEMENT INC.,123-21 JAMAICA AVENUE,QUEENS,11418,718-805-4400,6709,10/11/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.7008194,-73.8265451
DC1831,A YOU'RE ADORABLE,"A YOU'RE ADORABLE,INC.",3304 GRISWOLD AVENUE,BRONX,10465,718-863-3455,7137,6/9/2015,Permitted,2 YEARS - 5 YEARS,47,No,Private,47,40.8448824,-73.8163978
DC14857,ABC CASSIDY'S PLACE,ASSOCIATION TO BENEFIT CHILDREN,419 EAST 86TH STREET,MANHATTAN,10028,212-831-1322,6390,8/6/2015,Permitted,2 YEARS - 5 YEARS,120,Yes,Private,120,40.776764,-73.94839
DC20590 / DC620,ABC INFANT & TODDLER CENTER / ABC CHILD CENTER,"ABC INFANT & TODDLER CENTER,INC. / ABC CHILD CENTER,INC",109 NASSAU AVENUE,BROOKLYN,11222,718-389-9004 / 718-389-9004,43577 / 6084,06/13/2015 / 07/03/2014,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,31 / 45,No / No,Private / Private,76,40.724395,-73.949659
DC3111,ABC EARLY LEARNING CENTER,ABC EARLY LEARNING CENTER INC.,54-25 LITTLE NECK PKWY,QUEENS,11362,718-225-8044,7216,3/31/2016,Permitted,2 YEARS - 5 YEARS,76,No,Private,76,40.7603856,-73.7227976
DC16933,ABC EARLY LEARNING CENTER OF BAY TERRACE,ABC EARLY LEARNING CENTER INC,208-90 CROSS ISLAND PKWY,QUEENS,11360,718-428-0005,7866,4/9/2014,Expired-InRenewal,2 YEARS - 5 YEARS,36,No,Private,36,40.788154,-73.78412
DC20687,ABC KEITH HARING SCHOOL,ASSOCIATION TO BENEFIT CHILDREN,318 EAST 116TH STREET,MANHATTAN,10029,212-426-3960,53757,11/1/2015,Permitted,0 YEARS - 2 YEARS,10,No,Head Start (Direct Fed. Funding),10,40.796341,-73.936959
DC22552,ABC KIDDIE LAND DAY CARE CENTER,"ABC KIDDIE LAND, INC.",67-05  ROOSEVELT AVENUE,QUEENS,11377,718-651-3551,26898,11/7/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.746434,-73.89789
DC10481,ABC KIDDIELAND DAY CARE CENTER,"ABC KIDDIELAND, INC",65-21 ROOSEVELT AVE,QUEENS,11377,718-651-3551,7571,3/19/2016,Permitted,2 YEARS - 5 YEARS,22,No,Private,22,40.7461173,-73.8982884
DC16811 / DC15616,ABC MINISTRY AND COUNSELING CENTER / ABC MINISTRY AND COUNSELING CENTER,"ABC MINISTRY AND COUSELING CENTER,INC. / ABC MINISTRY AND COUNSELING CENTER, INC",9302  AVENUE B,BROOKLYN,11236,718-498-8937 / 718-498-8937,7708 / 7738,01/25/2015 / 04/19/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,Oct-46,No / No,Private / Private,56,40.650813,-73.913809
DC1155,ABC PRESCHOOL,ABC PRE-SCHOOL & KINDERGARTEN CENTER CORP.,66-20 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2249,5/23/2015,Permitted,2 YEARS - 5 YEARS,131,No,Private,131,40.739446,-73.898004
DC1164,ABC PRESCHOOL & KINDERGARTEN CENTER,"ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",66-26 LAUREL HILL BOULEVARD,QUEENS,11377,718-672-2424,2098,10/29/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.7396994,-73.8985113
DC15271,ABC VARIETY CODY GIFFORD HOUSE,ASSOCIATION TO BENEFIT CHILDREN,404 EAST 91ST STREET,MANHATTAN,10128,212-369-2010,7684,12/18/2015,Permitted,0 YEARS - 2 YEARS,17,No,Private,17,40.7797402,-73.9467183
DC18804,ABYSSINIAN HEAD START - ADAM CLAYTON POWELL JR. CENTER,ABYSSINIAN DEVELOPMENT CORP.,25 WEST 132ND STREET,MANHATTAN,10037,212-234-9252,7949,10/15/2014,Permitted,2 YEARS - 5 YEARS,45,No,ACS Head Start,45,40.81168,-73.939663
DC1500,ABYSSINIAN HEAD START- ANNIE G. NEWSOME CENTER,ABYSSINIAN DEVELOPMENT CORPORATION,129 WEST 138 STREET,MANHATTAN,10030,212-690-2869,6124,7/30/2014,Permitted,2 YEARS - 5 YEARS,54,No,ACS Head Start,54,40.8167525,-73.9411133
DC17076,ABYSSINIAN/ANNIE G. NEWSOME  HEAD START I I,ABYSSINIAN DEVELOPMENT CORP.,646 LENOX AVENUE,MANHATTAN,10037,212-991-3932,7759,5/14/2015,Permitted,2 YEARS - 5 YEARS,28,No,ACS Head Start,28,40.8186128,-73.9374609
DC2026,ACADEMICS  R US LTD.,ACADEMICS R US LTD,1339 EAST GUNHILL ROAD,BRONX,10469,718-324-5720,7047,12/19/2014,Permitted,2 YEARS - 5 YEARS,75,No,Private,75,40.871031,-73.8466739
DC25095,ACADEMY OF EXCELLENCE BELL PARK,"BELL PARK CHILD CARE CENTER, INC.",178-36 WEXFORD  TERRACE,QUEENS,11432,212-931-4724,39657,5/9/2015,Permitted,2 YEARS - 5 YEARS,103,No,Private,103,40.7154673,-73.7765115
DC18898,ACADEMY OF LEARNING,GNK NY INC.,1334 EAST GUNHILL ROAD,BRONX,10469,718-405-2888,7950,10/31/2014,Permitted,2 YEARS - 5 YEARS,15,No,Private,15,40.8706729,-73.84719
DC14291,ACE EARLY CHILDHOOD CENTER,"12TH STREET PRESCHOOL,INC.",199 14 STREET,BROOKLYN,11215,718-788-2668,5307,10/21/2015,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,55,40.6672439,-73.990294
DC747,ACE INTEGRATION HEAD START,HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORPORATION,1419-23 BROADWAY,BROOKLYN,11221,718-443-3917,6971,5/12/2016,Permitted,2 YEARS - 5 YEARS,136,No,ACS Head Start,136,40.6886741,-73.9202153
DC2198,ACS,SOUTH JAMAICA CENTER FOR CHILDREN & PARENTS INC,114-02 GUY R BREWER BOULEVARD,QUEENS,11434,718-526-2500,5219,12/24/2015,Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start,57,40.688426,-73.785948
DC19634,ACS,THE CHILD CENTER OF NEW YORK,34-10 108TH STREET,QUEENS,11368,347-287-0175,8033,6/27/2015,Permitted,2 YEARS - 5 YEARS,162,Yes,ACS Contracted Preschools,162,40.7558142,-73.8606578
DC14287,ACT PROGRAM AT THE CATHEDRAL OF ST. JOHN THE DIVINE.,CATHEDRAL OF ST. JOHN THE DIVINE,1047 AMSTERDAM AVENUE,MANHATTAN,10025,212-316-7530,7157,7/18/2015,Permitted,2 YEARS - 5 YEARS,22,No,Private,22,40.8041136,-73.9625321
DC962,ACTION NURSERY,"ACTION NURSERY, INC.",1019 46 STREET,BROOKLYN,11219,718-854-7777,4022,3/11/2015,Permitted,2 YEARS - 5 YEARS,30,No,ACS Contracted Preschools,30,40.640521,-73.996214
DC19685 / DC10582 / DC14162 / DC22513,"THE JOY OF LEARNING DAY CARE CENTER / GOOD SAMARITAN FULTON DAY CARE CENTER-PRESCHOOL / GOOD SAMARITAN FULTON DAY CARE CENTER - INFANT/TODDLER / ADAPTIVE SOLUTIONS MULTI SERVICES (SLP, PT, OT, PSYCH)","JOY OF LEARNING CHILD DEVELOPMENT CORP. / GOOD SAMARITAN FULTON DAY CARE CENTER, INC. / GOOD SAMARITAN FULTON DAY CARE CENTER, INC. / ADAPTIVE SOLUTIONS MULTI SERVICES(SLP,PT,OT,PSYCH) PLLC",992 GATES AVENUE,BROOKLYN,11221,718-443-6463 / 718-443-6463 / 718-443-6463 / 718-483-9553,8016 / 6198 / 6199 / 16597,06/01/2015 / 06/27/2014 / 06/26/2015 / 05/16/2014,Permitted / Permitted / Permitted / Expired-InRenewal,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,75 / 30 / 96 / 102,No / No / No / No,Private / Private / Private / ACS Contracted Preschools,303,40.6890641,-73.9236289
DC24683,ADDIE MAE COLLINS,ADDIE MAE COLLINS COMMUNITY SERVICE III,2322 THIRD AVE,MANHATTAN,10035,212-831-3144,24778,10/12/2014,Permitted,2 YEARS - 5 YEARS,155,No,ACS Contracted Preschools,155,40.8047882,-73.9354629
DC2981,ADDIE MAE COLLINS COMMUNITY SERVICE HEAD START,"ADDIE MAE COLLINS COMMUNITY SERVICES, INC.",345 EAST 101 STREET,MANHATTAN,10029,212-831-7373,6148,5/9/2014,Expired-InRenewal,2 YEARS - 5 YEARS,30,No,ACS Head Start,30,40.7867723,-73.9426453
DC1229,ADDIE MAE COLLINS HEAD START #1,"ADDIE MAE COLLINS COMMUNITY SERVICE, INC.",110 EAST 129 STREET,MANHATTAN,10035,212-831-9220,4501,3/16/2015,Permitted,2 YEARS - 5 YEARS,40,No,ACS Head Start,40,40.8070295,-73.9362448
DC19052 / DC19051,ADVENTURELAND INFANT TODDLER / ADVENTURELAND CHILD CARE,ADVENTURELAND INFANT TODDLER / ADVENTURELAND CHILD CARE,32-04 31ST AVENUE,QUEENS,11106,718-777-2011 / 718-777-2011,7968 / 7969,12/03/2014 / 12/03/2014,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,36 / 81,No / No,Private / Private,117,40.7638431,-73.9224461
DC2178 / DC1211 / DC14230,"BRIGHT BEGINNINGS / ADVENTURELAND INFANT CARE / ADVENTURELAND CHILD CARE CENTER, INC. PRESCHOOL","BRITE ADVENTURE CENTER,INC. / ADVENTURELAND INFANT CARE / ADVENTURELAND CHILD CARE, INC.",41-31 58 STREET,QUEENS,11377,718-274-4769 / 718-274-4769 / 718-274-4769,7262 / 7394 / 7176,03/31/2016 / 03/23/2015 / 07/01/2015,Permitted / Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,40 / 15 / 20,No / No / No,Private / Private / Private,75,40.743695,-73.906737
DC21684,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER # 4,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER # 4,108-17  159TH STREET,QUEENS,11433,718-526-1506,8352,7/1/2015,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,60,40.6945219,-73.7934132
DC2451,"AFRO-AMERICAN PARENTS EDUCATIONAL CENTER, INC.","AFRO-AMERICAN PARENTS DAY CARE CENTER, INC.",112-06 SUTPHIN BOULEVARD,QUEENS,11435,718-322-9080,4789,7/16/2014,Permitted,2 YEARS - 5 YEARS,91,No,ACS Contracted Preschools,91,40.687103,-73.794852
DC1530,AGAPE NURSERY SCHOOL,"KOREAN PRESBYTERIAN CHURCH OF QUEENS, INC.",143-17 FRANKLIN AVENUE,QUEENS,11355,718-886-3564,6163,5/3/2014,Expired-InRenewal,2 YEARS - 5 YEARS,67,No,Private,67,40.757784,-73.821757
DC1783,AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,"ASSOCIATION FOR THE HELP OF RETARDED CHILDREN, INC.",195-201 CONSELYEA STREET,BROOKLYN,11211,718-782-1462,5687,9/27/2014,Permitted,2 YEARS - 5 YEARS,193,No,Private,193,40.7155559,-73.9434359
DC21490,AILEEN CLAVANO,DISCOVERY LANE,27-17 27 STREET,QUEENS,11102,718-440-6919,8365,7/8/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.7692884,-73.9231358
DC16698,AIM HIGH CHILDREN'S SERVICES,AIM HIGH CHILDREN'S SERVICES,229 PARKVILLE AVENUE,BROOKLYN,11230,718-438-7000,7856,5/11/2014,Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,15,40.631529,-73.970578
DC260,ALEENE LOGAN PRESCHOOL CENTER,"CLAREMONT NEIGHBORHOOD CENTER, INC.",1450 WEBSTER AVENUE,BRONX,10456,718-293-1530,4170,11/2/2015,Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools,55,40.8379224,-73.9062444
DC24873,"ALEPH BET NY, INC.","ALEPH BET NY, INC.",133 EAST 29TH STREET,MANHATTAN,10016,212-685-0241,28419,12/3/2014,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.7432193,-73.9814138
DC14224,ALL CHILDREN'S CHILD CARE,ALL CHILDREN'S CHILD CARE,32-04  31 AVENUE,QUEENS,11106,718-777-2011,7970,12/3/2014,Permitted,2 YEARS - 5 YEARS,54,No,Private,54,40.7638431,-73.9224461
DC2838 / DC12377,ALL CHILDREN'S CHILDCARE (PRESCHOOL) / ALL CHILDREN'S CHILDCARE (INFANT/TODDLER),"ALL CHILDREN CHILDCARE CENTER OF QUEENS, INC. / ALL CHILDREN CHILDCARE CENTER OF QUEENS, INC.",35-01 24 STREET,QUEENS,11106,718-707-0501 / 718-707-0501,6855 / 6856,05/26/2015 / 05/27/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,82 / 19,No / No,Private / Private,101,40.759907,-73.932759
DC2226,"ALL MY CHILDREN CARE INC, NURSERY","ALL MY CHILDREN DAY CARE INC, NURSERY",169-07 JEWEL AVENUE,QUEENS,11365,718-658-1563,6094,8/26/2015,Permitted,2 YEARS - 5 YEARS,29,No,ACS Contracted Preschools,29,40.7316829,-73.799913
DC23264,ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL, INC.",110-15 164 PLACE,QUEENS,11433,718-526-5911,25917,10/22/2014,Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools,105,40.693716,-73.786687
DC24654,ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE & NURSERY SCHOOL, INC.",117-16 SUTPHIN BLVD.,QUEENS,11434,718-322-2030,25997,10/23/2014,Permitted,2 YEARS - 5 YEARS,99,No,ACS Contracted Preschools,99,40.679887,-73.792371
DC3120 / DC12381,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL / ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE & NURSERY SCHOOL / ALL MY CHILDREN DAY CARE,INC",175-44 MAYFIELD ROAD,QUEENS,11432,718-658-1563 / 718-658-1563,6190 / 6598,05/17/2014 / 12/01/2014,Expired-InRenewal / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,60 / 25,No / No,Private / Private,85,40.716751,-73.789288
DC24553,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,420 LEFFERTS AVENUE,BROOKLYN,11225,718-756-2020,25377,10/17/2014,Permitted,2 YEARS - 5 YEARS,198,No,ACS Contracted Preschools,198,40.6622569,-73.947273
DC24554 / DC24547,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL / ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL / ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,771 CROWN STREET,BROOKLYN,11213,718-756-8300 / 718-756-8300,28679 / 25957,12/06/2014 / 10/23/2014,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,27 / 42,No / No,ACS Contracted Preschools / ACS Contracted Preschools,69,40.66552,-73.931956
DC22860,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,"ALL MY CHILDREN DAY CARE & NURSERY, INC.",83-10 188 STREET,QUEENS,11423,718-454-5600,25177,10/16/2014,Permitted,2 YEARS - 5 YEARS,58,No,ACS Contracted Preschools,58,40.724483,-73.779168
DC17905,ALL MY CHILDREN DAY CARE &NURSERY SCHOOL INC.,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL INC.,66-05 108 STREET,QUEENS,11375,718-592-8981,27238,11/14/2014,Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools,24,40.7300309,-73.847748
DC24552,ALL MY CHILDREN DAY CARE 11,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,317 ROGERS AVENUE,BROOKLYN,11225,718-771-8075,24878,10/12/2014,Permitted,2 YEARS - 5 YEARS,90,No,ACS Contracted Preschools,90,40.665663,-73.953357
DC23263,ALL MY CHILDREN DAY CARE AND NURSERY,"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL, INC.",36-49 11 STREET,QUEENS,11106,718-786-1166,26618,10/26/2014,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,115,40.7598607,-73.9404461
DC24550 / DC24549,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL / ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL / ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,36 FORD STREET,BROOKLYN,11213,718-576-6812 / 718-576-6812,25417 / 24658,10/17/2014 / 10/12/2014,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,50 / 154,No / No,ACS Contracted Preschools / ACS Contracted Preschools,204,40.6645043,-73.9294446
DC24551,ALL MY CHILDREN DAY CARE AND NURSEY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,739 EAST NEW YORK AVENUE,BROOKLYN,11203,718-493-1100,27477,11/16/2014,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,60,40.662579,-73.938023
DC11544,ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,108-22 69 AVENUE,QUEENS,11375,718-544-0007,7425,7/25/2015,Permitted,2 YEARS - 5 YEARS,43,No,Private,43,40.725,-73.844538
DC22230 / DC22115,ALL SEASONS A & C DAY CARE / ALL SEASONS A & C DAY CARE,"ALL SEASONS A & C DAY CARE LLC / ALL SEASONS A & C DAY CARE, LLC",700 ROSEWOOD STREET,BRONX,10467,718-231-7200 / 718-231-7200,24139 / 24119,10/05/2014 / 10/05/2014,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,19 / 24,No / No,Private / Private,43,40.872992,-73.8664663
DC11867 / DC11674,ALL SEASONS DAY NURSERY INFANT/TODDLER / ALL SEASONS DAY CARE,"ALL SEASONS DAY CARE, LLC / ALL SEASONS DAY CARE LLC",1701 NEREID AVENUE,BRONX,10466,718-324-8300 / 718-324-8300,7458 / 7237,11/06/2014 / 05/05/2016,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,18 / 27,No / No,Private / Private,45,40.8980692,-73.852192
DC2583,ALL SOULS SCHOOL,ALL SOULS SCHOOL,1157 LEXINGTON AVENUE,MANHATTAN,10075,212-861-5232,2014,4/26/2015,Permitted,2 YEARS - 5 YEARS,110,No,Private,110,40.7754151,-73.9582739
DC26028,ALL STARS DAY CARE,ALL STARS DAYCARE GROUP INC.,4111 AVENUE J,BROOKLYN,11210,917-933-4747,56497,2/3/2016,Permitted,2 YEARS - 5 YEARS,28,No,Private,28,40.627881,-73.936074
DC923,ALPHA CHRISTIAN DAYCARE INC.,ALPHA CHRISTIAN DAYCARE INC.,921 EAST 107 STREET,BROOKLYN,11236,718-272-0505,7178,12/21/2015,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.6477647,-73.8925035
DC14204,ALPHA FUNDEMENTAL PRESCHOOL. INC.,ALPHA FUNDAMENTAL # 2,218-28 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,7541,12/21/2015,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.713451,-73.737144
